v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_copod,anomaly_vote_count,GERCEK_ETIKET_label
7.16,-11.75,-13.83,1.43,-1.9,-2.58,-25.19,31.9,23.51,51.64,-64.39,0.9999999999999999,5.0,0
6.99,-10.4,-15.59,1.09,-1.59,-2.38,-25.19,31.9,23.51,51.47,-64.61,0.9993146011255066,5.0,0
7.16,-11.75,-13.83,1.43,-1.9,-2.58,-25.19,31.9,23.51,51.77,-64.1,0.9988967750591603,5.0,0
6.45,-10.1,-14.12,0.86,-1.25,-1.97,-32.85,31.36,18.87,51.13,-64.91,0.9975525988565049,5.0,0
6.99,-10.4,-15.59,1.09,-1.59,-2.38,-25.19,31.9,23.51,51.3,-64.83,0.9944178354905359,5.0,0
6.86,-13.32,-13.68,1.75,-2.14,-2.64,-25.19,31.9,23.51,51.12,-60.23,0.9931705946503396,5.0,0
6.86,-13.32,-13.68,1.75,-2.14,-2.64,-25.19,31.9,23.51,51.26,-60.22,0.991177698625663,5.0,0
6.45,-10.1,-14.12,0.86,-1.25,-1.97,-32.85,31.36,18.87,51.24,-67.98,0.9910282319943734,5.0,0
7.15,-10.5,-16.06,0.88,-1.05,-1.47,-32.85,31.36,18.87,51.05,-68.1,0.9895888187337979,5.0,0
6.66,-14.65,-14.09,2.06,-2.3,-2.61,-25.19,31.9,23.51,51.4,-60.21,0.9889990669516778,5.0,0
6.66,-14.65,-14.09,2.06,-2.3,-2.61,-25.19,31.9,23.51,51.52,-60.17,0.9824338274768171,5.0,0
7.15,-10.5,-16.06,0.88,-1.05,-1.47,-32.85,31.36,18.87,50.87,-68.18,0.9811168984717841,5.0,0
0.0,-21.51,-3.8,-0.83,3.05,0.8,-4.18,34.05,10.81,32.55,-27.97,0.9707748170689338,5.0,0
2.04,-12.93,-16.2,1.75,-1.41,-1.51,-31.07,21.68,37.41,5.63,-39.43,0.9689937736186826,5.0,0
7.28,-11.91,-14.92,1.02,-0.85,-0.99,-32.85,31.36,18.87,50.72,-68.11,0.968651873461169,5.0,0
6.43,-15.93,-12.37,2.2,-2.19,-2.48,-25.19,31.9,23.51,51.67,-60.21,0.9669123965285796,5.0,0
0.0,-21.51,-3.8,-0.83,3.05,0.8,-4.18,34.05,10.81,32.55,-27.87,0.9657444090321489,5.0,0
2.23,-14.32,-20.74,1.71,-1.88,-1.6,-42.1,17.38,46.33,5.43,-39.4,0.9636577231404172,5.0,0
4.46,-12.88,-17.85,3.5,-2.83,0.04,-14.51,17.2,19.39,25.73,-27.08,0.9636492567673945,5.0,0
4.61,-12.22,-14.54,3.22,-2.3,0.16,-14.51,17.2,19.39,24.51,-19.27,0.9619464874975067,5.0,0
2.23,-14.32,-20.74,1.71,-1.88,-1.6,-42.1,17.38,46.33,5.26,-39.33,0.9614895123792707,5.0,0
4.61,-12.22,-14.54,3.22,-2.3,0.16,-14.51,17.2,19.39,24.56,-19.21,0.9605533047316924,5.0,0
1.09,-20.38,-14.49,-0.84,2.48,1.07,-4.18,34.05,10.81,32.54,-28.08,0.9586984386854424,5.0,0
7.28,-11.91,-14.92,1.02,-0.85,-0.99,-32.85,31.36,18.87,50.57,-68.03,0.9580881158873981,5.0,0
6.43,-15.93,-12.37,2.2,-2.19,-2.48,-25.19,31.9,23.51,51.07,-59.55,0.9567564438717316,5.0,0
4.46,-12.88,-17.85,3.5,-2.83,0.04,-14.51,17.2,19.39,25.73,-26.98,0.955690431006262,5.0,0
-0.09,-21.43,-3.56,-0.46,2.5,0.5,-4.18,34.05,10.81,32.55,-27.7,0.9548001142096448,5.0,0
2.04,-12.93,-16.2,1.75,-1.41,-1.51,-31.07,21.68,37.41,7.95,-34.12,0.9541351102923409,5.0,0
1.09,-20.38,-14.49,-0.84,2.48,1.07,-4.18,34.05,10.81,32.81,-27.16,0.9537928386807132,5.0,0
1.32,-16.74,-26.48,1.9,-2.88,-1.58,-42.1,17.38,46.33,5.13,-39.13,0.9523616370580986,5.0,0
4.03,-12.05,-10.72,2.96,-1.96,0.33,-14.51,17.2,19.39,24.63,-19.29,0.9520363734295395,5.0,0
1.83,-12.88,-14.43,2.03,-1.43,-1.37,-31.07,21.68,37.41,8.13,-34.17,0.950322711652903,5.0,0
6.12,-12.08,-13.15,-0.77,1.95,1.44,-20.38,33.15,21.62,48.84,-61.6,0.9468845700959233,5.0,0
6.12,-12.08,-13.15,-0.77,1.95,1.44,-20.38,33.15,21.62,48.76,-61.47,0.9468166261377954,5.0,0
7.44,-12.55,-15.22,1.13,-0.7,-0.69,-32.85,31.36,18.87,50.62,-67.07,0.9460042900918232,5.0,0
5.87,-11.99,-12.52,-0.74,1.85,1.45,-20.38,33.15,21.62,48.71,-61.28,0.9453877298733891,5.0,0
5.87,-11.99,-12.52,-0.74,1.85,1.45,-20.38,33.15,21.62,49.75,-59.41,0.9443333439294238,5.0,0
-0.09,-21.43,-3.56,-0.46,2.5,0.5,-4.18,34.05,10.81,32.51,-27.52,0.9422227051061208,5.0,0
2.77,-16.34,-16.07,3.55,-3.04,0.02,-14.51,17.2,19.39,25.73,-26.87,0.9418974308209819,5.0,0
5.44,-12.07,-11.79,-0.68,1.69,1.44,-20.38,33.15,21.62,49.65,-59.19,0.9391458020964251,5.0,0
4.03,-12.05,-10.72,2.96,-1.96,0.33,-14.51,17.2,19.39,24.7,-19.37,0.938220518461422,5.0,0
7.44,-12.55,-15.22,1.13,-0.7,-0.69,-32.85,31.36,18.87,50.48,-66.95,0.9380250774235604,5.0,0
-0.85,-22.73,-13.29,3.28,-2.92,0.27,-14.51,17.2,19.39,25.76,-26.65,0.9377228672300303,5.0,0
5.97,-17.03,-9.3,2.09,-1.77,-2.32,-25.19,31.9,23.51,51.15,-59.65,0.9376505274325321,5.0,0
2.77,-16.34,-16.07,3.55,-3.04,0.02,-14.51,17.2,19.39,25.72,-26.65,0.9375491697334911,5.0,0
1.32,-16.74,-26.48,1.9,-2.88,-1.58,-42.1,17.38,46.33,5.02,-38.92,0.9363770771466163,5.0,0
