v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_deep_svdd,anomaly_vote_count,GERCEK_ETIKET_label
-0.69,-1.64,-10.33,0.0,0.0,0.0,2.97,-4.21,38.65,0.37,-80.23,1.0000000000000002,2.0,0
-2.81,-0.18,9.69,0.13,-0.11,0.06,260.94,-289.3,-296.97,-12.5,84.45,0.8808915924013101,5.0,0
-4.23,2.09,-13.59,0.0,0.0,0.0,0.0,0.0,0.0,-19.14,-90.45,0.7114543606657958,2.0,0
-3.35,-0.53,12.24,0.16,-0.16,0.06,260.94,-289.3,-296.97,-12.41,84.79,0.5760032482950518,5.0,0
-2.81,-0.18,9.69,0.13,-0.11,0.06,260.94,-289.3,-296.97,-12.5,84.5,0.548191743478531,5.0,0
-3.35,-0.53,12.24,0.16,-0.16,0.06,260.94,-289.3,-296.97,-12.38,84.84,0.5105167215533629,5.0,0
68.85,-60.2,-36.03,0.05,-0.01,-0.03,30.0,6.45,13.9,-6.36,-30.93,0.4607777529138997,3.0,1
-0.68,-1.63,-10.32,0.0,0.0,0.0,2.97,-4.21,38.65,0.37,-80.23,0.43461955577219114,2.0,0
-2.19,0.51,9.89,0.59,-0.74,0.09,260.94,-289.3,-296.97,-11.45,86.91,0.27167477637550574,5.0,0
-1.25,0.54,9.25,-0.92,1.0,-0.31,166.59,-24.46,-214.97,-6.77,92.37,0.2628935979904783,5.0,0
-9.96,3.24,-3.98,-0.01,0.0,0.52,49.15,-19.98,8.49,-87.3,-176.25,0.2540135959363452,6.0,0
-2.21,0.3,8.51,0.34,-0.43,0.06,260.94,-289.3,-296.97,-12.29,85.08,0.24212530512469335,5.0,0
78.9,-75.12,-32.87,0.61,0.0,-0.26,28.22,5.73,14.93,-6.6,-33.16,0.23666793839980965,3.0,1
65.59,-48.64,13.98,0.1,0.04,0.04,0.0,0.0,0.0,-13.43,-34.66,0.23558210897213153,3.0,0
-0.52,1.24,6.03,0.55,-0.7,0.09,223.96,245.8,-315.52,-9.86,90.66,0.21831938321517266,5.0,0
-1.14,0.87,8.92,0.79,-0.97,0.14,223.96,245.8,-315.52,-10.38,89.53,0.21400964975192718,5.0,0
-9.85,55.79,4.21,-0.2,-0.21,-0.23,51.86,-4.38,8.32,-63.81,-15.79,0.19772171228933647,2.0,0
-1.14,0.87,8.92,0.79,-0.97,0.14,223.96,245.8,-315.52,-10.64,88.98,0.19695743182181574,5.0,0
69.15,-60.54,-29.12,0.21,0.54,-0.34,28.04,5.55,13.38,-7.81,-32.97,0.19517842205664826,3.0,1
69.71,-55.15,-9.75,-0.08,-0.44,0.31,0.0,0.0,0.0,-13.23,-34.29,0.19058292853590716,3.0,0
70.8,-43.64,-7.85,0.43,-0.41,0.42,0.0,0.0,0.0,-13.48,-34.85,0.18882118856976537,3.0,1
78.02,-30.87,21.82,0.43,0.19,0.45,0.0,0.0,0.0,-13.23,-35.07,0.18549572341822557,2.0,1
-0.68,-1.63,-10.32,0.0,0.0,0.0,2.97,-4.21,38.65,0.37,-80.24,0.18210632326603735,2.0,0
75.61,-54.61,-14.31,-0.31,-0.41,0.23,0.0,0.0,0.0,-7.95,-31.47,0.17873996176063453,3.0,0
78.02,-71.13,4.43,-0.57,-0.51,0.38,0.0,0.0,0.0,-13.79,-34.88,0.17435323071471165,3.0,0
-8.71,4.55,-1.47,0.78,-1.09,0.91,49.15,-19.98,8.49,-88.2,174.47,0.17266470367316292,6.0,0
-0.52,1.24,6.03,0.55,-0.7,0.09,223.96,245.8,-315.52,-9.7,91.04,0.17115287974547508,5.0,0
77.59,-65.71,-0.44,-0.92,-0.8,0.45,0.0,0.0,0.0,-8.05,-31.47,0.16281061146547338,3.0,0
-28.52,34.04,27.87,-0.12,-0.24,-0.43,51.68,1.88,9.18,-52.77,-19.22,0.15709259938018783,2.0,0
68.85,-60.2,-36.03,0.05,-0.01,-0.03,30.0,6.45,13.9,-5.82,-31.03,0.1559835475844581,2.0,0
-9.09,-3.84,-7.15,-1.48,2.08,0.49,18.6,-40.5,3.94,-71.69,-19.99,0.15584717128853487,6.0,0
-1.81,1.29,11.37,0.06,0.06,0.11,166.41,92.56,323.02,-10.27,89.51,0.1556191915692689,3.0,0
73.51,-25.87,7.72,0.58,-0.57,0.62,0.0,0.0,0.0,-13.47,-35.13,0.1444923886618911,2.0,1
65.21,-47.68,44.99,-2.11,2.11,0.2,0.0,0.0,0.0,-12.8,-41.04,0.1406734022589384,4.0,1
61.4,-56.24,-1.18,0.7,0.76,-0.54,28.93,6.45,12.18,-2.34,-31.47,0.13434476498714437,2.0,1
-42.75,17.39,14.58,0.34,-0.43,0.33,80.72,-2.41,2.68,-58.9,-5.17,0.1339197350237824,2.0,0
-9.39,-4.76,-6.3,-0.97,1.81,0.8,26.79,-34.76,1.54,-72.01,-18.61,0.13312111705160312,6.0,0
-0.79,0.95,9.75,-0.03,0.0,-0.01,223.96,245.8,-315.52,-9.43,91.11,0.13183216539198006,5.0,0
-10.48,5.32,4.16,0.61,-0.71,0.91,49.15,-19.98,8.49,-89.2,-130.04,0.1306301781937274,5.0,0
-2.19,0.51,9.89,0.59,-0.74,0.09,260.94,-289.3,-296.97,-11.27,87.31,0.13046988138894092,5.0,0
-1.11,1.56,8.91,0.0,0.03,-0.01,-37.6,-156.19,188.14,-11.41,92.73,0.12794079281013235,5.0,0
-9.85,55.79,4.21,-0.2,-0.21,-0.23,51.86,-4.38,8.32,-63.31,-15.86,0.12374673944216918,2.0,0
78.02,-46.99,14.82,-2.42,1.75,2.09,0.0,0.0,0.0,-13.56,-34.99,0.12164969897909263,2.0,1
-9.09,-3.84,-7.15,-1.48,2.08,0.49,18.6,-40.5,3.94,-71.37,-21.31,0.11950679250190152,6.0,0
60.95,-34.0,25.39,0.36,-0.12,0.32,0.0,0.0,0.0,-13.26,-35.13,0.11657819284361047,3.0,0
-36.22,28.1,44.7,-0.22,0.56,0.06,46.81,13.53,7.28,-38.15,-6.7,0.11533661371248506,2.0,0
-10.48,5.32,4.16,0.61,-0.71,0.91,49.15,-19.98,8.49,-89.03,-98.25,0.11359409099079104,5.0,0
11.3,-14.52,32.98,-0.45,0.31,-0.33,0.0,0.0,0.0,2.35,10.63,0.10775777159611608,4.0,0
-19.14,78.88,70.17,-0.95,0.02,-0.36,82.17,20.16,6.15,-41.93,-3.19,0.10594903573007243,2.0,0
-28.33,-0.75,-2.37,0.88,1.21,0.43,50.42,33.6,22.88,-34.47,-7.56,0.10559171623937988,5.0,0
-44.23,78.88,57.69,-0.27,0.47,-0.53,87.04,21.05,1.82,-41.6,-1.2,0.10310068552087105,2.0,0
-9.83,-2.38,-6.68,-0.53,1.78,-0.38,19.67,-37.63,6.34,-44.7,-75.49,0.1024888845182587,6.0,0
-37.72,-78.02,-45.83,0.07,0.4,0.54,81.62,15.68,-3.72,-41.33,0.92,0.1008284668304433,2.0,0
-9.96,3.24,-3.98,-0.01,0.0,0.52,49.15,-19.98,8.49,-87.17,-172.37,0.10021423152105338,6.0,0
-0.77,3.8,29.61,1.03,-1.19,0.26,184.27,97.4,242.75,-12.36,95.79,0.1001925983419547,6.0,0
-9.8,4.5,1.49,0.32,-0.06,0.95,49.15,-19.98,8.49,-88.13,-61.46,0.10016519631509635,5.0,0
-2.29,0.15,10.53,0.45,-0.55,0.06,260.94,-289.3,-296.97,-11.86,86.02,0.0994045627147103,5.0,0
-9.11,3.09,-4.19,-0.54,0.73,0.25,48.07,-23.92,6.06,-86.71,-159.51,0.09740951511258185,6.0,0
-9.93,2.54,-6.31,0.49,-0.76,0.79,49.15,-19.98,8.49,-87.45,179.43,0.0958536623834418,6.0,0
-0.76,1.74,8.74,0.02,-0.02,0.0,209.7,100.45,206.17,-10.63,97.94,0.09570600560177198,3.0,0
-36.22,28.1,44.7,-0.22,0.56,0.06,46.81,13.53,7.28,-37.74,-6.81,0.0955868439884946,2.0,0
-0.56,1.49,8.63,0.07,-0.1,0.02,209.7,100.45,206.17,-10.65,97.91,0.09528448471459501,3.0,0
-79.81,78.88,43.13,0.17,0.84,0.59,80.9,16.39,-3.38,-44.39,-0.06,0.0951481176047351,5.0,0
-0.57,0.73,6.66,0.06,-0.09,0.02,208.08,181.64,306.55,-8.39,92.49,0.09511291661012525,4.0,0
78.02,-76.82,21.23,-1.92,1.52,2.08,0.0,0.0,0.0,-13.95,-34.9,0.09502579598567854,4.0,1
-11.18,-2.18,-2.25,-0.42,0.93,-0.18,56.37,-3.49,15.77,-64.91,-31.13,0.09433392006917943,5.0,0
-0.56,1.49,8.63,0.07,-0.1,0.02,209.7,100.45,206.17,-10.71,97.87,0.09424044268892112,3.0,0
-0.76,1.74,8.74,0.02,-0.02,0.0,209.7,100.45,206.17,-10.61,97.95,0.09318502831686752,3.0,0
-0.17,1.03,10.38,-0.71,0.72,-0.28,306.76,-16.04,262.0,-6.06,94.07,0.09231090090426732,5.0,0
-10.54,4.22,2.41,0.36,-0.23,0.89,49.15,-19.98,8.49,-88.66,-79.93,0.09183944457692877,5.0,0
-37.19,69.0,-6.83,-0.12,0.78,0.07,0.0,0.0,0.0,-9.08,-31.27,0.0916485398091882,2.0,0
-0.95,0.56,8.47,0.02,-0.04,0.05,-37.6,-156.19,188.14,-11.46,92.7,0.09158496306500899,5.0,0
-9.19,-1.55,-4.78,-0.92,2.26,-0.47,17.71,-39.96,3.43,-49.3,-71.54,0.09141015228019024,6.0,0
-10.54,4.22,2.41,0.36,-0.23,0.89,49.15,-19.98,8.49,-88.42,-69.37,0.09123779417427569,5.0,0
69.15,-60.54,-29.12,0.21,0.54,-0.34,28.04,5.55,13.38,-7.19,-33.04,0.08990329801275397,2.0,0
-9.83,-2.38,-6.68,-0.53,1.78,-0.38,19.67,-37.63,6.34,-44.45,-75.4,0.08963376054306656,6.0,0
-31.07,78.4,48.7,-0.21,-0.04,-0.77,51.68,17.29,7.1,-35.27,-4.82,0.08960256467206054,2.0,0
-0.67,-1.64,-10.32,0.0,0.0,0.0,2.97,-4.21,38.65,0.37,-80.24,0.08948340305878315,2.0,0
77.59,-55.97,6.81,-0.62,-0.41,1.91,0.0,0.0,0.0,-7.97,-31.84,0.08918226553130401,3.0,1
37.43,-30.65,18.46,-1.21,1.33,0.39,0.0,0.0,0.0,-12.88,-33.99,0.08801502921055895,3.0,0
-9.8,4.5,1.49,0.32,-0.06,0.95,49.15,-19.98,8.49,-87.86,-53.02,0.08718900921152131,5.0,0
47.78,-58.34,28.6,-1.05,0.85,0.93,0.0,0.0,0.0,-8.71,-31.03,0.08651430204735149,4.0,1
-1.93,0.01,11.19,0.0,0.0,0.01,208.08,181.64,306.55,-8.42,92.44,0.0861374713581852,3.0,0
-2.21,0.3,8.51,0.34,-0.43,0.06,260.94,-289.3,-296.97,-12.2,85.31,0.08548382783718875,5.0,0
-1.26,0.86,9.74,0.0,0.01,0.0,-232.61,164.07,138.72,-8.33,91.52,0.08532791278460185,3.0,0
-47.53,43.24,18.29,-0.53,1.31,0.06,58.35,38.26,20.8,-36.99,-3.89,0.084923349370298,2.0,0
-13.88,-2.08,-1.58,-0.44,0.99,0.02,56.37,-3.49,15.77,-65.57,-29.93,0.08482102581107068,5.0,0
-11.18,-2.18,-2.25,-0.42,0.93,-0.18,56.37,-3.49,15.77,-65.22,-30.61,0.08463660640402805,5.0,0
