v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_ecod,anomaly_vote_count,GERCEK_ETIKET_label
6.99,-10.4,-15.59,1.09,-1.59,-2.38,-25.19,31.9,23.51,51.47,-64.61,1.0,5.0,0
6.45,-10.1,-14.12,0.86,-1.25,-1.97,-32.85,31.36,18.87,51.13,-64.91,0.9989825440088481,5.0,0
7.16,-11.75,-13.83,1.43,-1.9,-2.58,-25.19,31.9,23.51,51.64,-64.39,0.9974425379945001,5.0,0
6.99,-10.4,-15.59,1.09,-1.59,-2.38,-25.19,31.9,23.51,51.3,-64.83,0.9970405038769893,5.0,0
7.16,-11.75,-13.83,1.43,-1.9,-2.58,-25.19,31.9,23.51,51.77,-64.1,0.9941501971182282,5.0,0
6.45,-10.1,-14.12,0.86,-1.25,-1.97,-32.85,31.36,18.87,51.24,-67.98,0.9913686322097467,5.0,0
7.15,-10.5,-16.06,0.88,-1.05,-1.47,-32.85,31.36,18.87,51.05,-68.1,0.9864353190426917,5.0,0
6.86,-13.32,-13.68,1.75,-2.14,-2.64,-25.19,31.9,23.51,51.12,-60.23,0.9843231758113687,5.0,0
6.86,-13.32,-13.68,1.75,-2.14,-2.64,-25.19,31.9,23.51,51.26,-60.22,0.9790526493371067,5.0,0
7.15,-10.5,-16.06,0.88,-1.05,-1.47,-32.85,31.36,18.87,50.87,-68.18,0.9751714889398632,5.0,0
6.66,-14.65,-14.09,2.06,-2.3,-2.61,-25.19,31.9,23.51,51.4,-60.21,0.9726075695297237,5.0,0
6.66,-14.65,-14.09,2.06,-2.3,-2.61,-25.19,31.9,23.51,51.52,-60.17,0.9631024331931267,5.0,0
7.28,-11.91,-14.92,1.02,-0.85,-0.99,-32.85,31.36,18.87,50.72,-68.11,0.9580842195676341,5.0,0
6.43,-15.93,-12.37,2.2,-2.19,-2.48,-25.19,31.9,23.51,51.67,-60.21,0.9445310356021078,5.0,0
7.28,-11.91,-14.92,1.02,-0.85,-0.99,-32.85,31.36,18.87,50.57,-68.03,0.9438756255859012,5.0,0
6.43,-15.93,-12.37,2.2,-2.19,-2.48,-25.19,31.9,23.51,51.07,-59.55,0.9320598343787622,5.0,0
7.44,-12.55,-15.22,1.13,-0.7,-0.69,-32.85,31.36,18.87,50.62,-67.07,0.9274014646662635,5.0,0
2.04,-12.93,-16.2,1.75,-1.41,-1.51,-31.07,21.68,37.41,5.63,-39.43,0.9268200657695665,5.0,0
-9.5,4.25,-0.46,-1.03,1.42,0.0,48.07,-23.92,6.06,-86.4,-149.07,0.9251206251409677,5.0,0
-10.71,3.21,0.83,-1.21,1.62,-0.18,48.07,-23.92,6.06,-86.17,-139.58,0.9242040296429067,5.0,0
-10.19,4.91,2.31,0.91,-1.12,0.62,44.28,-35.03,5.8,-81.96,128.46,0.9223272246794177,5.0,0
-10.71,3.21,0.83,-1.21,1.62,-0.18,48.07,-23.92,6.06,-86.1,-135.01,0.9214059936154936,5.0,0
-9.11,3.09,-4.19,-0.54,0.73,0.25,48.07,-23.92,6.06,-86.53,-153.72,0.9202280818504759,5.0,0
-9.5,4.25,-0.46,-1.03,1.42,0.0,48.07,-23.92,6.06,-86.22,-144.32,0.9190204254498741,5.0,0
2.23,-14.32,-20.74,1.71,-1.88,-1.6,-42.1,17.38,46.33,5.43,-39.4,0.9173648027990454,5.0,0
-10.19,4.91,2.31,0.91,-1.12,0.62,44.28,-35.03,5.8,-81.0,129.91,0.9168499733189944,5.0,0
-10.47,4.74,0.97,1.05,-1.27,0.65,44.28,-35.03,5.8,-82.38,128.05,0.9153684149449416,5.0,0
2.04,-12.93,-16.2,1.75,-1.41,-1.51,-31.07,21.68,37.41,7.95,-34.12,0.9151211623600454,5.0,0
-10.47,4.74,0.97,1.05,-1.27,0.65,44.28,-35.03,5.8,-82.77,127.37,0.9150185977181845,5.0,0
7.44,-12.55,-15.22,1.13,-0.7,-0.69,-32.85,31.36,18.87,50.48,-66.95,0.9146584468239548,5.0,0
1.83,-12.88,-14.43,2.03,-1.43,-1.37,-31.07,21.68,37.41,8.13,-34.17,0.9143794522616221,5.0,0
-10.5,5.85,2.66,0.86,-1.11,0.57,44.28,-35.03,5.8,-80.56,130.26,0.9140577851903148,5.0,0
