v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_hbos,anomaly_vote_count,GERCEK_ETIKET_label
3.73,-16.62,-9.41,-0.76,1.51,-0.34,-43.53,24.19,-15.44,44.87,-43.82,0.9999999999999999,5.0,0
3.84,-16.55,-9.62,-0.76,1.5,-0.4,-43.53,24.19,-15.44,44.71,-43.69,0.9999999999999999,5.0,0
3.84,-16.55,-9.62,-0.76,1.5,-0.4,-43.53,24.19,-15.44,44.82,-43.79,0.9999999999999999,5.0,0
3.73,-16.62,-9.41,-0.76,1.51,-0.34,-43.53,24.19,-15.44,44.86,-43.81,0.9998134780623892,5.0,0
4.01,-16.32,-9.18,-0.74,1.48,-0.46,-43.17,23.83,-14.07,44.66,-43.64,0.9994374455835745,5.0,0
4.01,-16.32,-9.18,-0.74,1.48,-0.46,-43.17,23.83,-14.07,42.15,-41.39,0.9990024165755568,5.0,0
4.34,-16.13,-10.13,-0.75,1.46,-0.5,-43.17,23.83,-14.07,42.06,-41.31,0.9985673875675386,5.0,0
4.34,-16.13,-10.13,-0.75,1.46,-0.5,-43.17,23.83,-14.07,42.03,-41.24,0.9981323585595204,5.0,0
4.59,-11.16,-12.1,-0.77,-0.57,-1.73,-57.24,17.2,18.01,21.35,-59.12,0.994672903692578,5.0,0
4.59,-11.16,-12.1,-0.77,-0.57,-1.73,-57.24,17.2,18.01,21.48,-59.3,0.9930889004870201,5.0,0
6.61,-7.87,-11.82,-1.24,0.01,-1.82,-57.24,17.2,18.01,21.23,-59.02,0.9878562602449844,5.0,0
3.62,-16.54,-8.76,-0.72,1.49,-0.29,-43.53,24.19,-15.44,49.94,-48.22,0.9876488525687387,5.0,0
7.16,-11.75,-13.83,1.43,-1.9,-2.58,-25.19,31.9,23.51,51.77,-64.1,0.9844781162067303,5.0,0
7.16,-11.75,-13.83,1.43,-1.9,-2.58,-25.19,31.9,23.51,51.64,-64.39,0.9841451896576628,5.0,0
4.5,-16.11,-10.1,-0.73,1.38,-0.53,-43.17,23.83,-14.07,41.99,-41.17,0.98397635754656,5.0,0
6.86,-13.32,-13.68,1.75,-2.14,-2.64,-25.19,31.9,23.51,51.12,-60.23,0.9836672757315993,5.0,0
6.61,-7.87,-11.82,-1.24,0.01,-1.82,-57.24,17.2,18.01,21.05,-58.82,0.9830151848426202,5.0,0
6.66,-14.65,-14.09,2.06,-2.3,-2.61,-25.19,31.9,23.51,51.52,-60.17,0.981445946216592,5.0,0
6.86,-13.32,-13.68,1.75,-2.14,-2.64,-25.19,31.9,23.51,51.26,-60.22,0.9813754600876569,5.0,0
6.66,-14.65,-14.09,2.06,-2.3,-2.61,-25.19,31.9,23.51,51.4,-60.21,0.9813334164895183,5.0,0
3.83,-13.05,-12.07,-1.72,0.59,-1.73,-57.24,17.2,18.01,19.16,-54.14,0.9808168725380345,5.0,0
3.83,-13.05,-12.07,-1.72,0.59,-1.73,-57.24,17.2,18.01,19.36,-54.37,0.9804364256950345,5.0,0
7.15,-10.5,-16.06,0.88,-1.05,-1.47,-32.85,31.36,18.87,51.05,-68.1,0.9791194672243274,5.0,0
7.15,-10.5,-16.06,0.88,-1.05,-1.47,-32.85,31.36,18.87,50.87,-68.18,0.9782836986610252,5.0,0
4.87,-10.73,-13.71,-0.35,-1.14,-1.53,-57.24,17.2,18.01,21.53,-59.38,0.9782701452939512,5.0,0
7.28,-11.91,-14.92,1.02,-0.85,-0.99,-32.85,31.36,18.87,50.72,-68.11,0.975827534192704,5.0,0
3.62,-16.54,-8.76,-0.72,1.49,-0.29,-43.53,24.19,-15.44,49.89,-48.1,0.9754775684853162,5.0,0
6.43,-15.93,-12.37,2.2,-2.19,-2.48,-25.19,31.9,23.51,51.67,-60.21,0.9754580856248597,5.0,0
6.43,-15.93,-12.37,2.2,-2.19,-2.48,-25.19,31.9,23.51,51.07,-59.55,0.9747298607233797,5.0,0
7.28,-11.91,-14.92,1.02,-0.85,-0.99,-32.85,31.36,18.87,50.57,-68.03,0.9737264578004033,5.0,0
5.97,-17.03,-9.3,2.09,-1.77,-2.32,-25.19,31.9,23.51,51.15,-59.65,0.9724014268103228,5.0,0
4.5,-16.11,-10.1,-0.73,1.38,-0.53,-43.17,23.83,-14.07,42.02,-41.15,0.9698203565335995,5.0,0
3.53,-14.34,-15.87,-0.84,0.26,0.77,-44.95,27.77,17.5,28.77,-73.43,0.9695165151234154,5.0,0
6.99,-10.4,-15.59,1.09,-1.59,-2.38,-25.19,31.9,23.51,51.47,-64.61,0.9695156606392087,5.0,0
7.44,-12.55,-15.22,1.13,-0.7,-0.69,-32.85,31.36,18.87,50.62,-67.07,0.9690748885835,5.0,0
3.09,-14.32,-12.37,-2.15,1.08,-1.53,-49.23,24.91,12.69,19.01,-54.05,0.9687806904814235,5.0,0
6.99,-10.4,-15.59,1.09,-1.59,-2.38,-25.19,31.9,23.51,51.3,-64.83,0.9686139935043704,5.0,0
7.44,-12.55,-15.22,1.13,-0.7,-0.69,-32.85,31.36,18.87,50.48,-66.95,0.9685418025654523,5.0,0
3.53,-14.34,-15.87,-0.84,0.26,0.77,-44.95,27.77,17.5,28.69,-73.32,0.9683512684417636,5.0,0
3.17,-11.25,-11.11,-0.4,1.38,-1.68,-14.15,34.76,11.84,40.78,-68.28,0.9669879185009428,5.0,0
7.33,-13.03,-15.25,1.03,-0.36,-0.54,-32.85,31.36,18.87,50.36,-66.8,0.9668723673088805,5.0,0
5.97,-17.03,-9.3,2.09,-1.77,-2.32,-25.19,31.9,23.51,51.19,-59.91,0.9666894604577122,5.0,0
4.28,-12.87,-14.86,-0.89,0.37,0.87,-44.95,27.77,17.5,29.38,-72.83,0.9664523968755622,5.0,0
3.17,-11.25,-11.11,-0.4,1.38,-1.68,-14.15,34.76,11.84,40.89,-68.47,0.9663679681252514,5.0,0
6.45,-10.1,-14.12,0.86,-1.25,-1.97,-32.85,31.36,18.87,51.13,-64.91,0.9663573998467868,5.0,0
4.28,-12.87,-14.86,-0.89,0.37,0.87,-44.95,27.77,17.5,28.83,-73.57,0.9663060332905334,5.0,0
7.33,-13.03,-15.25,1.03,-0.36,-0.54,-32.85,31.36,18.87,50.25,-66.65,0.9661038296869539,5.0,0
6.45,-10.1,-14.12,0.86,-1.25,-1.97,-32.85,31.36,18.87,51.24,-67.98,0.9651986979569555,5.0,0
7.48,-12.99,-14.54,0.86,0.06,-0.52,-32.85,31.36,18.87,51.54,-65.61,0.9645566808397313,5.0,0
4.95,-12.28,-15.17,-1.29,0.87,0.9,-45.84,26.16,14.93,30.03,-71.34,0.9641612726524648,5.0,0
4.95,-12.28,-15.17,-1.29,0.87,0.9,-45.84,26.16,14.93,30.04,-71.41,0.9635774185638594,5.0,0
5.06,-12.26,-15.13,-1.2,0.76,0.92,-45.84,26.16,14.93,30.01,-71.27,0.9635719526472203,5.0,0
4.87,-10.73,-13.71,-0.35,-1.14,-1.53,-57.24,17.2,18.01,21.06,-60.77,0.9630926954918583,5.0,0
7.48,-12.99,-14.54,0.86,0.06,-0.52,-32.85,31.36,18.87,51.49,-65.46,0.9630429065604352,5.0,0
5.06,-12.26,-15.13,-1.2,0.76,0.92,-45.84,26.16,14.93,30.0,-71.2,0.9629905600541738,5.0,0
5.04,-12.25,-14.89,-1.09,0.64,0.92,-45.84,26.16,14.93,29.53,-72.9,0.9624091674611271,5.0,0
4.96,-12.25,-14.82,-0.98,0.51,0.9,-44.95,27.77,17.5,29.45,-72.98,0.9618279099728771,5.0,0
5.04,-12.25,-14.89,-1.09,0.64,0.92,-45.84,26.16,14.93,29.48,-73.01,0.9618277748680802,5.0,0
4.96,-12.25,-14.82,-0.98,0.51,0.9,-44.95,27.77,17.5,29.42,-72.94,0.9616815463878486,5.0,0
3.73,-9.31,-21.89,-0.53,0.31,-1.49,-14.15,34.76,11.84,40.91,-68.56,0.9609905482041753,5.0,0
3.34,-16.92,-9.75,-0.64,1.42,-0.23,-43.53,24.19,-15.44,49.71,-47.93,0.9603715857215979,5.0,0
5.0,-17.8,-10.1,1.89,-1.37,-2.12,-19.85,27.95,29.0,51.22,-60.17,0.9576611697348948,5.0,0
3.12,-15.04,-16.87,-0.81,0.2,0.55,-44.95,27.77,17.5,28.64,-73.15,0.9573724231194666,5.0,0
8.63,-11.57,-12.83,0.75,0.38,-0.55,-36.41,31.36,14.41,51.58,-65.37,0.9561963992977384,5.0,0
3.73,-9.31,-21.89,-0.53,0.31,-1.49,-14.15,34.76,11.84,41.1,-68.4,0.9560487965147378,5.0,0
4.7,-15.99,-10.26,-0.66,1.26,-0.54,-43.17,23.83,-14.07,39.76,-38.96,0.9556643555206393,5.0,0
4.87,-12.33,-14.98,-1.36,0.97,0.88,-45.84,26.16,14.93,30.05,-71.48,0.9556620143701836,5.0,0
5.0,-17.8,-10.1,1.89,-1.37,-2.12,-19.85,27.95,29.0,51.28,-60.45,0.95522456824654,5.0,0
3.3,-8.56,-32.55,-0.96,-0.69,-1.98,-14.15,34.76,11.84,41.26,-68.14,0.9548772340759545,5.0,0
4.26,-12.81,-9.79,-0.38,1.28,-1.72,-14.15,34.76,11.84,45.03,-73.9,0.9547740062450855,5.0,0
8.63,-11.57,-12.83,0.75,0.38,-0.55,-36.41,31.36,14.41,51.57,-65.3,0.9546892638346519,5.0,0
2.04,-12.93,-16.2,1.75,-1.41,-1.51,-31.07,21.68,37.41,7.95,-34.12,0.9524461500907501,5.0,0
2.45,-14.86,-12.58,-2.47,1.36,-1.29,-49.23,24.91,12.69,18.81,-53.8,0.9523516830854818,5.0,0
4.12,-18.07,-12.13,1.73,-1.17,-1.91,-19.85,27.95,29.0,49.7,-60.39,0.9520511906553831,5.0,0
2.04,-12.93,-16.2,1.75,-1.41,-1.51,-31.07,21.68,37.41,5.63,-39.43,0.9518274120258846,5.0,0
5.63,-14.98,-7.77,-0.7,1.3,-0.84,-21.81,37.09,3.08,51.52,-62.8,0.9517564189978674,5.0,0
4.12,-18.07,-12.13,1.73,-1.17,-1.91,-19.85,27.95,29.0,49.83,-60.66,0.9500391073845696,5.0,0
3.3,-8.56,-32.55,-0.96,-0.69,-1.98,-14.15,34.76,11.84,41.68,-62.58,0.9495363071898807,5.0,0
9.15,-10.62,-10.34,0.8,0.42,-0.52,-36.41,31.36,14.41,51.63,-65.21,0.9493130387358667,5.0,0
9.15,-10.62,-10.34,0.8,0.42,-0.52,-36.41,31.36,14.41,53.41,-64.44,0.9489162064677231,5.0,0
5.63,-14.98,-7.77,-0.7,1.3,-0.84,-21.81,37.09,3.08,51.58,-62.65,0.9482958470144399,5.0,0
3.34,-16.92,-9.75,-0.64,1.42,-0.23,-43.53,24.19,-15.44,49.59,-47.79,0.9474617866641245,5.0,0
3.09,-13.96,-16.67,-0.75,0.15,0.3,-44.95,27.77,17.5,27.94,-74.23,0.9437292806207497,5.0,0
9.94,-9.82,-9.63,1.09,0.14,-0.42,-36.41,31.36,14.41,53.54,-64.26,0.9433358832572339,5.0,0
9.94,-9.82,-9.63,1.09,0.14,-0.42,-36.41,31.36,14.41,53.64,-64.13,0.9429391639301222,5.0,0
2.23,-14.32,-20.74,1.71,-1.88,-1.6,-42.1,17.38,46.33,5.43,-39.4,0.9419061334655033,5.0,0
5.9,-15.74,-8.84,-0.97,1.46,-0.83,-21.81,37.09,3.08,49.86,-60.75,0.9417830186780282,5.0,0
4.7,-15.99,-10.26,-0.66,1.26,-0.54,-43.17,23.83,-14.07,39.82,-38.95,0.9414568075470596,5.0,0
1.83,-12.88,-14.43,2.03,-1.43,-1.37,-31.07,21.68,37.41,8.13,-34.17,0.9414102971517916,5.0,0
4.87,-12.33,-14.98,-1.36,0.97,0.88,-45.84,26.16,14.93,30.2,-68.52,0.9413522201749119,5.0,0
4.26,-12.81,-9.79,-0.38,1.28,-1.72,-14.15,34.76,11.84,45.04,-73.7,0.941341565317014,5.0,0
3.12,-15.04,-16.87,-0.81,0.2,0.55,-44.95,27.77,17.5,28.59,-72.98,0.9408285604449914,5.0,0
6.12,-12.08,-13.15,-0.77,1.95,1.44,-20.38,33.15,21.62,48.84,-61.6,0.9400227035843266,5.0,0
5.47,-15.4,-7.2,-0.39,1.05,-0.84,-21.81,37.09,3.08,51.57,-62.36,0.9399798732007539,5.0,0
5.87,-11.99,-12.52,-0.74,1.85,1.45,-20.38,33.15,21.62,49.75,-59.41,0.9395286638811317,5.0,0
5.87,-11.99,-12.52,-0.74,1.85,1.45,-20.38,33.15,21.62,48.71,-61.28,0.9395286638811317,5.0,0
6.12,-12.08,-13.15,-0.77,1.95,1.44,-20.38,33.15,21.62,48.76,-61.47,0.9395160647054913,5.0,0
0.82,-11.87,-12.11,-1.29,-0.04,-1.69,-14.15,34.76,11.84,42.12,-61.76,0.9390426465025133,5.0,0
0.82,-11.87,-12.11,-1.29,-0.04,-1.69,-14.15,34.76,11.84,41.96,-62.07,0.9383978653660751,5.0,0
1.83,-12.88,-14.43,2.03,-1.43,-1.37,-31.07,21.68,37.41,8.47,-33.82,0.9381140157854823,5.0,0
5.44,-12.07,-11.79,-0.68,1.69,1.44,-20.38,33.15,21.62,49.65,-59.19,0.9380792792406113,5.0,0
5.9,-15.74,-8.84,-0.97,1.46,-0.83,-21.81,37.09,3.08,49.73,-60.72,0.9372510917561131,5.0,0
3.64,-15.9,-7.86,-0.56,1.38,-0.2,-43.53,24.19,-15.44,49.6,-47.66,0.9365706490937135,5.0,0
5.47,-15.4,-7.2,-0.39,1.05,-0.84,-21.81,37.09,3.08,51.57,-62.07,0.9360843582882489,5.0,0
5.44,-12.07,-11.79,-0.68,1.69,1.44,-20.38,33.15,21.62,49.56,-58.97,0.9340510073014002,5.0,0
3.09,-13.96,-16.67,-0.75,0.15,0.3,-44.95,27.77,17.5,27.84,-74.18,0.934031612453294,5.0,0
2.58,-12.53,-13.45,-0.58,-0.39,-0.34,-53.32,13.62,37.92,14.68,-62.37,0.9340267732443551,5.0,0
3.28,-17.83,-13.52,1.61,-1.1,-1.74,-19.85,27.95,29.0,49.95,-60.93,0.9328904397312373,5.0,0
2.23,-14.32,-20.74,1.71,-1.88,-1.6,-42.1,17.38,46.33,5.26,-39.33,0.9320450450644823,5.0,0
5.77,-9.41,-15.03,-0.04,-1.56,-1.21,-57.24,17.2,18.01,21.07,-60.84,0.9318123086526638,5.0,0
0.8,-11.41,-10.86,-1.51,0.05,-1.51,-8.27,35.66,2.05,42.26,-61.28,0.9316552077162649,5.0,0
5.19,-12.4,-11.02,-0.58,1.47,1.42,-20.38,33.15,21.62,49.45,-58.7,0.9299421031459029,5.0,0
10.15,-9.59,-8.95,1.49,-0.29,-0.27,-36.41,31.36,14.41,53.71,-63.89,0.929716229287925,5.0,0
1.32,-16.74,-26.48,1.9,-2.88,-1.58,-42.1,17.38,46.33,5.13,-39.13,0.9285283030031427,5.0,0
4.8,-12.52,-14.45,-1.41,1.09,0.85,-45.84,26.16,14.93,30.21,-68.56,0.9282544926513515,5.0,0
3.09,-14.32,-12.37,-2.15,1.08,-1.53,-49.23,24.91,12.69,18.74,-53.88,0.9281314466771481,5.0,0
5.01,-13.07,-9.91,-0.4,1.18,1.38,-20.38,33.15,21.62,49.15,-55.75,0.9270435505602231,5.0,0
5.01,-13.07,-9.91,-0.4,1.18,1.38,-20.38,33.15,21.62,49.28,-56.06,0.9270435505602231,5.0,0
6.31,-12.03,-13.71,-0.77,1.99,1.41,-22.87,34.23,18.19,48.95,-61.69,0.9257202038815407,5.0,0
5.19,-12.4,-11.02,-0.58,1.47,1.42,-20.38,33.15,21.62,49.32,-58.55,0.9250248890731608,5.0,0
