v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_lightgbm,anomaly_vote_count,GERCEK_ETIKET_label
-3.55,-5.54,-15.86,1.24,-1.27,1.06,86.31,22.85,3.2,-43.27,3.37,1.0,10.0,1
-3.0,-3.62,-4.8,0.97,0.02,0.09,79.81,22.49,-0.6,-45.54,5.75,0.9999747641590744,9.0,1
5.77,-13.06,9.34,1.1,0.51,0.0,83.79,15.32,-2.34,-42.29,2.12,0.9999747641590744,7.0,1
-12.23,-11.84,-14.49,0.41,-0.72,0.6,86.31,19.26,-0.6,-43.9,1.67,0.9999747641590744,9.0,1
-0.53,-0.14,1.27,0.52,-0.54,0.77,83.61,24.46,-1.47,-43.47,3.39,0.9999747641590744,10.0,1
8.68,-4.74,-2.54,1.28,0.38,0.21,83.97,21.23,-2.5,-45.17,4.44,0.9999747641590744,10.0,1
7.52,-9.8,5.09,0.0,0.1,0.45,82.17,20.52,1.64,-44.36,1.98,0.9999747641590744,10.0,1
0.3,-5.88,-3.91,-0.19,0.11,0.0,83.43,22.13,5.28,-43.28,-0.11,0.9999747641590744,6.0,0
0.95,-6.52,-8.28,0.08,-0.21,0.54,85.59,20.34,2.5,-43.07,1.84,0.9999747641590744,9.0,1
12.78,-56.94,-21.92,-0.09,0.01,-0.22,85.23,21.05,2.5,-40.62,-2.8,0.9999747641590744,6.0,1
2.83,-4.72,-27.98,-0.78,-0.83,0.42,81.08,24.1,2.34,-43.64,-0.18,0.9999747641590744,10.0,1
10.99,-52.52,23.27,-0.01,0.0,-0.5,83.43,23.2,5.63,-40.64,-2.4,0.9999747641590744,7.0,1
-0.41,-9.53,-6.83,0.03,0.92,-0.33,83.25,22.31,-1.47,-42.86,3.98,0.9999747641590744,6.0,1
10.31,-47.09,-30.34,0.24,0.87,0.49,88.84,20.34,3.9,-40.73,-1.88,0.9999726193242827,7.0,1
37.15,-23.29,-9.19,-0.11,0.07,0.35,89.74,23.03,4.76,-40.87,1.33,0.9999726193242827,7.0,1
28.96,-7.75,-39.21,0.35,0.86,0.17,86.49,24.1,3.03,-41.45,-1.73,0.9999726193242827,7.0,1
40.35,-36.58,-41.82,0.37,0.63,0.22,85.41,21.23,1.99,-40.88,-0.36,0.9999726193242827,7.0,1
