v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_lstm_autoencoder,anomaly_vote_count,GERCEK_ETIKET_label
-8.67,-5.11,-0.92,0.0,-0.01,0.0,53.66,13.53,11.78,-35.36,-6.18,1.0,1.0,0
-8.98,-4.96,-0.74,0.01,-0.07,-0.01,56.73,17.64,10.92,-35.9,-1.23,0.999999998951525,1.0,0
-8.67,-5.03,-1.11,0.0,-0.01,0.0,54.93,15.86,12.3,-34.09,-5.9,0.9999999960533349,1.0,0
-8.66,-5.11,-0.85,0.0,0.0,0.0,54.93,15.5,11.61,-34.84,-5.12,0.9999999945071845,1.0,0
-10.06,-4.46,0.14,0.0,0.05,-0.01,78.02,19.98,0.78,-41.34,-1.49,0.9999999937616371,1.0,0
-8.52,-5.16,-1.04,0.0,0.0,0.01,52.04,14.42,14.73,-34.57,-7.16,0.9999999904955169,1.0,0
-8.69,-5.05,-1.12,0.01,0.0,0.0,53.3,14.6,12.82,-35.2,-6.34,0.999999990300253,1.0,0
-8.65,-5.07,-0.65,0.0,0.0,0.0,51.32,16.21,12.3,-34.47,-5.75,0.9999999896914944,1.0,0
-10.05,-4.42,-0.16,0.0,0.03,0.0,69.9,20.87,-3.2,-41.27,-2.75,0.9999999889999562,1.0,0
-8.61,-5.17,-0.97,0.0,0.01,0.0,54.38,14.24,13.17,-34.33,-6.94,0.9999999881749448,1.0,0
-8.61,-5.14,-0.64,0.0,-0.01,0.0,54.38,15.32,10.4,-35.09,-3.83,0.9999999874414488,1.0,0
-8.85,-5.2,-0.96,0.04,0.0,0.09,55.29,16.57,11.26,-35.83,1.25,0.9999999846527617,1.0,0
-8.65,-5.09,-0.81,0.01,0.01,0.0,56.91,15.68,11.09,-35.01,-5.78,0.9999999842636957,1.0,0
-10.14,-4.46,-0.2,0.01,0.0,0.0,68.27,21.77,-0.6,-41.04,-1.82,0.9999999832222296,1.0,0
-8.56,-5.08,-1.09,0.01,-0.03,0.0,53.66,15.32,12.48,-34.24,-7.12,0.9999999830919017,1.0,0
-10.15,-4.51,0.35,0.0,0.02,0.0,77.84,19.8,-0.43,-41.37,-1.57,0.9999999821630381,1.0,0
-8.72,-5.12,-1.07,0.01,-0.08,0.05,54.38,16.39,13.52,-34.28,-7.88,0.9999999820454651,1.0,0
-8.59,-5.13,-1.02,0.0,0.01,0.0,50.96,14.78,12.3,-34.27,-6.64,0.9999999818247233,1.0,0
-8.65,-4.94,-0.62,0.0,0.0,0.0,56.19,15.68,11.09,-35.43,-5.41,0.999999981421037,1.0,0
-8.69,-5.05,-1.12,0.01,0.0,0.0,53.3,14.6,12.82,-35.2,-6.33,0.9999999811681254,1.0,0
-8.63,-5.21,-0.9,0.0,0.0,0.01,53.48,15.86,13.69,-35.04,-7.02,0.9999999810640396,1.0,0
-8.72,-4.9,-0.57,-0.01,0.0,0.0,54.56,15.5,10.92,-35.86,-5.02,0.999999980719059,1.0,0
-8.66,-5.0,-0.73,0.0,0.0,0.0,56.55,15.68,10.4,-34.8,-5.44,0.9999999803949349,1.0,0
-8.65,-5.09,-1.08,0.01,-0.01,0.0,56.55,16.39,12.13,-34.55,-5.53,0.9999999801792384,1.0,0
-8.69,-5.09,-1.08,0.0,0.0,0.0,52.94,14.96,13.86,-33.35,-7.31,0.9999999801628278,1.0,0
-10.07,-4.58,-0.16,-0.01,0.03,0.0,69.54,21.95,-0.78,-40.57,-3.02,0.9999999800127046,1.0,0
-8.57,-5.15,-1.06,0.0,0.01,0.0,53.48,14.78,14.73,-34.19,-7.0,0.999999979638057,1.0,0
-10.03,-4.5,-0.2,0.0,0.03,0.0,69.0,21.77,-0.6,-40.91,-2.43,0.9999999795797548,1.0,0
-10.11,-4.5,-0.11,0.0,0.02,0.0,69.0,20.7,-1.3,-41.09,-2.02,0.999999979296144,1.0,0
-8.69,-4.97,-0.74,0.01,0.0,0.0,55.47,16.39,11.09,-34.47,-4.63,0.9999999789355024,1.0,0
-10.09,-4.45,-0.31,0.0,0.0,0.0,70.08,22.85,0.43,-40.99,-2.45,0.9999999789321234,1.0,0
-8.85,-5.03,-1.25,0.02,-0.01,-0.01,53.66,14.24,14.56,-34.45,-7.6,0.999999978927251,1.0,0
-8.65,-5.2,-0.79,0.0,0.01,0.0,52.94,15.68,13.52,-34.52,-5.91,0.9999999789168199,1.0,0
-10.13,-4.48,-0.11,0.01,0.01,0.0,74.95,18.37,-0.08,-41.15,-1.82,0.9999999780750864,1.0,0
-8.61,-4.98,-0.61,-0.01,0.0,0.0,55.65,15.5,11.26,-33.6,-6.72,0.9999999761150263,1.0,0
-8.67,-5.07,-0.87,0.0,0.0,0.0,55.47,15.32,11.78,-34.99,-5.51,0.9999999760295365,1.0,0
-8.69,-5.01,-1.11,0.02,-0.03,0.0,54.93,16.57,13.34,-34.62,-6.03,0.9999999757734478,1.0,0
-8.63,-5.14,-0.94,0.0,0.0,0.0,54.74,14.96,12.13,-34.85,-6.17,0.9999999755810987,1.0,0
-8.69,-5.05,-0.93,0.0,0.0,0.0,54.2,15.86,12.3,-34.47,-4.96,0.9999999755188006,1.0,0
-8.68,-5.04,-0.49,0.0,0.01,-0.01,55.65,15.5,12.3,-34.81,-5.33,0.9999999753015242,1.0,0
-10.13,-4.49,-0.02,-0.01,0.05,-0.07,73.51,18.01,-0.08,-41.46,-3.36,0.9999999751176284,1.0,0
-8.67,-5.11,-0.92,0.0,-0.01,0.0,53.66,13.53,11.78,-35.37,-6.18,0.9999999749712013,1.0,0
-8.69,-5.01,-1.04,0.01,-0.01,0.0,54.38,15.32,12.48,-34.6,-6.49,0.9999999749216524,1.0,0
-8.68,-5.04,-0.91,0.0,0.0,0.0,54.02,15.32,12.82,-34.74,-6.48,0.9999999746066964,1.0,0
-8.74,-4.97,-0.9,0.0,0.02,-0.01,54.56,15.14,10.92,-34.61,-5.31,0.9999999740649786,1.0,0
-8.66,-4.96,-1.24,0.0,0.01,0.0,52.94,16.75,13.86,-34.23,-6.55,0.9999999725441073,1.0,0
-8.61,-5.19,-0.89,0.01,-0.01,0.0,54.2,15.14,13.0,-34.39,-6.03,0.9999999725330938,1.0,0
-8.64,-4.93,-0.78,0.0,0.02,-0.01,53.3,15.32,12.13,-35.05,-5.93,0.9999999725170811,1.0,0
-10.08,-4.4,-0.18,0.02,0.0,0.0,69.9,22.67,-0.78,-41.04,-2.56,0.9999999723438585,1.0,0
-10.02,-4.46,-0.2,0.0,0.01,0.0,77.66,19.26,1.47,-41.36,-2.73,0.9999999717246025,1.0,0
-8.64,-5.12,-1.02,0.0,0.0,0.0,54.74,14.96,12.13,-34.88,-6.18,0.9999999716367545,1.0,0
-8.75,-4.94,-1.08,0.0,0.01,0.0,56.19,15.68,10.4,-35.04,-5.29,0.9999999715379563,1.0,0
-8.77,-4.91,-0.75,-0.01,0.02,-0.01,57.45,15.5,10.57,-34.99,-4.88,0.9999999713980796,1.0,0
-8.55,-5.15,-0.91,0.0,0.0,0.0,52.58,16.75,13.86,-34.45,-6.43,0.999999971141864,1.0,0
-8.61,-5.05,-1.11,0.0,-0.01,0.01,53.48,16.57,11.96,-34.82,-6.37,0.9999999707562837,1.0,0
-8.69,-5.18,-0.73,0.0,0.0,0.0,56.37,15.5,12.3,-34.76,-5.41,0.9999999705392206,1.0,0
-8.65,-5.15,-0.92,0.0,-0.02,0.0,53.3,14.96,13.86,-34.15,-7.25,0.999999970108508,1.0,0
-8.69,-5.05,-0.93,0.0,0.0,0.0,54.2,15.86,12.3,-34.47,-4.98,0.9999999699450131,1.0,0
-8.63,-5.09,-0.59,0.0,0.0,0.0,56.19,16.04,11.09,-35.09,-4.26,0.9999999699310185,1.0,0
-8.71,-5.01,-0.86,0.0,-0.02,-0.01,56.55,16.39,10.05,-35.2,-5.63,0.9999999698351957,1.0,0
-10.11,-4.42,0.06,0.0,0.01,0.0,77.47,20.52,0.26,-41.37,-1.48,0.9999999698143567,1.0,0
-8.84,-5.05,-0.37,0.03,-0.02,0.0,55.83,17.47,9.69,-33.8,-4.8,0.9999999697917358,1.0,0
-8.66,-5.09,-0.89,0.0,0.01,-0.01,54.74,16.04,14.21,-34.18,-6.49,0.9999999696729981,1.0,0
-8.72,-5.05,-0.93,0.0,0.02,0.0,54.38,16.39,11.44,-34.11,-5.85,0.9999999691016767,1.0,0
-8.6,-5.03,-1.03,0.0,0.0,0.0,53.66,13.53,11.78,-35.35,-6.19,0.9999999690970868,1.0,0
-8.81,-5.45,-1.01,0.01,-0.03,0.01,53.12,16.21,14.04,-34.68,-7.33,0.9999999690919663,1.0,0
-8.65,-5.14,-1.26,0.0,0.0,0.0,51.14,15.68,13.17,-34.2,-7.09,0.9999999688179101,1.0,0
-10.06,-4.51,-0.31,0.0,0.0,0.0,70.08,21.41,0.08,-41.08,-2.18,0.9999999685614754,1.0,0
-8.66,-5.24,-0.78,-0.01,0.01,0.0,54.38,13.88,12.48,-34.06,-6.03,0.9999999681149404,1.0,0
-8.64,-5.05,-0.61,0.0,0.02,0.0,56.55,16.39,11.09,-34.58,-4.55,0.9999999680266022,1.0,0
-8.63,-5.01,-1.03,0.0,0.0,0.0,52.4,15.14,14.04,-34.32,-7.39,0.9999999674806175,1.0,0
-8.66,-4.96,-0.83,0.01,-0.02,0.01,56.91,16.39,11.44,-34.15,-5.24,0.999999967448344,1.0,0
-8.66,-5.09,-0.89,0.0,0.01,0.0,57.09,14.78,11.26,-33.43,-6.1,0.9999999674481422,1.0,0
-10.02,-4.57,0.05,0.01,0.0,-0.01,77.66,19.98,1.47,-41.96,-0.14,0.9999999674426067,1.0,0
-8.71,-5.07,-0.7,0.01,0.02,0.0,56.37,15.86,9.52,-35.2,-2.72,0.9999999673576531,1.0,0
-10.13,-4.47,-0.33,0.01,0.01,0.0,69.0,21.77,-1.3,-41.04,-1.79,0.9999999672923393,1.0,0
-8.67,-5.04,-0.71,0.01,0.0,0.01,55.65,15.86,10.57,-35.05,-3.88,0.9999999669949414,1.0,0
-8.63,-5.04,-0.85,0.0,0.01,0.0,56.55,15.68,11.09,-34.68,-5.38,0.9999999669287916,1.0,0
-8.73,-4.96,-0.81,0.0,-0.01,0.0,54.56,15.86,11.26,-34.31,-5.46,0.9999999668665742,1.0,0
-8.61,-5.22,-1.08,0.02,0.0,0.0,58.17,17.29,11.96,-34.03,-5.35,0.9999999668228318,1.0,0
-8.48,-5.01,-0.86,0.0,-0.03,0.06,53.84,16.93,13.69,-34.17,-6.44,0.9999999667928244,1.0,0
-8.73,-4.96,-0.81,0.0,-0.01,0.0,54.56,15.86,11.26,-34.32,-5.46,0.9999999664491932,1.0,0
-8.68,-5.03,-0.55,0.0,0.0,-0.03,56.55,15.32,11.09,-35.25,-3.59,0.9999999664410224,1.0,0
-10.1,-4.42,-0.14,0.0,0.0,0.0,70.08,21.05,-0.95,-41.07,-2.01,0.9999999661141304,1.0,0
-10.18,-4.4,0.06,0.01,0.0,0.0,78.73,17.82,-1.99,-41.25,-0.42,0.9999999659214469,1.0,0
-8.66,-5.04,-0.89,-0.01,0.04,-0.01,52.4,14.78,12.65,-34.26,-6.62,0.9999999656397447,1.0,0
-10.02,-4.55,-0.16,0.0,0.01,0.0,68.64,21.41,-1.64,-41.04,-1.89,0.9999999656230458,1.0,0
-8.72,-5.01,-0.79,0.0,0.0,0.0,56.01,15.5,9.52,-34.89,-4.21,0.9999999653852186,1.0,0
-8.68,-5.09,-0.49,0.01,0.0,0.0,56.37,14.42,9.52,-35.39,-3.5,0.9999999653184172,1.0,0
-10.1,-4.5,-0.31,0.0,0.0,0.0,68.81,21.23,-1.12,-40.97,-2.38,0.9999999652823899,1.0,0
-8.65,-5.05,-0.68,0.0,0.0,0.0,56.37,15.14,11.61,-33.59,-5.98,0.9999999652238571,1.0,0
-8.58,-5.08,-0.61,0.0,0.01,0.0,54.93,16.57,13.34,-34.27,-6.46,0.9999999651525003,1.0,0
-8.64,-5.09,-1.13,0.0,0.0,0.0,55.11,14.24,14.9,-34.58,-6.49,0.9999999651457308,1.0,0
-8.65,-5.01,-0.85,0.01,0.0,0.0,56.37,16.57,11.61,-34.64,-5.33,0.9999999650010336,1.0,0
-8.67,-5.09,-0.75,0.0,0.01,0.0,55.29,15.14,10.92,-34.52,-5.79,0.9999999649674859,1.0,0
-8.71,-5.01,-1.04,0.01,-0.01,0.0,55.47,15.32,12.13,-34.07,-5.81,0.9999999646741301,1.0,0
-8.67,-5.05,-1.17,0.0,0.03,0.0,56.01,16.57,10.22,-35.1,-6.19,0.9999999646679487,1.0,0
-8.71,-5.09,-1.03,0.0,0.0,0.0,51.86,16.04,13.52,-34.53,-7.17,0.9999999646134985,1.0,0
-8.69,-5.05,-0.89,0.0,0.03,0.0,57.81,14.78,10.57,-32.97,-6.35,0.9999999643570522,1.0,0
-8.6,-5.17,-1.03,0.0,0.03,0.0,52.4,15.5,14.04,-34.22,-7.07,0.9999999641025088,1.0,0
-8.61,-5.07,-0.73,0.0,0.0,0.0,56.37,17.29,12.65,-34.64,-5.78,0.9999999638895744,1.0,0
-8.73,-5.14,-0.79,0.02,-0.04,0.0,54.02,14.96,11.78,-34.08,-5.88,0.9999999637783386,1.0,0
-8.66,-5.17,-0.73,0.0,0.02,0.0,57.99,15.68,13.17,-34.97,-5.01,0.9999999635722485,1.0,0
-10.07,-4.42,-0.26,-0.01,0.06,0.0,69.9,22.67,-1.82,-40.86,-3.19,0.9999999630545067,1.0,0
-8.73,-4.97,-1.09,0.01,-0.02,0.0,55.65,16.57,11.26,-36.32,-5.1,0.9999999629727996,1.0,0
-9.96,-4.45,-0.09,0.01,-0.01,-0.01,79.64,20.87,0.26,-42.39,-0.9,0.9999999625510593,1.0,0
-10.02,-4.47,0.09,-0.01,0.06,0.0,70.8,23.2,0.08,-41.06,-2.34,0.9999999625276715,1.0,0
-8.72,-4.84,-1.21,0.01,0.01,0.0,53.66,14.24,14.56,-34.54,-7.67,0.9999999623842026,1.0,0
-8.68,-5.0,-1.07,0.0,-0.04,0.0,56.73,15.86,10.22,-34.7,-4.93,0.9999999621297572,1.0,0
-8.68,-5.14,-0.74,0.0,0.02,-0.02,55.65,15.14,13.34,-35.09,-4.93,0.9999999620071043,1.0,0
-10.05,-4.51,0.11,0.0,0.01,0.01,69.18,21.23,-2.86,-41.15,-1.29,0.999999961812662,1.0,0
-8.67,-4.96,-0.89,0.0,0.02,0.0,55.29,16.21,11.96,-33.77,-5.67,0.9999999617788952,1.0,0
-8.65,-5.17,-1.08,0.0,0.0,0.0,54.74,16.39,14.56,-34.47,-6.3,0.999999961619425,1.0,0
-8.66,-5.01,-0.68,0.0,0.0,0.0,56.37,15.5,12.3,-35.78,-5.33,0.9999999615172478,1.0,0
-8.52,-5.15,-1.11,0.0,0.02,0.01,53.48,15.14,13.69,-33.07,-7.24,0.9999999614335167,1.0,0
-8.6,-5.14,-1.1,0.0,0.01,0.0,53.48,15.14,13.69,-33.15,-7.27,0.999999961195753,1.0,0
-8.65,-5.05,-0.64,0.0,0.02,0.0,54.38,17.47,9.69,-34.2,-4.62,0.9999999610228937,1.0,0
-8.63,-5.09,-0.79,0.0,0.01,0.0,56.19,16.04,11.44,-34.18,-5.71,0.9999999609493515,1.0,0
-8.66,-5.11,-1.02,0.01,-0.02,0.0,54.2,14.42,13.69,-34.0,-6.44,0.9999999609381189,1.0,0
-8.69,-5.09,-0.92,0.0,0.0,0.0,56.19,15.32,10.4,-34.52,-5.76,0.9999999608875839,1.0,0
-8.67,-4.98,-0.73,0.0,0.01,0.0,55.47,14.96,11.78,-35.59,-5.33,0.9999999608578534,1.0,0
-10.08,-4.44,-0.22,0.01,0.0,0.01,68.09,20.87,-1.12,-40.89,-2.27,0.9999999608532922,1.0,0
-8.58,-5.04,-0.74,0.0,0.0,0.0,54.56,16.57,13.0,-34.75,-5.4,0.9999999608088924,1.0,0
-8.56,-5.14,-0.85,-0.02,0.02,0.0,53.3,15.68,13.17,-34.23,-7.22,0.9999999606615197,1.0,0
-8.73,-5.09,-1.11,0.0,0.0,0.01,56.37,16.57,11.61,-34.49,-5.59,0.9999999603241506,1.0,0
-8.49,-5.22,-0.86,-0.01,0.02,0.0,54.56,14.78,14.04,-34.41,-5.94,0.9999999602519231,1.0,0
-8.61,-5.09,-0.83,0.0,0.0,0.0,55.29,16.93,12.3,-34.42,-6.05,0.9999999602473102,1.0,0
-8.61,-5.08,-1.0,0.01,0.0,0.0,55.29,18.72,14.04,-33.9,-6.68,0.9999999601389112,1.0,0
-8.57,-5.13,-0.8,0.01,0.0,0.0,54.74,15.68,11.09,-34.28,-5.99,0.999999960085989,1.0,0
-10.1,-4.5,-0.24,0.0,0.02,0.0,70.44,22.13,1.12,-41.06,-2.23,0.9999999599797063,1.0,0
-8.66,-4.95,-0.92,0.01,0.0,0.0,56.37,18.01,10.92,-34.49,-5.2,0.9999999599290674,1.0,0
-8.68,-5.12,-0.74,0.0,0.01,0.0,55.11,15.68,11.09,-34.52,-5.77,0.9999999599142195,1.0,0
-8.75,-5.08,-0.95,0.01,-0.01,0.0,54.56,16.57,10.92,-33.78,-5.88,0.9999999597158448,1.0,0
-8.76,-4.87,-0.97,0.0,0.03,0.0,56.19,16.75,10.74,-34.45,-5.26,0.9999999595407308,1.0,0
