v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_pca,anomaly_vote_count,GERCEK_ETIKET_label
-2.81,-0.18,9.69,0.13,-0.11,0.06,260.94,-289.3,-296.97,-12.5,84.45,1.0,4.0,0
-2.81,-0.18,9.69,0.13,-0.11,0.06,260.94,-289.3,-296.97,-12.5,84.5,0.9948397252988936,4.0,0
-3.35,-0.53,12.24,0.16,-0.16,0.06,260.94,-289.3,-296.97,-12.41,84.79,0.9881830848490658,4.0,0
-3.35,-0.53,12.24,0.16,-0.16,0.06,260.94,-289.3,-296.97,-12.38,84.84,0.979812217699153,4.0,0
-2.21,0.3,8.51,0.34,-0.43,0.06,260.94,-289.3,-296.97,-12.29,85.08,0.9698957303718214,4.0,0
-2.21,0.3,8.51,0.34,-0.43,0.06,260.94,-289.3,-296.97,-12.2,85.31,0.9581993437361579,4.0,0
-2.29,0.15,10.53,0.45,-0.55,0.06,260.94,-289.3,-296.97,-12.06,85.59,0.9448803463347651,4.0,0
-2.29,0.15,10.53,0.45,-0.55,0.06,260.94,-289.3,-296.97,-11.86,86.02,0.9295836726536492,4.0,0
-0.01,0.75,8.09,-0.02,-0.21,-0.11,-231.17,-28.4,-291.6,-10.21,94.9,0.9155781485168901,4.0,0
-2.19,0.51,9.89,0.59,-0.74,0.09,260.94,-289.3,-296.97,-11.45,86.91,0.9127042612724449,4.0,0
-0.01,0.75,8.09,-0.02,-0.21,-0.11,-231.17,-28.4,-291.6,-10.04,94.92,0.911965822346229,4.0,0
-0.96,1.27,9.19,0.21,-0.33,-0.03,-231.17,-28.4,-291.6,-9.94,95.06,0.9071168152201464,4.0,0
-0.96,1.27,9.19,0.21,-0.33,-0.03,-231.17,-28.4,-291.6,-9.83,95.2,0.9006572021456075,4.0,0
-0.87,1.13,8.68,0.38,-0.42,0.0,-231.17,-28.4,-291.6,-9.73,95.4,0.8929114660491898,4.0,0
-0.79,-0.1,10.81,-0.37,0.52,-0.06,-273.2,-20.7,-251.9,-9.9,94.81,0.8908369464743225,4.0,0
-2.19,0.51,9.89,0.59,-0.74,0.09,260.94,-289.3,-296.97,-11.27,87.31,0.886402882746485,4.0,0
0.61,1.58,13.44,-0.28,0.45,-0.07,-231.17,-28.4,-291.6,-9.84,95.11,0.8833795469080773,4.0,0
-0.79,-0.1,10.81,-0.37,0.52,-0.06,-273.2,-20.7,-251.9,-9.93,94.58,0.8782178588260964,4.0,0
-1.14,0.87,8.92,0.79,-0.97,0.14,223.96,245.8,-315.52,-10.64,88.98,0.8736674766606327,4.0,0
-1.14,0.87,8.92,0.79,-0.97,0.14,223.96,245.8,-315.52,-10.38,89.53,0.871915346673618,4.0,0
-0.52,1.24,6.03,0.55,-0.7,0.09,223.96,245.8,-315.52,-9.86,90.66,0.8698007917921884,4.0,0
-0.52,1.24,6.03,0.55,-0.7,0.09,223.96,245.8,-315.52,-9.7,91.04,0.8677478999405414,4.0,0
-0.79,0.95,9.75,-0.03,0.0,-0.01,223.96,245.8,-315.52,-9.43,91.11,0.8655808321484749,4.0,0
-2.19,1.28,15.02,-0.08,0.27,-0.02,-273.2,-20.7,-251.9,-9.98,94.49,0.8639006523232298,4.0,0
-0.79,0.95,9.75,-0.03,0.0,-0.01,223.96,245.8,-315.52,-9.22,91.25,0.8632143471780706,4.0,0
-1.19,0.63,10.09,-0.15,0.21,-0.02,223.96,245.8,-315.52,-9.25,91.15,0.8609708340343744,4.0,0
-1.19,0.63,10.09,-0.15,0.21,-0.02,223.96,245.8,-315.52,-9.28,91.07,0.8584208442769944,4.0,0
-1.62,1.17,9.66,0.73,-0.89,0.13,260.94,-289.3,-296.97,-11.09,87.87,0.8574875879783094,4.0,0
-1.62,0.74,10.45,-0.03,0.06,0.0,223.96,245.8,-315.52,-9.3,91.04,0.8556519313426109,4.0,0
-1.62,-1.12,7.77,0.34,-0.51,0.26,306.76,-16.04,262.0,-6.7,94.97,0.84664426328069,4.0,0
-1.62,-1.12,7.77,0.34,-0.51,0.26,306.76,-16.04,262.0,-6.59,94.99,0.8414915725433318,4.0,0
-2.19,1.28,15.02,-0.08,0.27,-0.02,-273.2,-20.7,-251.9,-10.04,94.4,0.8390153268922249,4.0,0
-0.34,-0.25,10.93,0.22,-0.37,0.12,306.76,-16.04,262.0,-6.45,95.04,0.8347358812762797,4.0,0
-0.3,2.17,12.17,0.11,-0.36,0.25,282.76,-139.88,-252.42,-6.66,97.65,0.8345306153424445,4.0,0
-0.3,2.17,12.17,0.11,-0.36,0.25,282.76,-139.88,-252.42,-6.52,97.77,0.8310943483830061,4.0,0
-1.62,0.74,10.45,-0.03,0.06,0.0,223.96,245.8,-315.52,-9.31,91.01,0.8298735897320821,4.0,0
-0.34,-0.25,10.93,0.22,-0.37,0.12,306.76,-16.04,262.0,-6.3,95.12,0.8265295448724918,4.0,0
-0.84,1.54,11.06,0.01,-0.31,0.28,282.76,-139.88,-252.42,-6.42,97.8,0.8263460137687945,4.0,0
-1.62,1.17,9.66,0.73,-0.89,0.13,260.94,-289.3,-296.97,-10.88,88.48,0.8247448470365246,4.0,0
-0.84,1.54,11.06,0.01,-0.31,0.28,282.76,-139.88,-252.42,-6.29,97.85,0.8202349329208535,5.0,0
-0.3,1.34,10.94,0.21,-0.35,0.04,306.76,-16.04,262.0,-6.18,95.26,0.816745596091534,4.0,0
-0.33,0.7,9.28,-0.1,-0.06,0.24,282.76,-139.88,-252.42,-6.21,97.79,0.8127014540138598,5.0,0
-0.85,1.09,11.02,0.14,-0.2,0.04,-273.2,-20.7,-251.9,-9.73,94.86,0.811102036896869,4.0,0
-0.3,1.34,10.94,0.21,-0.35,0.04,306.76,-16.04,262.0,-6.07,95.4,0.8053086830615709,4.0,0
-0.33,0.7,9.28,-0.1,-0.06,0.24,282.76,-139.88,-252.42,-6.14,97.73,0.8036898724043866,5.0,0
0.15,0.62,8.53,-0.31,0.37,0.11,282.76,-139.88,-252.42,-6.35,97.1,0.7934319429864238,5.0,0
-0.98,-0.21,7.96,0.07,-0.22,0.02,306.76,-16.04,262.0,-5.81,95.54,0.7921288156818282,4.0,0
0.15,0.62,8.53,-0.31,0.37,0.11,282.76,-139.88,-252.42,-6.37,96.9,0.7813620374090045,4.0,0
