v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_random_forest,anomaly_vote_count,GERCEK_ETIKET_label
-20.49,-5.8,3.95,0.63,-0.31,0.41,53.84,38.79,17.51,-37.74,-0.65,1.0,5.0,0
-16.44,-5.44,3.52,1.82,-0.39,0.85,57.99,37.18,20.8,-37.88,-3.72,0.9999956296990592,8.0,1
-1.99,-5.37,-10.19,-0.27,-2.04,-0.08,53.3,36.83,22.19,-37.91,-5.41,0.999928789826459,9.0,1
1.05,-4.38,-14.03,0.26,-0.03,0.97,52.4,18.01,10.92,-37.69,-3.27,0.9998897031117097,7.0,1
-15.44,-5.62,-2.47,0.44,-0.28,0.41,51.14,37.54,18.72,-37.43,-2.21,0.9998608796808498,8.0,1
-2.13,-7.95,-9.43,0.31,-0.28,0.71,55.11,19.62,13.52,-38.27,0.22,0.9997272988532028,7.0,1
-5.61,-10.36,-7.95,0.71,0.31,0.57,47.71,19.44,13.34,-36.68,-5.99,0.9997186980618037,6.0,1
8.68,-4.74,-2.54,1.28,0.38,0.21,83.97,21.23,-2.5,-45.17,4.44,0.9922737594587104,10.0,1
-11.53,6.31,10.77,0.19,-0.39,0.43,52.76,30.91,18.55,-38.09,-3.51,0.9903246210287902,8.0,1
-15.37,-2.37,-8.24,0.73,-0.62,0.47,49.51,30.91,19.93,-36.95,-4.18,0.9900608044181252,6.0,1
7.3,-4.59,-20.98,0.53,0.81,-0.01,45.18,18.72,8.84,-37.56,-1.7,0.9900583835457738,10.0,1
-3.67,-7.64,-15.31,1.21,-1.3,0.15,51.14,31.45,21.84,-38.17,-6.38,0.9900559304332157,10.0,1
-19.37,-6.35,-5.4,0.68,-0.38,0.43,56.01,35.93,19.93,-37.14,-2.41,0.9900483727132662,7.0,0
-4.34,-10.88,-10.49,-0.28,-1.05,0.78,43.74,16.21,6.06,-36.04,0.48,0.9900061687524571,7.0,1
-9.48,-8.89,-3.26,0.36,-0.77,0.87,48.25,17.47,10.74,-38.22,-2.08,0.9900004809632444,7.0,1
-9.99,-12.14,3.84,0.59,-0.65,0.68,46.99,16.93,11.61,-37.84,-2.25,0.9899726732231376,7.0,1
-14.81,-12.48,-15.31,0.3,-0.56,0.64,47.89,18.54,11.78,-37.13,-4.95,0.9899143677143912,6.0,0
2.09,-13.47,-16.44,-0.91,0.65,-0.28,56.01,16.21,11.96,-35.82,-6.16,0.98973208625939,9.0,1
4.16,-5.23,-14.06,-0.92,-1.7,-0.24,60.34,33.42,19.23,-36.35,-3.44,0.9896887903267165,8.0,0
10.41,-12.32,-24.03,0.22,-0.9,0.16,53.84,18.01,12.3,-37.66,-3.5,0.9808392525594751,5.0,1
-10.57,-7.94,7.58,1.15,-0.59,1.0,48.43,18.72,11.26,-37.71,-2.29,0.9808091801684756,7.0,0
0.14,-10.64,-9.52,0.55,-0.53,1.0,53.84,19.8,10.22,-35.89,-3.53,0.9807224187736446,5.0,1
-6.86,-51.59,-4.66,0.65,-1.76,0.28,51.14,20.7,13.86,-35.85,-0.45,0.9806346340420843,8.0,0
-5.94,-10.18,-15.01,-0.42,-1.84,0.43,46.27,17.29,6.76,-37.31,1.66,0.9799937539595432,8.0,1
-15.75,-20.77,-5.23,1.15,-0.43,0.9,49.51,19.44,9.52,-37.22,-0.81,0.9799263264617689,7.0,0
-15.37,-4.79,-7.88,0.56,-0.95,0.38,55.65,37.0,22.71,-36.49,-6.86,0.9797225895714666,3.0,1
