v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_supervised_lightgbm,anomaly_vote_count,GERCEK_ETIKET_label
11.22,-18.62,-6.63,0.19,0.47,-0.08,80.9,25.71,-0.95,-43.19,-2.42,0.9999999999999998,9.0,0
6.75,-19.47,2.14,-0.17,0.4,0.21,83.07,18.54,0.08,-43.19,-1.01,0.9999999999999998,7.0,0
10.72,-11.96,1.31,-0.57,0.41,0.09,54.2,16.93,13.0,-35.62,-4.95,0.9999999999999964,4.0,0
14.88,-56.54,-2.45,-0.48,-0.04,0.65,81.62,19.98,-1.99,-41.31,-2.26,0.9999999999999865,3.0,1
1.95,-37.49,16.98,-0.21,0.59,-0.62,57.27,18.19,-39.18,-31.34,62.85,0.9999999999999567,3.0,0
2.78,-0.67,-8.61,-0.52,0.6,-0.34,57.81,17.64,13.34,-35.11,-5.82,0.9999999999981832,4.0,0
4.84,-20.59,17.34,-0.15,-0.24,0.37,81.44,21.59,1.3,-43.56,5.21,0.9999999996294069,7.0,0
18.55,-6.51,-1.55,0.01,-0.07,0.05,89.74,21.59,3.72,-40.58,0.27,0.9999999966783581,4.0,0
23.13,-5.18,1.74,0.01,-0.16,0.06,87.94,23.74,0.95,-40.83,2.01,0.9999999907525768,5.0,1
38.83,-30.61,2.73,-0.19,0.33,-0.35,54.56,18.37,10.92,-34.19,-5.32,0.9999999844386034,3.0,1
22.41,-7.38,-13.18,0.45,-0.65,0.09,55.47,17.47,9.69,-38.26,-3.34,0.9999998981592803,3.0,0
26.63,-13.27,5.57,0.03,-0.03,0.02,46.99,18.37,11.26,-34.62,-2.64,0.9999998379820452,3.0,1
24.07,-41.11,12.39,2.39,1.07,0.04,54.74,37.54,20.8,-33.82,-2.81,0.9999998140838994,6.0,1
31.69,-33.52,-5.99,-0.04,0.07,0.14,55.47,18.19,13.86,-33.86,-6.78,0.9999996918646591,5.0,1
36.78,-2.31,7.46,0.01,-0.06,0.11,83.61,20.52,0.6,-41.05,1.17,0.9999994570909277,5.0,1
38.72,0.54,-23.84,-0.21,0.25,-0.34,52.76,19.44,9.88,-34.79,-4.26,0.9999984871999643,3.0,1
36.81,1.88,-33.47,-0.1,0.08,-0.28,54.74,18.54,11.78,-33.95,-6.0,0.9999984871999643,3.0,1
28.51,-26.04,-7.76,-0.03,0.08,0.09,54.02,17.47,11.09,-34.63,-4.21,0.9999984871999643,3.0,1
32.02,-78.5,-28.6,-0.17,0.01,-0.24,55.47,18.89,13.52,-33.85,-6.28,0.9999982511501138,6.0,1
28.24,-34.79,-2.67,0.13,-0.13,0.15,47.89,16.39,9.01,-34.29,-1.7,0.9999973058072441,7.0,1
14.18,-16.8,-1.59,-0.07,0.02,0.01,54.2,16.57,11.96,-34.51,-5.35,0.9999966948288166,2.0,0
29.18,-78.5,-6.54,1.6,0.76,0.06,49.69,18.89,11.09,-33.21,-5.35,0.9999966930999439,6.0,0
31.12,9.94,-30.98,-0.31,0.22,-0.57,53.3,18.19,9.01,-34.21,-5.56,0.9999943901840862,3.0,1
21.97,-8.77,9.78,-0.04,0.14,-0.03,46.99,16.93,10.57,-35.66,-3.39,0.9999937650027785,3.0,0
4.88,-7.14,-1.6,-0.04,0.05,0.1,53.12,16.93,12.65,-34.07,-6.18,0.9999927548726915,2.0,1
2.47,23.27,21.72,-0.08,0.07,-0.62,54.38,18.19,9.01,-34.95,-3.74,0.9999866497487818,3.0,0
-10.77,-5.94,-1.31,0.47,-0.47,-0.22,83.07,16.04,-0.6,-39.65,2.83,0.9999853058450444,1.0,0
-11.85,-3.24,1.45,0.26,-0.28,-0.47,82.35,11.38,3.2,-40.09,1.8,0.9999802392420559,2.0,0
5.43,-43.65,11.93,-0.01,0.17,0.28,55.65,35.57,20.63,-35.27,-2.28,0.9999729153974802,7.0,0
22.75,-14.0,-0.97,-0.08,0.04,0.06,53.84,20.16,14.38,-33.93,-6.81,0.999971174023083,5.0,1
-11.95,-4.15,1.6,0.36,-0.4,-0.33,83.07,16.04,-0.6,-39.79,2.57,0.9999667787120533,2.0,0
