v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_supervised_xgboost,anomaly_vote_count,GERCEK_ETIKET_label
-4.42,-9.5,-2.71,0.81,0.0,1.14,51.32,16.93,12.65,-36.46,-4.63,1.0,6.0,1
5.72,-9.43,-19.52,-0.66,0.66,-0.35,52.94,14.6,13.17,-38.66,-6.31,1.0,8.0,1
-7.21,-1.21,-9.21,0.67,-0.47,1.09,55.83,18.89,10.4,-37.03,-3.64,1.0,6.0,1
2.83,-4.72,-27.98,-0.78,-0.83,0.42,81.08,24.1,2.34,-43.64,-0.18,0.9999972478236119,10.0,1
-0.53,-0.14,1.27,0.52,-0.54,0.77,83.61,24.46,-1.47,-43.47,3.39,0.9999972478236119,10.0,1
7.52,-9.8,5.09,0.0,0.1,0.45,82.17,20.52,1.64,-44.36,1.98,0.9999972478236119,10.0,1
3.34,-7.53,-3.6,0.0,0.04,0.09,54.38,17.11,10.74,-34.15,-5.67,0.9999593754833137,5.0,0
0.02,-78.5,-18.47,0.07,-0.09,0.2,51.86,19.98,13.17,-34.17,-5.33,0.9999593754833137,5.0,0
5.58,-6.48,-2.11,0.02,-0.03,0.01,53.3,16.39,12.48,-34.16,-5.85,0.9999593754833137,4.0,0
7.53,-78.5,-12.2,-0.16,0.02,0.23,53.66,17.11,12.82,-34.47,-6.16,0.9999593754833137,6.0,0
27.67,-15.02,-3.8,-0.02,0.06,0.14,52.76,16.93,13.17,-33.96,-7.43,0.9999593754833137,5.0,1
23.01,-4.82,-2.6,-0.06,0.11,0.04,56.01,16.57,9.88,-34.53,-3.99,0.9999593754833137,4.0,1
20.02,-3.61,-1.34,-0.02,0.02,0.09,54.74,16.04,12.13,-34.47,-5.68,0.9999593754833137,4.0,0
23.54,-66.64,17.05,0.07,0.05,0.06,56.01,17.29,10.57,-34.21,-0.94,0.9999593754833137,6.0,1
23.25,-78.5,-6.44,-0.12,-0.07,-0.03,54.93,17.29,12.65,-34.61,-3.03,0.9999593754833137,6.0,1
12.94,78.4,21.74,-0.41,0.28,-0.67,56.01,17.29,10.57,-35.64,-2.5,0.9999593754833137,6.0,0
-2.13,-7.95,-9.43,0.31,-0.28,0.71,55.11,19.62,13.52,-38.27,0.22,0.9998929044405469,7.0,1
