v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_ts_autoencoder,anomaly_vote_count,GERCEK_ETIKET_label
-8.53,-5.0,-0.35,0.0,0.0,0.0,46.81,17.11,8.66,-34.56,-2.85,0.9999999999999998,1,0
-8.65,-4.95,-0.47,0.0,0.0,0.0,46.81,17.11,8.66,-34.56,-2.86,0.9999962158675486,1,0
-8.53,-5.08,-0.44,0.0,0.0,0.0,49.69,16.75,9.01,-34.59,-3.15,0.9999805427925802,1,0
-8.53,-5.01,-0.5,0.0,0.0,0.0,49.69,16.75,9.01,-34.59,-3.16,0.9999793486256372,1,0
-8.53,-5.01,-0.5,0.0,0.0,0.0,49.69,16.75,9.01,-34.58,-3.17,0.9999780822032944,1,0
-8.52,-5.03,-0.41,0.0,0.0,0.0,46.81,17.11,8.66,-34.56,-2.84,0.9999293249430999,1,0
-8.52,-5.03,-0.41,0.0,0.0,0.0,46.81,17.11,8.66,-34.56,-2.84,0.9999255095650705,1,0
-8.53,-5.0,-0.35,0.0,0.0,0.0,46.81,17.11,8.66,-34.57,-2.84,0.9999207490082996,1,0
-8.65,-4.95,-0.47,0.0,0.0,0.0,46.81,17.11,8.66,-34.56,-2.85,0.9998976297214688,1,0
-8.53,-5.08,-0.44,0.0,0.0,0.0,49.69,16.75,9.01,-34.59,-3.16,0.9998921441696405,1,0
-8.65,-5.05,-0.49,0.0,0.0,0.0,52.76,16.21,10.57,-34.82,-3.61,0.9998660633878478,1,0
-8.65,-5.05,-0.49,0.0,0.0,0.0,52.76,16.21,10.57,-34.82,-3.61,0.9998633796856049,1,0
-8.59,-5.01,-0.36,0.0,0.0,0.0,47.35,16.93,8.14,-34.57,-2.79,0.9998306601948623,1,0
-8.53,-5.01,-0.52,0.0,0.0,0.0,47.89,16.04,10.4,-34.55,-3.23,0.9998246185693839,1,0
-8.61,-5.01,-0.48,0.0,0.0,0.0,46.81,17.11,8.66,-34.55,-2.85,0.9998190871256125,1,0
-8.64,-5.03,-0.59,0.0,0.0,0.0,55.29,16.57,10.22,-34.86,-4.23,0.9998084694875595,1,0
-8.59,-5.01,-0.36,0.0,0.0,0.0,47.35,16.93,8.14,-34.57,-2.79,0.9998080144738265,1,0
-8.58,-5.05,-0.34,0.0,0.0,0.0,49.69,16.75,9.01,-34.6,-3.16,0.9998073465995918,1,0
-8.53,-5.01,-0.52,0.0,0.0,0.0,47.89,16.04,10.4,-34.55,-3.24,0.9998059434778443,1,0
-8.64,-5.03,-0.59,0.0,0.0,0.0,55.29,16.57,10.22,-34.86,-4.23,0.9998044651714243,1,0
-8.64,-5.01,-0.7,0.0,0.0,0.0,56.37,16.93,10.22,-34.87,-4.23,0.9998003920173745,1,0
-8.64,-5.01,-0.7,0.0,0.0,0.0,56.37,16.93,10.22,-34.87,-4.23,0.9997972264497298,1,0
-8.69,-4.97,-0.62,0.0,0.0,0.0,56.37,16.93,10.22,-34.87,-4.22,0.9997951417838071,1,0
-8.69,-4.97,-0.62,0.0,0.0,0.0,56.37,16.93,10.22,-34.86,-4.22,0.9997938563211902,1,0
-8.55,-5.05,-0.41,0.0,0.0,0.0,47.35,16.93,8.14,-34.56,-2.8,0.9997883063253568,1,0
-8.69,-5.07,-0.64,0.0,0.0,0.0,54.93,18.01,8.49,-34.83,-4.54,0.9997829208570211,1,0
-8.64,-5.03,-0.49,0.0,0.0,0.0,46.81,17.11,8.66,-34.56,-2.85,0.9997804412274611,1,0
-8.64,-5.04,-0.52,0.0,0.01,0.0,52.04,16.21,10.22,-34.82,-4.49,0.9997801790575314,1,0
-8.48,-5.09,-0.31,0.0,0.0,0.0,46.99,15.86,9.18,-34.56,-2.85,0.9997789448571911,1,0
-8.71,-5.08,-0.73,0.0,0.0,0.0,54.93,18.01,8.49,-34.83,-4.55,0.9997786616941384,1,0
-8.71,-4.99,-0.52,0.0,0.0,0.0,52.76,16.21,10.57,-34.82,-3.61,0.9997732786668636,1,0
-8.55,-5.05,-0.41,0.0,0.0,0.0,47.35,16.93,8.14,-34.57,-2.79,0.9997721069576799,1,0
-8.64,-5.04,-0.52,0.0,0.01,0.0,52.04,16.21,10.22,-34.82,-4.49,0.9997670544500374,1,0
-8.52,-5.07,-0.49,0.0,-0.01,0.0,47.35,16.93,8.14,-34.58,-2.79,0.9997668215728371,1,0
-8.48,-5.09,-0.31,0.0,0.0,0.0,46.99,15.86,9.18,-34.54,-2.83,0.9997666336111556,1,0
-8.52,-5.07,-0.49,0.0,-0.01,0.0,47.35,16.93,8.14,-34.57,-2.79,0.9997657016141424,1,0
-8.61,-5.01,-0.48,0.0,0.0,0.0,46.81,17.11,8.66,-34.55,-2.84,0.9997603342096567,1,0
-8.78,-4.97,-0.85,0.0,0.0,0.0,55.47,16.04,11.78,-34.53,-5.4,0.9997596468069356,1,0
-8.65,-5.01,-0.52,0.01,0.0,0.0,45.91,14.06,7.45,-34.68,-2.67,0.9997580278954135,1,0
-8.78,-4.97,-0.85,0.0,0.0,0.0,55.47,16.04,11.78,-34.54,-5.41,0.9997546436087212,1,0
-8.56,-4.97,-0.43,0.0,0.0,0.0,46.45,16.75,10.05,-34.49,-3.2,0.9997515668956897,1,0
-8.56,-4.97,-0.43,0.0,0.0,0.0,46.45,16.75,10.05,-34.5,-3.2,0.9997514048092526,1,0
-8.57,-4.95,-0.52,0.0,0.0,0.0,46.45,16.75,10.05,-34.51,-3.2,0.9997504156914168,1,0
-8.63,-4.97,-0.31,0.0,0.0,0.0,47.89,16.04,10.4,-34.55,-3.22,0.9997501501040018,1,0
-8.57,-4.95,-0.52,0.0,0.0,0.0,46.45,16.75,10.05,-34.51,-3.21,0.9997501320401518,1,0
-8.68,-5.13,-0.76,0.0,0.0,0.0,55.47,16.04,11.78,-34.54,-5.4,0.9997490701787041,1,0
-8.63,-4.97,-0.31,0.0,0.0,0.0,47.89,16.04,10.4,-34.54,-3.23,0.9997481464812976,1,0
-8.71,-4.95,-0.62,0.0,0.0,0.0,52.04,16.21,10.22,-34.82,-4.5,0.9997480512799265,1,0
-8.55,-5.04,-0.45,0.0,0.01,0.0,46.45,16.75,10.05,-34.49,-3.2,0.9997479800009511,1,0
-8.58,-4.96,-0.33,0.0,0.0,0.0,46.27,14.42,9.52,-34.67,-2.74,0.9997473707121756,1,0
-8.61,-4.95,-0.57,0.0,0.0,0.0,46.45,16.75,10.05,-34.52,-3.22,0.9997453299853474,1,0
-8.61,-4.95,-0.57,0.0,0.0,0.0,46.45,16.75,10.05,-34.53,-3.23,0.9997451561818184,1,0
-8.65,-5.01,-0.52,0.01,0.0,0.0,45.91,14.06,7.45,-34.68,-2.66,0.9997444736612189,1,0
-8.68,-5.13,-0.76,0.0,0.0,0.0,55.47,16.04,11.78,-34.53,-5.4,0.9997431569530237,1,0
-8.6,-4.96,-0.52,0.0,0.01,0.0,47.89,16.04,10.4,-34.54,-3.25,0.9997395349070096,1,0
-8.58,-5.05,-0.34,0.0,0.0,0.0,49.69,16.75,9.01,-34.6,-3.17,0.9997393596388442,1,0
-8.68,-5.08,-0.74,0.0,0.0,0.0,54.56,17.29,10.57,-34.41,-5.44,0.9997372139464016,1,0
-8.68,-5.08,-0.74,0.0,0.0,0.0,54.56,17.29,10.57,-34.41,-5.44,0.999736839487675,1,0
-8.57,-5.16,-0.78,0.0,0.0,0.0,55.47,16.04,11.78,-34.53,-5.4,0.9997363805682447,1,0
-8.68,-5.15,-0.82,0.0,0.0,0.0,54.56,17.29,10.57,-34.41,-5.44,0.9997360310083382,1,0
-8.55,-5.04,-0.45,0.0,0.01,0.0,46.45,16.75,10.05,-34.49,-3.2,0.9997358054543204,1,0
-8.68,-5.07,-0.4,0.0,0.01,0.0,44.82,12.99,7.8,-34.64,-2.75,0.9997357302696477,1,0
-8.61,-4.98,-0.47,0.0,0.0,0.0,47.89,16.04,10.4,-34.56,-3.25,0.9997356204219118,1,0
-8.68,-5.15,-0.82,0.0,0.0,0.0,54.56,17.29,10.57,-34.41,-5.44,0.9997348441645776,1,0
-8.67,-5.12,-0.75,0.0,0.0,0.0,54.56,17.29,10.57,-34.41,-5.44,0.9997334718001961,1,0
-8.6,-4.98,-0.59,0.0,0.0,0.0,47.89,16.04,10.4,-34.55,-3.25,0.99973276291614,1,0
-8.67,-5.12,-0.75,0.0,0.0,0.0,54.56,17.29,10.57,-34.41,-5.44,0.9997317586637271,1,0
-8.63,-5.03,-0.76,0.0,0.0,0.0,54.56,17.29,10.57,-34.42,-5.45,0.9997301915026939,1,0
-8.57,-5.16,-0.78,0.0,0.0,0.0,55.47,16.04,11.78,-34.52,-5.4,0.9997293922993882,1,0
-8.71,-4.95,-0.62,0.0,0.0,0.0,52.04,16.21,10.22,-34.81,-4.5,0.9997276127660655,1,0
-8.58,-4.96,-0.33,0.0,0.0,0.0,46.27,14.42,9.52,-34.66,-2.74,0.9997265347936165,1,0
-8.53,-5.01,-0.33,0.0,0.0,0.0,45.91,14.06,7.45,-34.68,-2.65,0.9997239580098367,1,0
-8.61,-4.98,-0.47,0.0,0.0,0.0,47.89,16.04,10.4,-34.56,-3.25,0.9997218523507911,1,0
-8.61,-5.05,-0.41,0.0,0.0,0.0,46.45,16.75,10.05,-34.49,-3.19,0.9997192633617074,1,0
-8.53,-5.01,-0.56,0.0,0.0,0.01,47.17,16.75,10.05,-34.54,-2.79,0.9997159801349321,1,0
-8.74,-5.03,-0.56,0.0,0.0,0.0,55.29,16.57,10.22,-34.86,-4.23,0.9997156418039054,1,0
-8.57,-5.05,-0.33,0.0,0.0,0.0,49.33,17.11,9.01,-34.7,-2.48,0.9997127301065839,1,0
-8.68,-5.07,-0.4,0.0,0.01,0.0,44.82,12.99,7.8,-34.64,-2.74,0.9997097856990477,1,0
-8.61,-5.12,-0.43,0.0,0.0,0.0,56.01,16.93,9.52,-34.61,-3.86,0.9997092169318814,1,0
-8.72,-4.99,-0.74,0.0,0.0,0.0,52.04,16.21,10.22,-34.81,-4.5,0.9997088410085183,1,0
-8.74,-4.97,-0.46,0.0,0.0,0.0,56.01,16.93,9.52,-34.61,-3.85,0.9997071708347194,1,0
-8.57,-5.05,-0.33,0.0,0.0,0.0,49.33,17.11,9.01,-34.69,-2.48,0.9997006366031717,1,0
-8.68,-5.01,-0.54,0.0,0.0,0.0,56.37,16.93,10.22,-34.86,-4.22,0.9997005916876529,1,0
-8.59,-5.05,-0.36,0.0,0.0,0.0,49.33,17.11,9.01,-34.69,-2.48,0.9996932436064346,1,0
-8.53,-5.01,-0.56,0.0,0.0,0.01,47.17,16.75,10.05,-34.55,-2.81,0.9996913522725273,1,0
-8.69,-5.09,-0.67,0.01,0.0,0.0,54.93,18.01,8.49,-34.83,-4.54,0.9996891943747807,1,0
-8.71,-4.99,-0.52,0.0,0.0,0.0,52.76,16.21,10.57,-34.82,-3.61,0.9996867762599528,1,0
-8.72,-4.99,-0.74,0.0,0.0,0.0,52.04,16.21,10.22,-34.81,-4.5,0.9996864447638962,1,0
-8.59,-5.05,-0.36,0.0,0.0,0.0,49.33,17.11,9.01,-34.69,-2.48,0.9996862807246105,1,0
-8.59,-4.98,-0.35,0.0,0.0,0.0,47.17,16.75,10.05,-34.58,-2.78,0.9996769622191151,1,0
-8.52,-5.07,-0.37,0.0,0.01,0.0,48.43,16.57,9.52,-34.6,-3.18,0.999673309903947,1,0
-8.57,-5.08,-0.56,0.0,0.0,0.0,48.43,16.57,9.52,-34.61,-3.18,0.9996721294069444,1,0
-8.53,-5.01,-0.8,0.0,0.0,0.0,49.15,19.07,11.61,-34.14,-5.68,0.9996714825258326,1,0
-8.61,-5.15,-0.85,0.0,0.0,0.0,55.29,17.64,11.61,-34.31,-5.17,0.9996712203559027,1,0
-8.53,-5.08,-0.47,0.0,0.0,0.0,44.82,12.99,7.8,-34.64,-2.74,0.9996711168549248,1,0
-8.64,-5.05,-0.77,0.01,0.0,0.0,56.73,16.57,11.26,-34.41,-5.74,0.9996710963500142,1,0
-8.61,-5.15,-0.85,0.0,0.0,0.0,55.29,17.64,11.61,-34.31,-5.16,0.9996701638647888,1,0
-8.65,-5.09,-0.76,0.0,0.0,0.0,54.38,17.11,12.13,-34.87,-4.86,0.9996699470985898,1,0
-8.6,-4.97,-0.89,0.0,0.0,0.0,49.69,17.82,12.13,-34.36,-5.93,0.9996684736742912,1,0
-8.48,-5.07,-0.41,0.0,0.0,0.01,47.17,16.75,10.05,-34.53,-2.77,0.9996667580967614,1,0
-8.57,-5.08,-0.56,0.0,0.0,0.0,48.43,16.57,9.52,-34.61,-3.17,0.9996659989268528,1,0
-8.6,-4.97,-0.89,0.0,0.0,0.0,49.69,17.82,12.13,-34.36,-5.92,0.9996657040467083,1,0
-8.69,-5.01,-0.88,0.0,0.0,0.0,56.73,16.57,11.26,-34.41,-5.74,0.9996645918994082,1,0
-8.69,-5.07,-0.64,0.0,0.0,0.0,54.93,18.01,8.49,-34.83,-4.54,0.9996634294662554,1,0
-8.52,-5.03,-0.96,0.0,0.0,0.0,49.69,17.82,12.13,-34.35,-5.92,0.9996633450055518,1,0
-8.55,-4.99,-0.88,0.01,0.0,0.0,50.05,18.19,12.48,-34.3,-5.95,0.999662417402448,1,0
-8.52,-5.03,-0.96,0.0,0.0,0.0,49.69,17.82,12.13,-34.35,-5.91,0.9996612735213575,1,0
-8.5,-5.01,-0.81,0.0,0.0,0.0,49.69,17.82,12.13,-34.35,-5.9,0.9996592103367699,1,0
-8.63,-4.94,-0.31,0.0,0.0,0.01,47.17,16.75,10.05,-34.56,-2.8,0.9996580835431048,1,0
-8.69,-5.01,-0.88,0.0,0.0,0.0,56.73,16.57,11.26,-34.41,-5.75,0.9996578775175734,1,0
-8.55,-4.99,-0.88,0.01,0.0,0.0,50.05,18.19,12.48,-34.29,-5.95,0.9996578223495993,1,0
-8.5,-5.01,-0.81,0.0,0.0,0.0,49.69,17.82,12.13,-34.35,-5.9,0.9996578042857494,1,0
-8.56,-5.01,-0.75,0.01,0.0,0.0,48.61,17.82,10.74,-34.37,-5.36,0.9996577808515658,1,0
-8.52,-5.14,-0.85,0.0,0.0,0.0,49.69,17.82,12.13,-34.35,-5.91,0.9996561331355261,1,0
-8.52,-5.14,-0.85,0.0,0.0,0.0,49.69,17.82,12.13,-34.36,-5.91,0.9996545811090699,1,0
-8.52,-5.24,-0.82,0.0,0.0,0.0,55.29,16.21,12.3,-34.75,-5.3,0.9996540513988764,1,0
-8.53,-5.09,-0.79,0.0,0.0,0.0,50.05,18.19,12.48,-34.29,-5.95,0.999652914352756,1,0
-8.53,-5.09,-0.79,0.0,0.0,0.0,50.05,18.19,12.48,-34.29,-5.96,0.9996526399775222,1,0
-8.56,-5.12,-0.98,0.0,0.0,0.0,49.69,17.82,12.13,-34.37,-5.91,0.9996520780453262,1,0
-8.68,-5.04,-0.79,0.0,0.0,0.0,56.73,16.57,11.26,-34.42,-5.74,0.9996520155541697,1,0
-8.73,-5.13,-0.69,0.0,0.0,0.0,55.29,16.57,10.22,-34.86,-4.23,0.9996515961799244,1,0
-8.77,-5.05,-0.6,0.0,0.0,0.0,56.37,16.93,10.22,-34.86,-4.21,0.9996514663154898,1,0
