v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_ts_vae,anomaly_vote_count,GERCEK_ETIKET_label
-7.91,-4.37,3.76,0.0,0.0,0.0,60.88,36.11,-12.82,-32.89,27.15,0.9999999999999999,1,0
-7.85,-4.4,3.74,0.0,0.01,0.0,60.88,36.11,-12.82,-32.85,27.17,0.9999656114074246,1,0
-7.91,-4.34,3.7,0.0,0.0,0.0,60.88,36.11,-12.82,-32.87,27.14,0.9999555913190664,1,0
-7.91,-4.37,3.76,0.0,0.0,0.0,60.88,36.11,-12.82,-32.9,27.16,0.9999265010030304,1,0
-7.85,-4.4,3.74,0.0,0.01,0.0,60.88,36.11,-12.82,-32.86,27.17,0.9998893187737345,1,0
-0.96,0.82,9.39,0.0,0.0,0.0,24.26,32.34,-64.66,-7.39,92.26,0.9998442031462346,1,0
-7.91,-4.34,3.7,0.0,0.0,0.0,60.88,36.11,-12.82,-32.88,27.14,0.9998278862893949,1,0
-0.95,0.88,9.41,0.0,0.0,0.0,24.26,32.34,-64.66,-7.39,92.26,0.9998204895997234,1,0
-1.64,0.62,9.36,0.0,0.0,0.0,26.6,37.18,-21.84,-10.51,89.25,0.9997578007179168,1,0
-1.64,0.63,9.39,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.9997539081793955,1,0
-1.64,0.62,9.38,0.0,0.0,0.0,26.6,37.18,-21.84,-10.51,89.25,0.9997518286249674,1,0
-1.64,0.62,9.36,0.0,0.0,0.0,26.6,37.18,-21.84,-10.51,89.25,0.9997513566476633,1,0
-1.63,0.63,9.36,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.9997497347990874,1,0
-0.95,0.88,9.41,0.0,0.0,0.0,24.26,32.34,-64.66,-7.39,92.26,0.9997494004393558,1,0
-1.64,0.63,9.38,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.9997471491178095,1,0
-1.64,0.63,9.39,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.9997460634680714,1,0
-1.64,0.65,9.39,0.0,0.0,0.0,25.16,38.26,-21.84,-11.63,89.45,0.999740637767854,1,0
-1.64,0.64,9.35,0.0,0.0,0.0,25.16,37.9,-21.15,-11.46,89.42,0.9997406265545703,1,0
-1.63,0.63,9.38,0.0,0.0,0.0,26.6,38.97,-22.19,-10.54,89.22,0.9997403926046972,1,0
-1.65,0.61,9.38,0.0,0.0,0.0,26.6,37.18,-21.84,-10.51,89.25,0.9997401392864249,1,0
-1.63,0.62,9.38,0.0,0.0,0.0,26.24,38.26,-21.84,-10.56,89.24,0.9997398054363881,1,0
-1.65,0.62,9.36,0.0,0.0,0.0,26.96,37.9,-21.84,-10.55,89.23,0.9997386718753469,1,0
-1.64,0.63,9.36,0.0,0.0,0.0,26.24,38.61,-21.49,-10.56,89.23,0.9997386418033588,1,0
-1.65,0.63,9.36,0.0,0.0,0.0,26.24,38.26,-21.84,-10.56,89.24,0.9997385184572384,1,0
-1.63,0.65,9.4,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.9997370602206651,1,0
-1.65,0.61,9.38,0.0,0.0,0.0,26.06,37.0,-19.59,-11.56,89.44,0.9997368104702559,1,0
-1.64,0.63,9.38,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.9997367870242991,1,0
-1.66,0.61,9.36,0.0,0.0,0.0,26.06,38.79,-22.01,-10.54,89.22,0.9997367523650587,1,0
-1.64,0.61,9.38,0.0,0.0,0.0,27.69,38.26,-21.15,-10.56,89.23,0.9997363497062356,1,0
-1.63,0.62,9.36,0.0,0.0,0.0,25.16,38.26,-21.84,-11.61,89.45,0.9997361330859826,1,0
-1.62,0.62,9.38,0.0,0.0,0.0,26.06,38.08,-21.67,-10.51,89.25,0.9997337976648087,1,0
-1.64,0.64,9.31,0.0,0.0,0.0,26.24,38.26,-21.84,-10.56,89.24,0.9997330091670881,1,0
-1.63,0.63,9.34,0.0,0.0,0.0,27.69,38.26,-21.15,-10.56,89.23,0.9997325596163514,1,0
-1.65,0.61,9.38,0.0,0.0,0.0,26.6,37.18,-21.84,-10.51,89.25,0.9997322487025767,1,0
-1.63,0.63,9.36,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.9997314739666133,1,0
-1.64,0.62,9.38,0.0,0.0,0.0,26.6,37.18,-21.84,-10.51,89.25,0.9997314107644689,1,0
-1.65,0.63,9.36,0.0,0.0,0.0,26.24,38.26,-21.84,-10.56,89.24,0.9997310804822951,1,0
-1.64,0.64,9.36,0.0,0.0,0.0,26.96,37.9,-21.84,-10.54,89.23,0.9997304357184834,1,0
-1.65,0.63,9.41,0.0,0.0,0.0,26.24,38.26,-21.84,-10.56,89.24,0.9997300896357735,1,0
-1.63,0.63,9.36,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.9997297715862726,1,0
-1.67,0.6,9.39,0.0,0.0,0.0,25.16,38.26,-21.84,-11.65,89.45,0.9997297466112317,1,0
-1.61,0.61,9.4,0.0,0.0,0.0,26.96,37.9,-21.84,-10.54,89.23,0.99972961663908,1,0
-1.62,0.62,9.4,0.0,0.0,0.0,26.06,38.08,-21.67,-10.51,89.25,0.9997292445619397,1,0
-1.63,0.62,9.36,0.0,0.0,0.0,25.16,38.26,-21.84,-11.62,89.45,0.9997286013272122,1,0
-1.65,0.62,9.41,0.0,0.0,0.0,26.78,38.08,-21.67,-10.56,89.24,0.9997280824579946,1,0
-1.64,0.61,9.35,0.0,0.0,0.0,26.96,37.9,-21.84,-10.54,89.23,0.9997276532950464,1,0
-1.64,0.63,9.36,0.0,0.0,0.0,25.7,38.44,-20.63,-10.56,89.25,0.9997276053837434,1,0
-1.66,0.6,9.39,0.0,0.0,0.0,25.16,38.26,-21.84,-11.59,89.44,0.9997270304481074,1,0
-1.64,0.63,9.4,0.0,0.0,0.0,25.34,38.79,-23.05,-10.55,89.24,0.9997269356448909,1,0
-1.64,0.64,9.35,0.0,0.0,0.0,25.16,37.9,-21.15,-11.46,89.42,0.999726800575792,1,0
