v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_vae,anomaly_vote_count,GERCEK_ETIKET_label
-8.71,4.55,-1.47,0.78,-1.09,0.91,49.15,-19.98,8.49,-88.2,174.47,1.0,6.0,0
-8.71,4.55,-1.47,0.78,-1.09,0.91,49.15,-19.98,8.49,-87.85,172.82,0.9523877828764565,6.0,0
-9.93,2.54,-6.31,0.49,-0.76,0.79,49.15,-19.98,8.49,-87.61,175.9,0.9259128432045082,6.0,0
-9.93,2.54,-6.31,0.49,-0.76,0.79,49.15,-19.98,8.49,-87.45,179.43,0.9001377596439927,6.0,0
-9.96,3.24,-3.98,-0.01,0.0,0.52,49.15,-19.98,8.49,-87.3,-176.25,0.8878065465623842,6.0,0
-4.23,2.09,-13.59,0.0,0.0,0.0,0.0,0.0,0.0,-19.14,-90.45,0.8701922939107818,2.0,0
-9.96,3.24,-3.98,-0.01,0.0,0.52,49.15,-19.98,8.49,-87.17,-172.37,0.8312689448027153,6.0,0
-4.24,2.07,-13.64,0.0,0.0,0.0,0.0,0.0,0.0,-19.14,-90.45,0.8262792228746306,2.0,0
-0.69,-1.64,-10.33,0.0,0.0,0.0,2.97,-4.21,38.65,0.37,-80.23,0.8170803982310735,2.0,0
-4.24,2.08,-13.61,0.0,0.0,0.0,0.0,0.0,0.0,-19.14,-90.45,0.783460402001659,2.0,0
-0.68,-1.63,-10.32,0.0,0.0,0.0,2.97,-4.21,38.65,0.37,-80.23,0.7752332396987902,2.0,0
-5.42,-14.44,-9.65,-0.82,0.56,2.6,23.59,20.43,12.18,-17.13,-32.86,0.7710435244843427,5.0,0
-5.27,-14.86,-9.18,-0.81,0.24,2.41,23.59,20.43,12.18,-17.03,-32.9,0.7691862454535818,5.0,0
-5.42,-14.44,-9.65,-0.82,0.56,2.6,23.59,20.43,12.18,-12.64,-29.98,0.767953233063966,5.0,0
-5.27,-14.86,-9.18,-0.81,0.24,2.41,23.59,20.43,12.18,-16.94,-32.95,0.7655216810042533,5.0,0
-5.58,-14.1,-9.52,-0.69,0.66,2.75,23.59,20.43,12.18,-12.67,-29.89,0.764934283290619,5.0,0
-9.56,-13.67,-1.23,-0.34,0.22,-2.36,0.0,0.0,0.0,2.04,-42.26,0.7648136560019393,6.0,0
-5.96,-11.26,-7.49,-0.79,0.94,-2.71,0.0,0.0,0.0,7.24,-44.19,0.7626561430016562,6.0,0
-8.79,-12.63,3.28,-1.42,1.75,-2.27,0.0,0.0,0.0,1.9,-42.91,0.7620482141422736,6.0,0
-8.8,-13.64,4.76,-1.07,1.23,-2.27,0.0,0.0,0.0,2.06,-42.59,0.7619603168763914,6.0,0
-5.01,-10.19,-6.49,-0.79,1.04,-2.64,0.0,0.0,0.0,7.29,-44.12,0.7605589708753494,6.0,0
-5.58,-14.1,-9.52,-0.69,0.66,2.75,23.59,20.43,12.18,-12.45,-29.65,0.7602495332887677,5.0,0
-9.35,-12.54,-6.95,-0.27,0.12,-2.43,0.0,0.0,0.0,1.93,-41.66,0.7595729857459826,6.0,0
-5.72,-14.18,-9.09,-0.67,-0.29,2.2,23.59,20.43,12.18,-16.99,-33.0,0.7593902204273328,5.0,0
-9.44,-14.65,3.3,-0.6,0.63,-2.28,0.0,0.0,0.0,1.95,-41.81,0.7591428664114486,6.0,0
-4.8,-9.4,-4.78,-0.69,1.01,-2.53,0.0,0.0,0.0,7.21,-43.93,0.7585097773681517,6.0,0
