v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_xgboost,anomaly_vote_count,GERCEK_ETIKET_label
-5.61,-10.36,-7.95,0.71,0.31,0.57,47.71,19.44,13.34,-36.68,-5.99,1.0,2.0,1
-2.13,-7.95,-9.43,0.31,-0.28,0.71,55.11,19.62,13.52,-38.27,0.22,0.9743603726084838,2.0,1
1.05,-4.38,-14.03,0.26,-0.03,0.97,52.4,18.01,10.92,-37.69,-3.27,0.958905249375816,2.0,1
-5.94,-10.18,-15.01,-0.42,-1.84,0.43,46.27,17.29,6.76,-37.31,1.66,0.9521912142414372,4.0,1
-0.76,-7.0,4.92,0.39,-0.43,0.77,55.47,18.89,12.82,-35.81,-4.57,0.9516901788419698,1.0,1
0.14,-10.64,-9.52,0.55,-0.53,1.0,53.84,19.8,10.22,-35.89,-3.53,0.9488062943819789,3.0,1
-2.31,-13.93,-26.81,0.9,-0.94,0.95,53.66,16.75,14.21,-36.03,-7.02,0.934527354931695,2.0,1
1.79,0.68,-12.09,-1.3,-0.94,0.14,48.79,20.16,9.18,-36.83,-1.29,0.9268471568703047,4.0,1
-6.26,-4.44,-14.0,1.17,-1.72,0.95,53.48,19.07,12.3,-36.71,-4.48,0.924320676322088,3.0,1
78.02,-78.82,34.65,-0.65,0.78,2.13,0.0,0.0,0.0,-14.05,-34.08,0.9194006279456095,2.0,1
1.19,-12.59,-16.04,1.12,-1.71,0.68,50.6,21.23,14.38,-37.41,-2.87,0.9186320922987731,2.0,1
-4.42,-9.5,-2.71,0.81,0.0,1.14,51.32,16.93,12.65,-36.46,-4.63,0.9171874703768431,2.0,1
-2.87,-5.29,-6.62,0.21,-0.33,0.63,55.29,19.8,13.69,-35.69,-5.75,0.9156605819125216,2.0,1
67.22,-63.95,-0.74,-0.56,0.24,2.62,0.0,0.0,0.0,-13.8,-34.77,0.9155326936149439,2.0,1
-4.34,-10.88,-10.49,-0.28,-1.05,0.78,43.74,16.21,6.06,-36.04,0.48,0.9103129216955831,3.0,1
-3.12,-5.16,-19.0,0.84,-0.63,0.97,52.4,17.29,12.3,-36.88,-5.56,0.9080698855617462,3.0,1
-6.47,-18.37,-35.85,1.12,-1.25,1.21,53.48,17.64,11.61,-36.36,-4.77,0.8944697120784904,3.0,1
-3.25,-5.16,-4.92,0.77,-0.71,0.93,51.86,17.82,12.82,-36.7,-6.24,0.8924611489889288,2.0,1
-2.42,-8.97,-10.52,0.09,0.1,0.93,51.86,18.54,10.74,-37.36,-2.76,0.8924204846638216,2.0,1
-4.46,-7.64,-6.74,-0.3,-0.02,0.03,55.29,28.4,17.16,-35.32,-8.63,0.8918652524949774,1.0,1
0.97,-6.99,-4.74,1.2,-1.39,0.0,50.78,35.75,19.76,-36.16,-8.02,0.8756699313576813,3.0,1
-5.74,0.36,-7.2,0.16,-0.56,0.76,47.89,14.6,6.93,-37.14,-1.18,0.8755901435303294,3.0,1
78.02,-73.91,27.05,-1.99,1.2,2.87,0.0,0.0,0.0,-13.64,-35.62,0.8743564803559488,4.0,1
47.78,-58.34,28.6,-1.05,0.85,0.93,0.0,0.0,0.0,-8.71,-31.03,0.8702804009542651,2.0,1
0.77,-9.11,-23.08,0.21,-0.32,0.91,55.29,19.44,11.96,-36.15,-4.74,0.8656492233683339,2.0,1
-4.84,-6.28,-1.29,0.75,-0.44,0.75,47.35,16.93,11.26,-37.16,-4.73,0.8645141058648474,2.0,1
