age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,score_random_forest,anomaly_vote_count
46,Self-emp-inc,192779,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,United-States,0.9999999999999999,0
52,Self-emp-inc,173754,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,United-States,0.9999999999999999,0
54,Self-emp-inc,166459,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,60,United-States,0.9989167197678516,1
60,State-gov,165827,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,60,United-States,0.9980643332333875,0
43,Private,194726,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,55,United-States,0.9979658684275537,0
46,Private,176814,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,50,United-States,0.9978630143062827,1
45,Private,178319,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,0.996943124527011,0
40,Self-emp-not-inc,223881,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,70,United-States,0.9956455436625867,1
54,Private,99185,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,45,United-States,0.9941689642814598,0
52,Self-emp-not-inc,64045,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,45,United-States,0.9926903421411959,1
50,Self-emp-inc,155574,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,50,United-States,0.9924131296306659,0
44,Private,155930,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,55,United-States,0.9903789980582197,0
67,Private,231559,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051,0,48,United-States,0.990110532623449,1
47,Private,151584,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,60,United-States,0.9899717530787685,0
50,Self-emp-inc,156623,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,7688,0,50,Philippines,0.9890249025046451,3
68,Private,193666,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051,0,55,United-States,0.9889224156439627,1
45,Local-gov,215862,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,45,United-States,0.9887347085459498,0
46,Self-emp-not-inc,43348,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,55,United-States,0.9886520220064782,0
45,Private,102308,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,0.9882314941898684,0
47,Private,102628,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,55,United-States,0.9882314941898684,0
64,Self-emp-inc,165667,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,60,Canada,0.9881013686707205,1
52,Self-emp-inc,90363,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,35,United-States,0.988049770110893,1
48,Private,107231,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,0.9876798281954374,1
36,Private,237943,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,0.987078176312136,0
35,Private,99357,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,50,United-States,0.9868026821132014,0
50,Private,204447,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,65,United-States,0.986527225930018,0
38,Private,185848,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,70,United-States,0.986527225930018,1
51,Private,338620,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,0.986527225930018,0
32,Private,167531,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,15024,0,50,United-States,0.9863865759803444,1
40,Private,226902,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,0.9861058420932542,0
33,Private,354573,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,44,United-States,0.9859484416596853,0
47,Self-emp-inc,215620,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,55,United-States,0.9858753429818163,0
49,Private,187370,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,0.9857970358049156,0
47,Private,354148,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,48,United-States,0.9855471414653963,1
50,Private,108435,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,60,United-States,0.9853035431550919,1
36,Private,184112,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,45,United-States,0.9839938432598895,0
57,Self-emp-inc,159028,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,60,United-States,0.9838256462287666,1
66,State-gov,162945,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Black,Male,20051,0,55,United-States,0.9837213211985446,3
47,Self-emp-inc,181130,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,50,United-States,0.9836180963464234,1
47,Private,102308,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,0.9835877974610564,1
46,Private,102569,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,65,United-States,0.9835298004235115,0
38,State-gov,110426,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,40,?,0.9834093181650077,0
44,Private,332401,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,65,United-States,0.9834041112928792,1
49,Private,65087,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,0.9833583865510611,0
50,Self-emp-inc,190333,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,55,United-States,0.9829912230224598,1
54,Self-emp-not-inc,269068,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,99999,0,50,Philippines,0.9828275055693164,5
50,Local-gov,259377,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,40,United-States,0.9826720908243712,0
41,Self-emp-not-inc,100800,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,70,United-States,0.9825797937210003,1
33,Local-gov,43959,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,0.9824627199370544,0
40,Federal-gov,330174,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United-States,0.9822643583390351,0
46,Federal-gov,102308,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,0.9821010403538858,0
48,Self-emp-inc,287647,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,55,United-States,0.9819955809782526,0
38,Private,333651,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,70,United-States,0.9818273193277278,0
50,Self-emp-inc,158294,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,80,United-States,0.9814971342154325,1
47,State-gov,120429,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,0.9813535549001122,0
51,Self-emp-inc,100029,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States,0.9813339724320566,0
53,Private,424079,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,55,United-States,0.9813221820484481,0
44,Private,116825,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,80,United-States,0.9812002683838638,1
47,Private,345493,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,99999,0,55,Taiwan,0.9811248702369453,4
34,Private,134737,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,55,United-States,0.9809574349825434,0
38,Private,43712,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,60,United-States,0.9809152504427955,0
34,Self-emp-not-inc,179673,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,60,United-States,0.9809095877537298,0
47,Private,61885,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,0.9808325639033239,0
50,Self-emp-inc,283676,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,United-States,0.9805453972821447,0
56,Self-emp-inc,205601,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,70,United-States,0.9805428474389302,2
48,State-gov,212954,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States,0.9804040533079422,0
42,Self-emp-inc,277488,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,65,United-States,0.9803504218711581,0
51,Self-emp-inc,338260,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,United-States,0.9803504218711581,0
52,Self-emp-inc,334273,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,65,United-States,0.9803504218711581,3
51,Private,145714,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,?,0.9800434018614377,1
42,Private,87284,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,35,United-States,0.9800386875754549,0
46,Private,52291,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,45,United-States,0.9799793891551396,0
46,Private,28419,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,50,United-States,0.9799280540118586,1
42,Self-emp-not-inc,201908,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,50,United-States,0.9799007934913214,1
50,Private,147629,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,45,United-States,0.9794229301770484,0
53,State-gov,43952,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,38,United-States,0.9793759783927193,0
52,Self-emp-inc,181855,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Other,Male,99999,0,65,United-States,0.9793008356161936,3
44,State-gov,141858,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,75,United-States,0.9792717523823504,1
51,Private,293196,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,Iran,0.9792118235064178,1
51,State-gov,231495,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,55,United-States,0.979140100430623,0
43,Private,58447,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,55,United-States,0.979127416103479,1
47,Self-emp-inc,332355,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,0.9791123851814486,0
39,Self-emp-inc,329980,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,0.9790471005939397,0
40,State-gov,199381,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,37,United-States,0.9790019007853513,0
39,Self-emp-inc,114844,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,65,United-States,0.9789731104345323,1
46,Self-emp-inc,120131,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,60,United-States,0.9789731104345323,1
42,Private,384236,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United-States,0.9789585096391366,0
54,Local-gov,173050,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United-States,0.9788148088246817,0
49,Local-gov,269527,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,40,United-States,0.9788148088246817,0
59,Self-emp-not-inc,165315,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,43,United-States,0.9787672192402572,1
45,Self-emp-inc,181307,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,43,United-States,0.9787652484284896,0
41,State-gov,106900,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,60,United-States,0.9786285979166843,0
38,Private,227945,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,65,United-States,0.978504917232288,1
43,Private,176270,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,60,United-States,0.9784830374735275,1
39,Private,237943,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,70,United-States,0.9780415029173001,1
53,Local-gov,283602,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,40,United-States,0.9779295560144944,0
54,Self-emp-inc,357596,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,55,United-States,0.9778835409022926,0
48,Self-emp-inc,254291,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,50,United-States,0.9778835409022926,0
44,Private,54310,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,40,United-States,0.9775333623238124,0
39,Private,198841,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,45,United-States,0.9774992286658064,0
51,Self-emp-inc,229465,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,0.9774816050883202,0
52,Self-emp-inc,254211,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,United-States,0.9774595577912406,0
41,Private,280167,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,70,United-States,0.9774339700608414,0
53,Federal-gov,199720,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,Germany,0.9773086149464454,2
46,Private,197332,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,46,United-States,0.977285407520253,0
57,Self-emp-inc,127728,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,United-States,0.9772811154243244,0
47,Private,193047,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,0.9771793165694438,1
34,Private,203408,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,0.9771727836438799,0
36,Private,171393,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,55,United-States,0.9771688663032996,0
45,Private,199058,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,50,United-States,0.9771608986943171,0
39,Private,176335,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,65,United-States,0.9771608986943171,0
44,Private,230684,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,0.9769407947941445,0
55,Private,229029,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,48,United-States,0.9769407947941445,0
50,Private,211319,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,50,United-States,0.9769407947941445,0
49,Self-emp-inc,229737,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,37,United-States,0.9768857864192264,1
34,Self-emp-inc,186824,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States,0.9768857864192264,0
