Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,behavior,behavior_type,num_sessions,num_users,num_unique_apis,source,graph_node_count,graph_edge_count,graph_density,graph_max_in_degree,graph_max_out_degree,graph_self_loops,score_ecod,anomaly_vote_count
4884,a45fd2b9-f279-3a4e-89ce-dd30599cd287,0.0116261928265876,0.029285949325436,60.78,4240,default,Normal,normal,107.0,100.0,178.0,E,178,648,0.020567510950295183,46,39,34,1.0,5
16725,a8fd847c-fc22-3e2e-9ad5-0809d020b403,0.0036875600384245,0.0374639769452449,41.64,922,default,Normal,normal,137.0,100.0,156.0,E,156,465,0.019230769230769232,44,33,24,0.9146435892382556,5
12253,865364b3-f171-30f0-a650-09beeb71034f,0.0125278996101364,0.0166910331384015,82.08,6170,default,Normal,normal,108.0,100.0,137.0,E,137,557,0.02989480463718334,34,30,29,0.8682235210947383,5
9987,bcdf67cc-68e4-3010-a534-31658408bfb0,0.0035425183973834,0.0347506132461161,2446.0,520,default,outlier,outlier,183.0,1.0,85.0,E,83,288,0.04231560387893035,33,28,18,0.7316617795152622,5
1031,e3f16723-eaa4-334e-99ff-dddc99435662,0.0040665499124343,0.0367775831873905,2284.0,558,default,outlier,outlier,165.0,1.0,84.0,E,82,290,0.043661547726588375,37,30,16,0.731608131345946,5
6972,03224686-875c-3163-a840-54a467bb07e3,0.0041606969990319,0.0406582768635043,2066.0,516,default,outlier,outlier,163.0,1.0,84.0,E,82,317,0.04772658837699488,34,29,25,0.7303461207536205,5
4585,ee54a555-ad47-355f-a2bc-6ed97d2a0548,0.0035169197396963,0.0364425162689804,2305.0,487,default,outlier,outlier,170.0,1.0,84.0,E,82,286,0.04305931948208371,35,30,16,0.7257999962663493,5
12172,b6ebf444-642b-390d-b858-98889746a54f,0.0034492170969107,0.0355480321625052,2363.0,490,default,outlier,outlier,172.0,1.0,84.0,E,82,278,0.04185486299307437,36,27,16,0.7250026496394355,5
15316,59fafe01-300e-3a0e-93ac-f07b6ecce438,0.0036809935205183,0.0362850971922246,2315.0,512,default,outlier,outlier,164.0,1.0,84.0,E,82,287,0.043209876543209874,35,29,15,0.7236578806293569,5
12338,7a21a002-d532-3bfe-9452-336888e324da,0.2095996847911741,0.1040189125295508,1269.0,15959,default,outlier,outlier,2.0,1.0,132.0,E,132,350,0.02024057367568818,38,23,16,0.7149704407724627,5
12713,a43f8865-27bd-3f67-b1ea-5f9088a53dbb,0.0033358407079646,0.0371681415929203,2260.0,453,default,outlier,outlier,172.0,1.0,84.0,E,82,278,0.04185486299307437,34,28,15,0.7085304272181018,5
7824,7caaf56d-3726-353c-9e99-909d0137fbe3,0.0651426619828259,0.0464480874316939,2562.0,10014,default,outlier,outlier,2.0,1.0,119.0,E,119,330,0.02350092579404643,24,18,22,0.702391311426038,5
10642,129e3eea-880a-3a7c-8931-b133d1a06397,,,0.0,3,default,outlier,outlier,2.0,1.0,0.0,E,0,0,0.0,0,0,0,0.6915970525086563,2
8833,7a0b2cd0-5e4f-3bec-9c72-1dc927ecc61b,0.153570652173913,0.058695652173913,1840.0,16955,default,outlier,outlier,2.0,1.0,108.0,E,108,338,0.029248875043267567,34,27,16,0.6909669157869895,5
4726,9ee9f899-c80b-3a60-8b11-b89c660e1604,0.5341145510835913,0.1465428276573787,969.0,31054,default,outlier,outlier,2.0,1.0,142.0,E,142,359,0.0179302766956348,34,19,15,0.6838098906448534,5
11717,b660a673-2d72-30d8-bbf8-c1a55459009f,0.0057535436671239,0.0365797896662094,2187.0,755,default,outlier,outlier,152.0,1.0,80.0,E,78,267,0.044455544455544456,32,26,18,0.6805411311062929,5
6182,b72200a7-b82d-39b1-a9b1-4e76fb7a167d,0.5671489852398525,0.1042435424354243,1084.0,36888,default,outlier,outlier,2.0,1.0,113.0,E,113,294,0.023230088495575223,32,31,20,0.6768650308307377,5
268,22dcbed5-eec5-3f2e-89ea-309dcabd51e0,0.1980051605504587,0.0619266055045871,1744.0,20720,default,outlier,outlier,2.0,1.0,108.0,E,107,327,0.028830894022218303,33,25,14,0.6694850393760712,5
30595,6c38945e-dd7e-3df4-b301-820d8d53bc77,0.0623988712065137,0.0149888971132494,65.10843373493977,20233,default,Normal,normal,89.0,83.0,81.0,F,81,286,0.0441358024691358,18,31,19,0.6514737555461616,5
