Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,behavior,behavior_type,num_sessions,num_users,num_unique_apis,source,graph_node_count,graph_edge_count,graph_density,graph_max_in_degree,graph_max_out_degree,graph_self_loops,score_hbos,anomaly_vote_count
11380,f6fe715c-2667-303d-a159-2d794705e572,0.0249920382165605,0.2197452229299363,314.0,471,private_ip,outlier,outlier,10.0,1.0,69.0,E,69,131,0.02791986359761296,18,12,8,1.0,5
3950,4f60c2e6-2e56-36bf-8836-f56770f6c21a,35.565704918032786,0.3333333333333333,183.0,390512,private_ip,outlier,outlier,1.0,1.0,61.0,E,61,113,0.03087431693989071,12,9,9,0.9534514025048023,5
4320,eb98f2b6-7ef4-3cbd-9665-2ecfece77683,6.769818181818182,0.2777777777777778,198.0,80426,private_ip,outlier,outlier,1.0,1.0,55.0,E,55,115,0.03872053872053872,14,16,7,0.937629065686361,4
8633,62c70ee8-6fe8-38cd-bf3e-73bafa1eb021,3.902680981595092,0.3680981595092024,163.0,38169,private_ip,outlier,outlier,1.0,1.0,60.0,E,60,108,0.030508474576271188,13,10,9,0.9148877437619761,4
15360,ee8f5ae5-19c0-38eb-a139-784e18dd931a,2.113897435897436,0.3025641025641025,195.0,24733,private_ip,outlier,outlier,1.0,1.0,59.0,E,59,116,0.03389830508474576,13,11,10,0.9148877437619761,4
4140,40654973-3488-3a93-8941-0afb6c7f3186,2.0421134020618554,0.3195876288659793,194.0,23771,private_ip,outlier,outlier,1.0,1.0,62.0,E,62,115,0.030407191961924908,16,9,6,0.9077284458838147,4
662,af9660ad-6af0-39e4-87cf-6782b0a5f3b1,2.0526550647032576e-05,0.0151717983043284,2241.0,3,private_ip,outlier,outlier,111.0,1.0,34.0,E,31,99,0.1064516129032258,17,15,12,0.9067472772838133,5
9901,c029d1d9-12a9-3159-b9f5-b01d2ed45888,0.105788767812238,0.0268231349538977,1193.0,7573,private_ip,outlier,outlier,1.0,1.0,32.0,E,27,87,0.12393162393162394,14,12,12,0.9065316418339787,4
7359,715452e4-4db5-3820-859c-1968c06862b6,3.2217272727272723,0.2878787878787879,198.0,38275,private_ip,outlier,outlier,1.0,1.0,57.0,E,57,113,0.03540100250626566,14,8,5,0.8990663709087291,4
16713,9475108b-6a7a-395d-a1e1-cee29d4ab574,2.6789938271604936,0.3518518518518518,162.0,26040,private_ip,outlier,outlier,1.0,1.0,57.0,E,57,96,0.03007518796992481,10,9,8,0.896253371358294,4
7520,3c348d6d-ef57-3e31-8024-ffdf8b4fae28,3.247232472324723e-05,0.018450184501845,1355.0,3,private_ip,outlier,outlier,92.0,1.0,25.0,E,25,69,0.115,12,15,10,0.895056567308458,5
12936,350657e3-bc6e-33c6-911f-24318e1465bf,5.778643216080402,0.2964824120603015,199.0,68997,private_ip,outlier,outlier,1.0,1.0,59.0,E,58,114,0.034482758620689655,10,10,5,0.8875912963832081,4
10472,3a8943aa-2a4a-33fc-8cff-5acd06c92ed7,2.0488838383838384,0.2777777777777778,198.0,24341,private_ip,outlier,outlier,1.0,1.0,55.0,E,55,97,0.03265993265993266,12,9,6,0.8875912963832081,4
16157,e55ad05c-c50e-39ac-8811-f2addf93b723,25.638413612565444,0.2460732984293193,191.0,293817,private_ip,outlier,outlier,1.0,1.0,47.0,E,47,92,0.0425531914893617,10,10,8,0.8860396592447884,4
25468,70182d22-0cd5-3346-9108-7d54fd2cc410,0.073778534923339,0.0340715502555366,587.0,2599,private_ip,outlier,outlier,29.0,1.0,20.0,F,20,131,0.3447368421052632,10,11,1,0.8794818616715504,4
15428,0355d46f-0002-3d56-933b-e875b34a286f,11.56129,0.3,200.0,138736,private_ip,outlier,outlier,1.0,1.0,60.0,E,60,115,0.03248587570621469,11,7,9,0.8697840361442218,4
19794,c6f29ac0-bb75-3f61-901d-54f746a5f9aa,0.0025801033591731,0.0111972437553832,2322.0,360,private_ip,outlier,outlier,106.0,1.0,26.0,F,26,156,0.24,13,14,1,0.8697774023128847,5
20507,4dcf851a-0257-3af0-9f37-4518b6cde29b,0.02219,0.0192307692307692,1300.0,1731,private_ip,outlier,outlier,61.0,1.0,25.0,F,25,159,0.265,12,14,2,0.8695617668630501,5
14278,7d918717-00dc-3d8c-b3d9-52897b87b59e,3.958240875912409,0.3430656934306569,137.0,32537,private_ip,outlier,outlier,1.0,1.0,47.0,E,47,87,0.04024051803885292,14,11,6,0.8676131500025689,4
11981,a195f866-715b-3abc-9bc7-708819cb0a6d,9.631129411764707,0.3058823529411765,170.0,98238,private_ip,outlier,outlier,1.0,1.0,52.0,E,52,91,0.03431372549019608,14,8,5,0.8676131500025689,4
12006,0335c867-c602-398f-9094-bf5d58be943d,2.217635897435897,0.2205128205128205,195.0,25947,private_ip,outlier,outlier,1.0,1.0,43.0,E,43,88,0.048726467331118496,12,9,9,0.8661103729056444,3
15100,1d6d4f6f-7197-33f7-97e5-021630b7dc63,6.05968,0.255,200.0,72717,private_ip,outlier,outlier,1.0,1.0,51.0,E,51,113,0.044313725490196076,12,10,9,0.8661103729056444,4
13517,145a6e75-6a02-3d34-a9d2-9770adf33059,5.817445714285714,0.2971428571428571,175.0,61084,private_ip,outlier,outlier,1.0,1.0,52.0,E,52,94,0.03544494720965309,12,11,9,0.8661103729056444,4
14026,1c8cee71-67df-3152-b333-149ac1752f60,4.289858895705522,0.2269938650306748,163.0,41955,private_ip,outlier,outlier,1.0,1.0,37.0,E,37,77,0.05780780780780781,11,9,11,0.8661103729056444,3
31553,71845c4a-f739-3241-a8d2-1f91088a8469,0.2873679245283019,0.0754716981132075,318.0,5483,private_ip,outlier,outlier,15.0,1.0,24.0,F,24,106,0.19202898550724637,7,8,5,0.8634469476476906,3
21277,821a754b-7730-37f1-9934-58a916a72cbf,0.0360847280334728,0.0397489539748954,478.0,1035,private_ip,outlier,outlier,24.0,1.0,19.0,F,19,117,0.34210526315789475,11,9,4,0.8606525004464717,4
13707,a289adcd-3f8d-3a27-a12c-253816904744,4.55852027027027,0.2905405405405405,148.0,40480,private_ip,outlier,outlier,1.0,1.0,43.0,E,43,88,0.048726467331118496,15,10,5,0.858951075027483,3
4325,044ac8a3-d7b7-334d-90bb-1bc64520b625,1.9395106382978724,0.25,188.0,21878,private_ip,outlier,outlier,1.0,1.0,47.0,E,47,93,0.04301572617946346,15,11,6,0.858951075027483,4
12232,5f221c20-b394-35fc-b62f-d8a8f7c70b7a,0.762,0.2698412698412698,189.0,8642,private_ip,outlier,outlier,1.0,1.0,51.0,E,51,103,0.040392156862745096,16,9,6,0.858951075027483,4
13894,ba176141-b5d9-31b5-a55a-0905f7f5ef91,0.0282707112970711,0.0234309623430962,1195.0,2028,private_ip,outlier,outlier,1.0,1.0,28.0,E,28,73,0.09656084656084656,9,18,5,0.8586228364911513,4
11444,c5613285-3b64-3f3e-8468-3b6a5bbe1ba3,23.089525,0.3666666666666666,120.0,166245,private_ip,outlier,outlier,1.0,1.0,44.0,E,43,74,0.04097452934662237,12,8,6,0.8561380754770479,4
11023,1cc3dcc0-971b-314e-8c32-95f9296a521a,3.8145,0.3666666666666666,120.0,27465,private_ip,outlier,outlier,1.0,1.0,44.0,E,44,84,0.04439746300211417,11,8,6,0.8561380754770479,3
6509,8260dbaa-b661-398a-a2ef-6176453ef237,1.4596857142857145,0.3142857142857143,140.0,12262,private_ip,outlier,outlier,1.0,1.0,44.0,E,44,83,0.04386892177589852,13,8,5,0.8561380754770479,3
