Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,behavior,behavior_type,num_sessions,num_users,num_unique_apis,source,graph_node_count,graph_edge_count,graph_density,graph_max_in_degree,graph_max_out_degree,graph_self_loops,score_isolation_forest,anomaly_vote_count
4884,a45fd2b9-f279-3a4e-89ce-dd30599cd287,0.0116261928265876,0.029285949325436,60.78,4240,default,Normal,normal,107.0,100.0,178.0,E,178,648,0.020567510950295183,46,39,34,1.0,5
6972,03224686-875c-3163-a840-54a467bb07e3,0.0041606969990319,0.0406582768635043,2066.0,516,default,outlier,outlier,163.0,1.0,84.0,E,82,317,0.04772658837699488,34,29,25,0.9988514736879993,5
9987,bcdf67cc-68e4-3010-a534-31658408bfb0,0.0035425183973834,0.0347506132461161,2446.0,520,default,outlier,outlier,183.0,1.0,85.0,E,83,288,0.04231560387893035,33,28,18,0.9972617017745458,5
16725,a8fd847c-fc22-3e2e-9ad5-0809d020b403,0.0036875600384245,0.0374639769452449,41.64,922,default,Normal,normal,137.0,100.0,156.0,E,156,465,0.019230769230769232,44,33,24,0.9961638496760602,5
12253,865364b3-f171-30f0-a650-09beeb71034f,0.0125278996101364,0.0166910331384015,82.08,6170,default,Normal,normal,108.0,100.0,137.0,E,137,557,0.02989480463718334,34,30,29,0.991061079838029,5
12172,b6ebf444-642b-390d-b858-98889746a54f,0.0034492170969107,0.0355480321625052,2363.0,490,default,outlier,outlier,172.0,1.0,84.0,E,82,278,0.04185486299307437,36,27,16,0.9819033724165057,5
1031,e3f16723-eaa4-334e-99ff-dddc99435662,0.0040665499124343,0.0367775831873905,2284.0,558,default,outlier,outlier,165.0,1.0,84.0,E,82,290,0.043661547726588375,37,30,16,0.9801884574620131,5
4585,ee54a555-ad47-355f-a2bc-6ed97d2a0548,0.0035169197396963,0.0364425162689804,2305.0,487,default,outlier,outlier,170.0,1.0,84.0,E,82,286,0.04305931948208371,35,30,16,0.9789222751126312,5
11717,b660a673-2d72-30d8-bbf8-c1a55459009f,0.0057535436671239,0.0365797896662094,2187.0,755,default,outlier,outlier,152.0,1.0,80.0,E,78,267,0.044455544455544456,32,26,18,0.9761921238187179,5
12713,a43f8865-27bd-3f67-b1ea-5f9088a53dbb,0.0033358407079646,0.0371681415929203,2260.0,453,default,outlier,outlier,172.0,1.0,84.0,E,82,278,0.04185486299307437,34,28,15,0.975035626247792,5
15316,59fafe01-300e-3a0e-93ac-f07b6ecce438,0.0036809935205183,0.0362850971922246,2315.0,512,default,outlier,outlier,164.0,1.0,84.0,E,82,287,0.043209876543209874,35,29,15,0.9720654552352004,5
20085,1a313334-853e-34ff-b4a8-f55f9a588a7d,0.0594762967094255,0.0148726529094627,68.0886075949367,19196,default,Normal,normal,97.0,79.0,80.0,F,80,229,0.03623417721518987,17,31,21,0.946558206927782,5
30595,6c38945e-dd7e-3df4-b301-820d8d53bc77,0.0623988712065137,0.0149888971132494,65.10843373493977,20233,default,Normal,normal,89.0,83.0,81.0,F,81,286,0.0441358024691358,18,31,19,0.945936383627384,5
8833,7a0b2cd0-5e4f-3bec-9c72-1dc927ecc61b,0.153570652173913,0.058695652173913,1840.0,16955,default,outlier,outlier,2.0,1.0,108.0,E,108,338,0.029248875043267567,34,27,16,0.9385897056408787,5
6182,b72200a7-b82d-39b1-a9b1-4e76fb7a167d,0.5671489852398525,0.1042435424354243,1084.0,36888,default,outlier,outlier,2.0,1.0,113.0,E,113,294,0.023230088495575223,32,31,20,0.9366929529467753,5
12338,7a21a002-d532-3bfe-9452-336888e324da,0.2095996847911741,0.1040189125295508,1269.0,15959,default,outlier,outlier,2.0,1.0,132.0,E,132,350,0.02024057367568818,38,23,16,0.932883667118181,5
7824,7caaf56d-3726-353c-9e99-909d0137fbe3,0.0651426619828259,0.0464480874316939,2562.0,10014,default,outlier,outlier,2.0,1.0,119.0,E,119,330,0.02350092579404643,24,18,22,0.9306039722983719,5
22339,9926431a-bbdc-3001-a1fc-d419986a4c76,0.0551055744757124,0.0136225129951604,65.63529411764706,18447,default,Normal,normal,108.0,85.0,76.0,F,76,209,0.03666666666666667,16,28,19,0.9283723072232919,5
31477,54a4ba7d-ec59-3874-9c8a-6789a675e1eb,0.0200304498269896,0.0657439446366782,15.706521739130435,1737,default,Normal,normal,143.0,92.0,95.0,F,95,190,0.02127659574468085,11,18,26,0.9280958692074625,5
26119,996c3790-faeb-34e9-8b08-614b989e80ed,0.0104859114433582,0.0506037952846463,18.305263157894736,1095,default,Normal,normal,146.0,95.0,88.0,F,88,199,0.025992685475444095,7,14,22,0.9272651225926039,5
268,22dcbed5-eec5-3f2e-89ea-309dcabd51e0,0.1980051605504587,0.0619266055045871,1744.0,20720,default,outlier,outlier,2.0,1.0,108.0,E,107,327,0.028830894022218303,33,25,14,0.9192556375256999,5
28379,d11119c6-8bdf-302e-bb73-a4df76e32bed,0.0490331284664967,0.0103432768700344,69.48958333333333,19626,default,Normal,normal,117.0,96.0,69.0,F,69,219,0.046675191815856776,19,30,16,0.9142675986295685,5
12666,29297f5d-7330-39c9-b592-2457da7dfd41,0.357553744493392,0.0951541850220264,1135.0,24350,default,outlier,outlier,2.0,1.0,108.0,E,107,314,0.027684711691059776,28,19,20,0.9102670954690311,5
5455,924d2b17-646f-3011-9eba-0c87d76ecef4,0.2858014705882353,0.1144957983193277,952.0,16325,default,outlier,outlier,2.0,1.0,109.0,E,109,296,0.025144410465511382,32,22,18,0.9092652502267056,5
8318,0d399859-ab99-3f96-aaf8-bdd5fd533f8f,0.235218817204301,0.121505376344086,930.0,13126,default,outlier,outlier,3.0,1.0,113.0,E,113,248,0.019595448798988623,24,20,20,0.9079902740887278,5
23960,e679215b-91ef-3fd3-950b-0e083df945d6,0.065207760230939,0.0123959925284428,70.10714285714286,23041,default,Normal,normal,99.0,84.0,73.0,F,73,214,0.04071537290715373,16,33,18,0.904170903242248,5
1649,0413f9f6-cb9f-3625-a13a-57449340bb86,0.1476089866156787,0.0401529636711281,2092.0,18528,default,outlier,outlier,5.0,1.0,84.0,E,84,259,0.03714859437751004,25,26,15,0.902228184847822,5
19380,761689c4-6270-301e-b3df-3ad30b976dfd,0.0719791524265208,0.0177717019822283,69.66666666666667,18955,default,Normal,normal,72.0,63.0,78.0,F,78,246,0.04095904095904096,16,32,19,0.8996239005932074,5
