Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification,graph_node_count,graph_edge_count,graph_density,graph_max_in_degree,graph_max_out_degree,graph_self_loops,score_ecod,anomaly_vote_count
23,90462da0-f6fb-379b-bd9d-1aec761b27a1,0.0007481497753975,0.0039693661891812,85.88874430709174,5926,default,1720.0,1537.0,524.0,E,normal,514,3280,0.012439226037423867,151,183,130,0.9999999999999999,5
62,b00a8232-9d49-342d-8f19-980b36d388a9,0.0006286427976686,0.0035964427402934,83.57836257309941,5391,default,1919.0,1710.0,514.0,E,normal,504,3218,0.01269367919467323,138,170,136,0.914473194409341,5
64,3bcc9249-8bf7-3622-b0ca-1c6b265733d2,0.0008889407100798,0.004080918789716,88.41752577319588,6405,default,1516.0,1358.0,490.0,E,normal,487,3070,0.01297099061187585,144,170,138,0.9043751733511044,5
75,87c193c4-466c-3452-a0a8-23fcdfa2ae74,0.0006907161045793,0.0041011505071812,81.27800546448087,4932,default,1605.0,1464.0,488.0,E,normal,478,3019,0.013240879625974755,152,164,125,0.8580622920896829,5
0,1f2c32d8-2d6e-3b68-bc46-789469f2b71e,0.0008122137266923,0.0040664334403289,85.64324324324325,5405,default,1460.0,1295.0,451.0,E,normal,447,2821,0.0141501389432289,126,164,121,0.8248734795695639,5
35,b0ae8d67-517b-3f2f-980c-0f5de0ac0a63,0.0006712919889772,0.0042354483993017,78.26421636615811,4546,default,1620.0,1442.0,478.0,E,normal,468,2875,0.013154523325829537,142,156,125,0.8189123010007987,5
9,387a01c7-2223-3524-9e01-a278db41748e,0.0007985063310334,0.0043786488740617,79.39202407825432,5056,default,1471.0,1329.0,462.0,E,normal,454,2912,0.014159154340617128,136,153,133,0.806281051991114,5
1,4c486414-d4f5-33f6-b485-24a8ed2925e8,6.324646128836197e-05,0.0022114659382986,16.166804782763112,519,default,9299.0,8447.0,302.0,E,normal,280,1270,0.016257040450588837,76,65,72,0.8012351179389178,5
1647,70b6a9dd-e4c6-36a0-908d-2311c277b5e8,,,0.0,3,datacenter,4.0,1.0,0.0,E,outlier,0,0,0.0,0,0,0,0.7950357919102747,1
1619,60a25ad0-add8-3976-bc51-a7ff6779d5dc,,,0.0,3,datacenter,2.0,1.0,0.0,E,outlier,0,0,0.0,0,0,0,0.7939739302664975,1
1556,8e8b99bb-7b6d-3437-9abc-1d884fe023d0,,,0.0,3,datacenter,2.0,1.0,0.0,E,outlier,0,0,0.0,0,0,0,0.7850016154155953,1
1567,bedfd600-80ef-3e95-8667-fa0d9a905d72,,,0.0,3,datacenter,4.0,1.0,0.0,E,outlier,0,0,0.0,0,0,0,0.7781564835853266,1
1695,44356d09-52e9-321e-9ec1-630e582bfe53,852.92925,0.5,2.0,102352,datacenter,2.0,1.0,1.0,F,outlier,1,1,0.0,1,1,1,0.7682199703605243,4
52,2b672707-7749-3533-834c-27589de3b94e,0.0005637082862411,0.0046497333095393,75.78211870773855,3412,default,1475.0,1331.0,469.0,E,normal,466,2703,0.01247404125709539,137,159,121,0.7678240135960138,5
43,24473b9e-130e-3e41-ad4b-012f6de894d1,0.0009786140452173,0.0052983731277383,83.56575212866603,5187,default,1166.0,1057.0,468.0,E,normal,466,2662,0.012284830864368452,141,144,118,0.7434266022228329,5
40,aa99f37a-888f-3c35-9e12-ee042ac2d241,0.0018160005379564,0.0057708060789084,102.36670838548186,8912,default,912.0,799.0,472.0,E,normal,467,2787,0.012806609625865032,129,137,119,0.7350094340968656,5
82,af93fcd6-199f-3797-a5f0-11dc1c641464,0.0011438437406467,0.0052101231584431,89.49305555555556,6192,default,1128.0,1008.0,470.0,E,normal,459,2718,0.012929189142906071,121,158,119,0.7207955364943849,5
5,45d84ed6-043b-39ba-9247-0e5c36c48889,0.0016601732773791,0.005821036956816,92.22222222222224,7359,default,897.0,801.0,430.0,E,normal,425,2520,0.013984461709211986,127,137,114,0.6997383907893089,5
50,430dde73-80cb-3e51-ae63-cbd6662db574,0.0006547140934909,0.004570806413509,74.77496159754224,3825,default,1449.0,1302.0,445.0,E,normal,440,2696,0.013957341064402568,121,142,114,0.6969259154153721,5
96,b54ef3d6-040a-3f6d-8946-c1e5cdd57a98,0.0008111798940645,0.0050134054101183,82.36445242369838,4466,default,1256.0,1114.0,460.0,E,normal,450,2614,0.012937391734719129,121,140,121,0.6953208182997592,5
1341,286cf539-f6df-3af7-a0d9-fd9c0149b5d5,0.007,0.5,2.0,1,default,2.0,1.0,1.0,E,outlier,0,0,0.0,0,0,0,0.6876952473126756,1
120,714227f9-5cc3-378a-ab8f-7817db5ae84b,7.21398403058236e-05,0.0021888584024416,17.078846913255234,562,default,8434.0,7597.0,284.0,E,normal,267,1289,0.018149305848891892,87,69,69,0.6632328399009896,5
211,8c80788a-c0d4-37c8-87f6-7c814763bb17,7.212255444813584e-05,0.0020671834625322,17.374294510005132,587,default,8657.0,7796.0,280.0,E,normal,265,1314,0.018782161234991424,78,63,74,0.6608798541738581,5
221,4ab6b86c-3c7f-35d6-9a57-c37483489428,6.542754438265439e-05,0.0024698544044425,16.79653851235302,500,default,8328.0,7569.0,314.0,E,normal,287,1291,0.015728174264759632,84,78,69,0.6603285455596258,5
118,e6690b94-ae31-3f12-a605-8f127d301fc6,0.0014051329702772,0.0050459309095613,91.71413160733547,7168,default,1049.0,927.0,429.0,E,normal,426,2590,0.014305440486053577,137,131,113,0.6565034261158518,5
