Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification,graph_node_count,graph_edge_count,graph_density,graph_max_in_degree,graph_max_out_degree,graph_self_loops,score_hbos,anomaly_vote_count
62,b00a8232-9d49-342d-8f19-980b36d388a9,0.0006286427976686,0.0035964427402934,83.57836257309941,5391,default,1919.0,1710.0,514.0,E,normal,504,3218,0.01269367919467323,138,170,136,1.0,5
164,4d9e8716-5bf7-3588-8819-22332cbc9621,0.0007118914888328,0.0024429215637538,30.120855614973262,6015,default,5512.0,4675.0,344.0,E,normal,319,1572,0.015496539894718164,97,80,74,0.9895595583264101,5
64,3bcc9249-8bf7-3622-b0ca-1c6b265733d2,0.0008889407100798,0.004080918789716,88.41752577319588,6405,default,1516.0,1358.0,490.0,E,normal,487,3070,0.01297099061187585,144,170,138,0.9743607673376273,5
23,90462da0-f6fb-379b-bd9d-1aec761b27a1,0.0007481497753975,0.0039693661891812,85.88874430709174,5926,default,1720.0,1537.0,524.0,E,normal,514,3280,0.012439226037423867,151,183,130,0.9743607673376273,5
75,87c193c4-466c-3452-a0a8-23fcdfa2ae74,0.0006907161045793,0.0041011505071812,81.27800546448087,4932,default,1605.0,1464.0,488.0,E,normal,478,3019,0.013240879625974755,152,164,125,0.9731602075775754,5
35,b0ae8d67-517b-3f2f-980c-0f5de0ac0a63,0.0006712919889772,0.0042354483993017,78.26421636615811,4546,default,1620.0,1442.0,478.0,E,normal,468,2875,0.013154523325829537,142,156,125,0.9720769335790578,5
9,387a01c7-2223-3524-9e01-a278db41748e,0.0007985063310334,0.0043786488740617,79.39202407825432,5056,default,1471.0,1329.0,462.0,E,normal,454,2912,0.014159154340617128,136,153,133,0.9684406239054375,5
52,2b672707-7749-3533-834c-27589de3b94e,0.0005637082862411,0.0046497333095393,75.78211870773855,3412,default,1475.0,1331.0,469.0,E,normal,466,2703,0.01247404125709539,137,159,121,0.967236905637658,5
0,1f2c32d8-2d6e-3b68-bc46-789469f2b71e,0.0008122137266923,0.0040664334403289,85.64324324324325,5405,default,1460.0,1295.0,451.0,E,normal,447,2821,0.0141501389432289,126,164,121,0.9668587239819122,5
113,6cd9d528-f610-38c0-8abf-c0b0dfc93c61,0.0010156193721774,0.0062200426675532,82.02954545454546,4399,default,976.0,880.0,449.0,E,normal,445,2447,0.012384856766879239,118,132,109,0.9665198639886385,5
82,af93fcd6-199f-3797-a5f0-11dc1c641464,0.0011438437406467,0.0052101231584431,89.49305555555556,6192,default,1128.0,1008.0,470.0,E,normal,459,2718,0.012929189142906071,121,158,119,0.9658336813017896,5
43,24473b9e-130e-3e41-ad4b-012f6de894d1,0.0009786140452173,0.0052983731277383,83.56575212866603,5187,default,1166.0,1057.0,468.0,E,normal,466,2662,0.012284830864368452,141,144,118,0.9656704198137405,5
96,b54ef3d6-040a-3f6d-8946-c1e5cdd57a98,0.0008111798940645,0.0050134054101183,82.36445242369838,4466,default,1256.0,1114.0,460.0,E,normal,450,2614,0.012937391734719129,121,140,121,0.9645362994808424,5
118,e6690b94-ae31-3f12-a605-8f127d301fc6,0.0014051329702772,0.0050459309095613,91.71413160733547,7168,default,1049.0,927.0,429.0,E,normal,426,2590,0.014305440486053577,137,131,113,0.9645362994808424,5
50,430dde73-80cb-3e51-ae63-cbd6662db574,0.0006547140934909,0.004570806413509,74.77496159754224,3825,default,1449.0,1302.0,445.0,E,normal,440,2696,0.013957341064402568,121,142,114,0.9642671954778721,5
202,1282c1a6-3d6c-32a0-b759-f89804bb63cf,7.835574260159472e-05,0.0023678243626536,16.321043288269834,562,default,8034.0,7323.0,283.0,E,normal,265,1312,0.0187535734705546,93,84,73,0.9591952099384142,5
559,2d21c74a-192f-3864-958f-1b04cfe78518,0.0008396656223064,0.0018948981406739,31.37626100021464,7365,default,5415.0,4659.0,277.0,E,normal,260,1431,0.021250371250371252,85,76,71,0.9556479987174575,5
211,8c80788a-c0d4-37c8-87f6-7c814763bb17,7.212255444813584e-05,0.0020671834625322,17.374294510005132,587,default,8657.0,7796.0,280.0,E,normal,265,1314,0.018782161234991424,78,63,74,0.945134065803664,5
221,4ab6b86c-3c7f-35d6-9a57-c37483489428,6.542754438265439e-05,0.0024698544044425,16.79653851235302,500,default,8328.0,7569.0,314.0,E,normal,287,1291,0.015728174264759632,84,78,69,0.944684783267234,5
92,c2d4957c-1385-33ce-b47b-1c5a56b459ca,0.0007904060567347,0.0022647426032925,29.261682242990656,6534,default,5493.0,4708.0,312.0,E,normal,284,1465,0.018227741004329865,84,67,78,0.942834948486281,5
