Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification,graph_node_count,graph_edge_count,graph_density,graph_max_in_degree,graph_max_out_degree,graph_self_loops,score_isolation_forest,anomaly_vote_count
23,90462da0-f6fb-379b-bd9d-1aec761b27a1,0.0007481497753975,0.0039693661891812,85.88874430709174,5926,default,1720.0,1537.0,524.0,E,normal,514,3280,0.012439226037423867,151,183,130,1.0,5
62,b00a8232-9d49-342d-8f19-980b36d388a9,0.0006286427976686,0.0035964427402934,83.57836257309941,5391,default,1919.0,1710.0,514.0,E,normal,504,3218,0.01269367919467323,138,170,136,0.9822945759146299,5
64,3bcc9249-8bf7-3622-b0ca-1c6b265733d2,0.0008889407100798,0.004080918789716,88.41752577319588,6405,default,1516.0,1358.0,490.0,E,normal,487,3070,0.01297099061187585,144,170,138,0.9695970476359574,5
75,87c193c4-466c-3452-a0a8-23fcdfa2ae74,0.0006907161045793,0.0041011505071812,81.27800546448087,4932,default,1605.0,1464.0,488.0,E,normal,478,3019,0.013240879625974755,152,164,125,0.9655004203865881,5
35,b0ae8d67-517b-3f2f-980c-0f5de0ac0a63,0.0006712919889772,0.0042354483993017,78.26421636615811,4546,default,1620.0,1442.0,478.0,E,normal,468,2875,0.013154523325829537,142,156,125,0.9555842942312829,5
52,2b672707-7749-3533-834c-27589de3b94e,0.0005637082862411,0.0046497333095393,75.78211870773855,3412,default,1475.0,1331.0,469.0,E,normal,466,2703,0.01247404125709539,137,159,121,0.9393150893308531,5
9,387a01c7-2223-3524-9e01-a278db41748e,0.0007985063310334,0.0043786488740617,79.39202407825432,5056,default,1471.0,1329.0,462.0,E,normal,454,2912,0.014159154340617128,136,153,133,0.9375016911194037,5
40,aa99f37a-888f-3c35-9e12-ee042ac2d241,0.0018160005379564,0.0057708060789084,102.36670838548186,8912,default,912.0,799.0,472.0,E,normal,467,2787,0.012806609625865032,129,137,119,0.9289079773536772,5
0,1f2c32d8-2d6e-3b68-bc46-789469f2b71e,0.0008122137266923,0.0040664334403289,85.64324324324325,5405,default,1460.0,1295.0,451.0,E,normal,447,2821,0.0141501389432289,126,164,121,0.9272095175100777,5
43,24473b9e-130e-3e41-ad4b-012f6de894d1,0.0009786140452173,0.0052983731277383,83.56575212866603,5187,default,1166.0,1057.0,468.0,E,normal,466,2662,0.012284830864368452,141,144,118,0.9117381626681383,5
82,af93fcd6-199f-3797-a5f0-11dc1c641464,0.0011438437406467,0.0052101231584431,89.49305555555556,6192,default,1128.0,1008.0,470.0,E,normal,459,2718,0.012929189142906071,121,158,119,0.9065689267254784,5
96,b54ef3d6-040a-3f6d-8946-c1e5cdd57a98,0.0008111798940645,0.0050134054101183,82.36445242369838,4466,default,1256.0,1114.0,460.0,E,normal,450,2614,0.012937391734719129,121,140,121,0.8952858347998823,5
50,430dde73-80cb-3e51-ae63-cbd6662db574,0.0006547140934909,0.004570806413509,74.77496159754224,3825,default,1449.0,1302.0,445.0,E,normal,440,2696,0.013957341064402568,121,142,114,0.8861289284721285,5
5,45d84ed6-043b-39ba-9247-0e5c36c48889,0.0016601732773791,0.005821036956816,92.22222222222224,7359,default,897.0,801.0,430.0,E,normal,425,2520,0.013984461709211986,127,137,114,0.8790331132593765,5
108,77733e8d-0dfe-30be-8abc-d5a290565272,0.0014914648953646,0.0063138347260909,93.21571238348868,6265,default,861.0,751.0,442.0,E,normal,436,2536,0.01337129600337446,126,131,114,0.8672016600615908,5
118,e6690b94-ae31-3f12-a605-8f127d301fc6,0.0014051329702772,0.0050459309095613,91.71413160733547,7168,default,1049.0,927.0,429.0,E,normal,426,2590,0.014305440486053577,137,131,113,0.8561932655149505,5
113,6cd9d528-f610-38c0-8abf-c0b0dfc93c61,0.0010156193721774,0.0062200426675532,82.02954545454546,4399,default,976.0,880.0,449.0,E,normal,445,2447,0.012384856766879239,118,132,109,0.8547804435844852,5
1,4c486414-d4f5-33f6-b485-24a8ed2925e8,6.324646128836197e-05,0.0022114659382986,16.166804782763112,519,default,9299.0,8447.0,302.0,E,normal,280,1270,0.016257040450588837,76,65,72,0.8495453059541193,5
