Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification,graph_node_count,graph_edge_count,graph_density,graph_max_in_degree,graph_max_out_degree,graph_self_loops,score_pca,anomaly_vote_count
1695,44356d09-52e9-321e-9ec1-630e582bfe53,852.92925,0.5,2.0,102352,datacenter,2.0,1.0,1.0,F,outlier,1,1,0.0,1,1,1,1.0,4
1292,71f7d8a9-9f50-35b3-84c7-839780fea2d7,29.826886243386245,0.0383597883597883,756.0,1352948,default,6.0,1.0,29.0,E,outlier,29,107,0.13177339901477833,17,13,4,0.7151101436363875,2
1494,7903be9c-c393-3fce-b027-3395dddecf57,30.854923780487805,0.0396341463414634,656.0,1214450,default,5.0,1.0,26.0,E,outlier,25,88,0.14666666666666667,14,11,3,0.6388348041287388,2
23,90462da0-f6fb-379b-bd9d-1aec761b27a1,0.0007481497753975,0.0039693661891812,85.88874430709174,5926,default,1720.0,1537.0,524.0,E,normal,514,3280,0.012439226037423867,151,183,130,0.3705575139441827,5
1244,2db89946-8e5c-3a37-802b-63e0f9d80fb1,0.0003151680290644,0.0136239782016348,3303.0,63,default,106.0,1.0,45.0,E,outlier,45,177,0.0893939393939394,20,16,15,0.3627011546793073,1
62,b00a8232-9d49-342d-8f19-980b36d388a9,0.0006286427976686,0.0035964427402934,83.57836257309941,5391,default,1919.0,1710.0,514.0,E,normal,504,3218,0.01269367919467323,138,170,136,0.35816450311457126,5
64,3bcc9249-8bf7-3622-b0ca-1c6b265733d2,0.0008889407100798,0.004080918789716,88.41752577319588,6405,default,1516.0,1358.0,490.0,E,normal,487,3070,0.01297099061187585,144,170,138,0.35113695043407234,5
75,87c193c4-466c-3452-a0a8-23fcdfa2ae74,0.0006907161045793,0.0041011505071812,81.27800546448087,4932,default,1605.0,1464.0,488.0,E,normal,478,3019,0.013240879625974755,152,164,125,0.34179349776084655,5
35,b0ae8d67-517b-3f2f-980c-0f5de0ac0a63,0.0006712919889772,0.0042354483993017,78.26421636615811,4546,default,1620.0,1442.0,478.0,E,normal,468,2875,0.013154523325829537,142,156,125,0.3273804986162052,5
9,387a01c7-2223-3524-9e01-a278db41748e,0.0007985063310334,0.0043786488740617,79.39202407825432,5056,default,1471.0,1329.0,462.0,E,normal,454,2912,0.014159154340617128,136,153,133,0.3251236364948126,5
52,2b672707-7749-3533-834c-27589de3b94e,0.0005637082862411,0.0046497333095393,75.78211870773855,3412,default,1475.0,1331.0,469.0,E,normal,466,2703,0.01247404125709539,137,159,121,0.3184243915491455,5
0,1f2c32d8-2d6e-3b68-bc46-789469f2b71e,0.0008122137266923,0.0040664334403289,85.64324324324325,5405,default,1460.0,1295.0,451.0,E,normal,447,2821,0.0141501389432289,126,164,121,0.3160749042132788,5
82,af93fcd6-199f-3797-a5f0-11dc1c641464,0.0011438437406467,0.0052101231584431,89.49305555555556,6192,default,1128.0,1008.0,470.0,E,normal,459,2718,0.012929189142906071,121,158,119,0.30945659293771177,5
43,24473b9e-130e-3e41-ad4b-012f6de894d1,0.0009786140452173,0.0052983731277383,83.56575212866603,5187,default,1166.0,1057.0,468.0,E,normal,466,2662,0.012284830864368452,141,144,118,0.3087433402930396,5
1,4c486414-d4f5-33f6-b485-24a8ed2925e8,6.324646128836197e-05,0.0022114659382986,16.166804782763112,519,default,9299.0,8447.0,302.0,E,normal,280,1270,0.016257040450588837,76,65,72,0.3061977421065477,5
40,aa99f37a-888f-3c35-9e12-ee042ac2d241,0.0018160005379564,0.0057708060789084,102.36670838548186,8912,default,912.0,799.0,472.0,E,normal,467,2787,0.012806609625865032,129,137,119,0.3046411589487912,5
96,b54ef3d6-040a-3f6d-8946-c1e5cdd57a98,0.0008111798940645,0.0050134054101183,82.36445242369838,4466,default,1256.0,1114.0,460.0,E,normal,450,2614,0.012937391734719129,121,140,121,0.2960938006323641,5
50,430dde73-80cb-3e51-ae63-cbd6662db574,0.0006547140934909,0.004570806413509,74.77496159754224,3825,default,1449.0,1302.0,445.0,E,normal,440,2696,0.013957341064402568,121,142,114,0.2933338757025118,5
118,e6690b94-ae31-3f12-a605-8f127d301fc6,0.0014051329702772,0.0050459309095613,91.71413160733547,7168,default,1049.0,927.0,429.0,E,normal,426,2590,0.014305440486053577,137,131,113,0.2856681008451927,5
211,8c80788a-c0d4-37c8-87f6-7c814763bb17,7.212255444813584e-05,0.0020671834625322,17.374294510005132,587,default,8657.0,7796.0,280.0,E,normal,265,1314,0.018782161234991424,78,63,74,0.28413165518969596,5
465,1b03c230-0c7e-3f46-b408-e0c66a184bbc,9.066235714396178e-05,0.0021109444349937,15.948452336909607,704,default,8874.0,8109.0,273.0,E,normal,249,1116,0.018072289156626505,76,63,63,0.28379586393214473,5
5,45d84ed6-043b-39ba-9247-0e5c36c48889,0.0016601732773791,0.005821036956816,92.22222222222224,7359,default,897.0,801.0,430.0,E,normal,425,2520,0.013984461709211986,127,137,114,0.2836333907408768,5
221,4ab6b86c-3c7f-35d6-9a57-c37483489428,6.542754438265439e-05,0.0024698544044425,16.79653851235302,500,default,8328.0,7569.0,314.0,E,normal,287,1291,0.015728174264759632,84,78,69,0.2834324683856503,5
108,77733e8d-0dfe-30be-8abc-d5a290565272,0.0014914648953646,0.0063138347260909,93.21571238348868,6265,default,861.0,751.0,442.0,E,normal,436,2536,0.01337129600337446,126,131,114,0.2827486541319727,5
120,714227f9-5cc3-378a-ab8f-7817db5ae84b,7.21398403058236e-05,0.0021888584024416,17.078846913255234,562,default,8434.0,7597.0,284.0,E,normal,267,1289,0.018149305848891892,87,69,69,0.28040840529522293,5
202,1282c1a6-3d6c-32a0-b759-f89804bb63cf,7.835574260159472e-05,0.0023678243626536,16.321043288269834,562,default,8034.0,7323.0,283.0,E,normal,265,1312,0.0187535734705546,93,84,73,0.27734944138421525,5
113,6cd9d528-f610-38c0-8abf-c0b0dfc93c61,0.0010156193721774,0.0062200426675532,82.02954545454546,4399,default,976.0,880.0,449.0,E,normal,445,2447,0.012384856766879239,118,132,109,0.27731361520407627,5
184,b4177b89-59e1-323d-87c3-391f22b930f3,7.57015321608081e-05,0.0023148335505176,16.660059331175837,562,default,8189.0,7416.0,286.0,E,normal,265,1238,0.017695826186392222,82,70,76,0.2748035993891803,5
188,5fec83a8-02a3-3b24-8217-344d5667d5a7,8.38293394061729e-05,0.0025447268084812,15.94799834915394,584,default,8047.0,7269.0,295.0,E,normal,280,1310,0.016769073220686125,90,67,72,0.27323341608418195,5
172,8a989644-d121-315b-8206-deae986adcdd,0.0013581131426606,0.0060468848512638,81.91079812206573,5687,default,931.0,852.0,422.0,E,normal,416,2396,0.013878591288229842,122,130,110,0.269480379766482,5
41,c79f3548-5612-31e1-849c-d07422a77a5c,6.623176296677165e-05,0.001936178417636,15.929357563347835,495,default,8598.0,7814.0,241.0,E,normal,225,1007,0.01998015873015873,62,60,56,0.26776147415518414,5
1596,6267c784-baa1-3a82-aeb5-bf74ee70e979,0.0033930514859773,0.0351611552951025,2389.0,487,datacenter,183.0,1.0,84.0,E,outlier,82,319,0.04802770249924721,30,34,20,0.2647608539652141,2
215,dc964eb5-56ca-325c-bd31-fda6720d5874,6.526161473904414e-05,0.0022978281817507,16.72207684891888,476,default,7984.0,7261.0,279.0,E,normal,262,1136,0.01661255886051885,66,70,72,0.2631148423908508,5
1602,0274e020-cf32-34dc-9bd9-521dca48e532,0.0033227659574468,0.0357446808510638,2350.0,469,datacenter,176.0,1.0,84.0,E,outlier,82,292,0.04396266184884071,38,26,17,0.26000793634114394,2
30,a966db41-094d-3bd0-8b5a-b2a0efa33754,0.0024981281737647,0.0079320953334074,102.58174904942966,8088,default,604.0,526.0,428.0,E,normal,424,2271,0.01266225076943664,113,126,101,0.25839409691175574,5
70,9ace1862-8306-3df1-99f3-42c47eaa0b98,0.0016984406510069,0.0056806884994461,91.9242819843342,7176,default,867.0,766.0,400.0,E,normal,396,2367,0.015132336018411968,113,132,101,0.25685926311784224,5
1666,d735b3d8-2d08-3d97-94f0-6712201696c1,0.003342287694974,0.0363951473136915,2308.0,463,datacenter,170.0,1.0,84.0,E,outlier,82,288,0.04336043360433604,37,23,17,0.2554549686767814,2
237,a7cf2d9e-8399-3212-ab36-e9c1dc0fe3e0,5.680046598482123e-05,0.0021072107724726,16.102344827586208,398,default,8019.0,7250.0,246.0,E,normal,230,1035,0.019650655021834062,67,53,66,0.25223413151555873,4
444,05761a26-ebf9-3aad-bdb7-eb77a5ffdf46,7.730804795353893e-05,0.0019223593919828,16.923266986959504,572,default,8022.0,7285.0,237.0,E,normal,222,1084,0.022094492682727975,71,60,61,0.25175437579748505,4
289,2b78ce8a-f40e-3e62-82de-3f8264e2b777,6.087015635622025e-05,0.0025923408112395,16.007690075449798,403,default,7613.0,6892.0,286.0,E,normal,268,1122,0.015680026832131478,69,60,68,0.24977376618365507,5
137,5558267a-be79-3af7-b980-2c16cfda42d0,0.0014038182239154,0.0086720410869519,79.44648829431438,4002,default,676.0,598.0,412.0,E,normal,410,2104,0.012546961655435625,119,119,99,0.24736665013329742,5
1633,83d6afd0-ea25-33e8-8cb3-7ec8ce294039,0.0037791912766924,0.0381644706951385,2201.0,500,datacenter,167.0,1.0,84.0,E,outlier,82,280,0.04215597711532671,36,25,15,0.24292566115607886,2
132,f06fbc92-2a0e-3a73-9b74-90daae4334e3,0.0030679652407539,0.0082700138533226,99.25416666666666,8770,default,549.0,480.0,394.0,E,normal,391,2100,0.013771394845563643,106,121,91,0.23419584635562937,5
1626,e3af9271-2a84-3ca7-80eb-f426b97f23f7,0.0053905508072174,0.0384615384615384,2106.0,682,datacenter,154.0,1.0,81.0,E,outlier,79,264,0.042843232716650435,33,27,13,0.23193049678435676,2
603,ffbf4937-68e6-3d12-b817-dd3c5c14a782,6.58922914466737e-05,0.002463921154523,16.542172683413742,394,default,6842.0,6011.0,245.0,E,normal,238,1165,0.020653831152714252,82,63,81,0.2285367090219859,4
164,4d9e8716-5bf7-3588-8819-22332cbc9621,0.0007118914888328,0.0024429215637538,30.120855614973262,6015,default,5512.0,4675.0,344.0,E,normal,319,1572,0.015496539894718164,97,80,74,0.22741578121266368,5
192,fa495147-17de-307a-9961-3a89f4cb26fa,6.450981853411335e-05,0.0018817304467712,16.13527731850293,416,default,7337.0,6653.0,202.0,E,normal,195,886,0.023420565688606926,53,53,46,0.21899265327357945,4
1524,95f59845-64ea-3c57-a40a-e222167b0ade,0.0014321462945139,0.0192492781520692,2078.0,179,default,87.0,1.0,40.0,E,outlier,40,159,0.10192307692307692,20,14,15,0.2164083640670892,1
92,c2d4957c-1385-33ce-b47b-1c5a56b459ca,0.0007904060567347,0.0022647426032925,29.261682242990656,6534,default,5493.0,4708.0,312.0,E,normal,284,1465,0.018227741004329865,84,67,78,0.21281185635706676,5
411,41b256e2-7623-3802-9c5f-5e7dbdd4447d,5.99772923762799e-05,0.0025624199243773,15.579844206426484,346,default,6713.0,6162.0,246.0,E,normal,235,1022,0.018585197308601562,58,59,55,0.21260547291309925,4
