Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification,score_isolation_forest,anomaly_vote_count
1695,44356d09-52e9-321e-9ec1-630e582bfe53,852.92925,0.5,2.0,102352,datacenter,2.0,1.0,1.0,F,outlier,1.0,6
1693,d8ac0f74-473a-32c2-b79f-d00d051ddd80,159.78385714285713,0.3571428571428571,14.0,134219,datacenter,2.0,1.0,5.0,F,outlier,0.9606540203638215,6
1694,3653d165-4b93-346b-9543-f1d4f5bf4831,45.603433333333335,0.8,15.0,41044,datacenter,2.0,1.0,12.0,F,outlier,0.91617067079191,5
1696,0ecdc692-df55-3990-815e-a30f1ee63f5f,59.243,0.8,5.0,17773,datacenter,3.0,1.0,4.0,F,outlier,0.8996963642504938,6
1698,2854b436-7d8b-3f2c-8139-3340ad2cd45a,66.93485714285714,0.4285714285714285,7.0,28113,datacenter,3.0,1.0,3.0,F,outlier,0.8739962128736583,5
1292,71f7d8a9-9f50-35b3-84c7-839780fea2d7,29.826886243386245,0.0383597883597883,756.0,1352948,default,6.0,1.0,29.0,E,outlier,0.8616557728321061,4
1494,7903be9c-c393-3fce-b027-3395dddecf57,30.854923780487805,0.0396341463414634,656.0,1214450,default,5.0,1.0,26.0,E,outlier,0.8458307259150056,4
1532,6bed6a43-8511-30c8-b660-1cff60423667,84.04507407407408,0.2777777777777778,54.0,272307,default,2.0,1.0,15.0,E,outlier,0.7880256567903159,4
1,4c486414-d4f5-33f6-b485-24a8ed2925e8,6.324646128836197e-05,0.0022114659382986,16.166804782763112,519,default,9299.0,8447.0,302.0,E,normal,0.7743371217822068,6
211,8c80788a-c0d4-37c8-87f6-7c814763bb17,7.212255444813584e-05,0.0020671834625322,17.374294510005132,587,default,8657.0,7796.0,280.0,E,normal,0.7717653960036022,6
465,1b03c230-0c7e-3f46-b408-e0c66a184bbc,9.066235714396178e-05,0.0021109444349937,15.948452336909607,704,default,8874.0,8109.0,273.0,E,normal,0.7683630969797945,6
221,4ab6b86c-3c7f-35d6-9a57-c37483489428,6.542754438265439e-05,0.0024698544044425,16.79653851235302,500,default,8328.0,7569.0,314.0,E,normal,0.7646359612932632,6
120,714227f9-5cc3-378a-ab8f-7817db5ae84b,7.21398403058236e-05,0.0021888584024416,17.078846913255234,562,default,8434.0,7597.0,284.0,E,normal,0.7630992943981038,6
41,c79f3548-5612-31e1-849c-d07422a77a5c,6.623176296677165e-05,0.001936178417636,15.929357563347835,495,default,8598.0,7814.0,241.0,E,normal,0.7539305577783861,6
184,b4177b89-59e1-323d-87c3-391f22b930f3,7.57015321608081e-05,0.0023148335505176,16.660059331175837,562,default,8189.0,7416.0,286.0,E,normal,0.7525491412315976,6
188,5fec83a8-02a3-3b24-8217-344d5667d5a7,8.38293394061729e-05,0.0025447268084812,15.94799834915394,584,default,8047.0,7269.0,295.0,E,normal,0.7474122884755863,5
202,1282c1a6-3d6c-32a0-b759-f89804bb63cf,7.835574260159472e-05,0.0023678243626536,16.321043288269834,562,default,8034.0,7323.0,283.0,E,normal,0.7437211559094723,5
444,05761a26-ebf9-3aad-bdb7-eb77a5ffdf46,7.730804795353893e-05,0.0019223593919828,16.923266986959504,572,default,8022.0,7285.0,237.0,E,normal,0.7379512701245542,6
215,dc964eb5-56ca-325c-bd31-fda6720d5874,6.526161473904414e-05,0.0022978281817507,16.72207684891888,476,default,7984.0,7261.0,279.0,E,normal,0.737136882922819,5
237,a7cf2d9e-8399-3212-ab36-e9c1dc0fe3e0,5.680046598482123e-05,0.0021072107724726,16.102344827586208,398,default,8019.0,7250.0,246.0,E,normal,0.7354361125045931,5
1666,d735b3d8-2d08-3d97-94f0-6712201696c1,0.003342287694974,0.0363951473136915,2308.0,463,datacenter,170.0,1.0,84.0,E,outlier,0.7316692543378527,3
1596,6267c784-baa1-3a82-aeb5-bf74ee70e979,0.0033930514859773,0.0351611552951025,2389.0,487,datacenter,183.0,1.0,84.0,E,outlier,0.7307776154952663,3
1602,0274e020-cf32-34dc-9bd9-521dca48e532,0.0033227659574468,0.0357446808510638,2350.0,469,datacenter,176.0,1.0,84.0,E,outlier,0.7297333651076372,3
1633,83d6afd0-ea25-33e8-8cb3-7ec8ce294039,0.0037791912766924,0.0381644706951385,2201.0,500,datacenter,167.0,1.0,84.0,E,outlier,0.728913366833125,3
289,2b78ce8a-f40e-3e62-82de-3f8264e2b777,6.087015635622025e-05,0.0025923408112395,16.007690075449798,403,default,7613.0,6892.0,286.0,E,normal,0.7249203741583651,5
1626,e3af9271-2a84-3ca7-80eb-f426b97f23f7,0.0053905508072174,0.0384615384615384,2106.0,682,datacenter,154.0,1.0,81.0,E,outlier,0.7188359627970753,3
1691,9f51e315-1a53-3118-8d5d-5c6e45b81dab,0.287,1.0,2.0,35,datacenter,2.0,1.0,2.0,F,outlier,0.6913124312189542,3
1369,2a0e5f64-7376-3236-a55f-a72d0d15a68d,81.1654117647059,0.5882352941176471,17.0,82789,default,2.0,1.0,10.0,E,outlier,0.6881256428766463,3
1690,f41ffc10-2fd6-3675-9f9b-2f81959c783b,1.3799230769230768,0.7692307692307693,13.0,1077,datacenter,3.0,1.0,10.0,F,outlier,0.6801788872625671,3
192,fa495147-17de-307a-9961-3a89f4cb26fa,6.450981853411335e-05,0.0018817304467712,16.13527731850293,416,default,7337.0,6653.0,202.0,E,normal,0.6801544767514885,5
1544,fcfc4259-1213-34d7-8d85-04e7d5f2e946,11.328421348314606,0.3258426966292135,89.0,60494,default,2.0,1.0,29.0,F,outlier,0.6662923493433288,3
1438,b37c67d3-e317-3c37-824b-a47849bc97bd,2.2128500948766603,0.0256166982922201,1054.0,139941,default,19.0,1.0,27.0,E,outlier,0.6640986127957192,2
662,941a563b-a45d-333f-864c-416085626953,4.774875903688904e-05,0.0022038680974645,15.90011462256427,279,default,6842.0,6107.0,214.0,E,normal,0.6585242309220702,5
411,41b256e2-7623-3802-9c5f-5e7dbdd4447d,5.99772923762799e-05,0.0025624199243773,15.579844206426484,346,default,6713.0,6162.0,246.0,E,normal,0.6554634910331809,5
1502,61fe9fed-b843-3337-a19d-9e32d32c8243,48.83175,1.0,6.0,17580,default,2.0,1.0,6.0,E,outlier,0.6548875919682009,2
1467,e6228ee3-5bec-3d3b-9528-e4727682d6ff,15.5070658436214,0.1193415637860082,243.0,226094,default,3.0,1.0,29.0,E,outlier,0.6529592776531177,4
1697,468a84b3-2885-30d6-b1a8-6cf2e44577cd,0.754,0.6666666666666666,3.0,136,datacenter,2.0,1.0,2.0,F,outlier,0.6495322845071687,3
1692,f180149f-43b4-3ccd-821d-229016902fc8,1.5643125,0.265625,64.0,6007,datacenter,2.0,1.0,17.0,F,outlier,0.6475996416388741,3
164,4d9e8716-5bf7-3588-8819-22332cbc9621,0.0007118914888328,0.0024429215637538,30.120855614973262,6015,default,5512.0,4675.0,344.0,E,normal,0.6406861576186035,5
603,ffbf4937-68e6-3d12-b817-dd3c5c14a782,6.58922914466737e-05,0.002463921154523,16.542172683413742,394,default,6842.0,6011.0,245.0,E,normal,0.639430613128132,5
1552,c03c47cf-df95-3a64-94d4-17d9762947c7,9.141666666666666,1.0,6.0,3291,default,2.0,1.0,6.0,F,outlier,0.6380497341372277,3
92,c2d4957c-1385-33ce-b47b-1c5a56b459ca,0.0007904060567347,0.0022647426032925,29.261682242990656,6534,default,5493.0,4708.0,312.0,E,normal,0.6354276960853873,5
1545,be056278-d802-3c15-8074-55f1181d354a,10.62225,0.7857142857142857,14.0,8923,default,2.0,1.0,11.0,F,outlier,0.6328366181553011,2
453,53d442e0-764d-3e00-af9f-21920664b959,0.0008653463799812,0.0021373590479166,30.201158052755737,7312,default,5471.0,4663.0,301.0,E,normal,0.6324377429224537,5
1256,dd2133c1-81dd-31e5-b073-bba8f283a153,26.36399504950495,0.1584158415841584,101.0,159766,default,2.0,1.0,16.0,E,outlier,0.6300408374645632,2
