Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification,score_lof,anomaly_vote_count
1695,44356d09-52e9-321e-9ec1-630e582bfe53,852.92925,0.5,2.0,102352,datacenter,2.0,1.0,1.0,F,outlier,0.9999999999999999,6
1693,d8ac0f74-473a-32c2-b79f-d00d051ddd80,159.78385714285713,0.3571428571428571,14.0,134219,datacenter,2.0,1.0,5.0,F,outlier,0.1745248234763145,6
1532,6bed6a43-8511-30c8-b660-1cff60423667,84.04507407407408,0.2777777777777778,54.0,272307,default,2.0,1.0,15.0,E,outlier,0.08578829773892176,4
1369,2a0e5f64-7376-3236-a55f-a72d0d15a68d,81.1654117647059,0.5882352941176471,17.0,82789,default,2.0,1.0,10.0,E,outlier,0.08258810969363438,3
1244,2db89946-8e5c-3a37-802b-63e0f9d80fb1,0.0003151680290644,0.0136239782016348,3303.0,63,default,106.0,1.0,45.0,E,outlier,0.07224959011373426,2
1698,2854b436-7d8b-3f2c-8139-3340ad2cd45a,66.93485714285714,0.4285714285714285,7.0,28113,datacenter,3.0,1.0,3.0,F,outlier,0.06760154643731461,5
1696,0ecdc692-df55-3990-815e-a30f1ee63f5f,59.243,0.8,5.0,17773,datacenter,3.0,1.0,4.0,F,outlier,0.05888460424270314,6
1346,6923ade6-c2ad-368c-8430-caa52b97157a,55.363375,0.5,8.0,26575,default,2.0,1.0,4.0,E,outlier,0.054560346223712426,1
1596,6267c784-baa1-3a82-aeb5-bf74ee70e979,0.0033930514859773,0.0351611552951025,2389.0,487,datacenter,183.0,1.0,84.0,E,outlier,0.05301330196536382,3
1666,d735b3d8-2d08-3d97-94f0-6712201696c1,0.003342287694974,0.0363951473136915,2308.0,463,datacenter,170.0,1.0,84.0,E,outlier,0.05215889274807043,3
1602,0274e020-cf32-34dc-9bd9-521dca48e532,0.0033227659574468,0.0357446808510638,2350.0,469,datacenter,176.0,1.0,84.0,E,outlier,0.0520724507868779,3
1633,83d6afd0-ea25-33e8-8cb3-7ec8ce294039,0.0037791912766924,0.0381644706951385,2201.0,500,datacenter,167.0,1.0,84.0,E,outlier,0.04955816122776766,3
1626,e3af9271-2a84-3ca7-80eb-f426b97f23f7,0.0053905508072174,0.0384615384615384,2106.0,682,datacenter,154.0,1.0,81.0,E,outlier,0.04819909154960433,3
1524,95f59845-64ea-3c57-a40a-e222167b0ade,0.0014321462945139,0.0192492781520692,2078.0,179,default,87.0,1.0,40.0,E,outlier,0.047969123678730484,2
1502,61fe9fed-b843-3337-a19d-9e32d32c8243,48.83175,1.0,6.0,17580,default,2.0,1.0,6.0,E,outlier,0.0476024294115102,2
1209,19d60885-2ef2-3629-85d5-bb196ffa2ee8,46.98109090909091,0.4090909090909091,22.0,62016,default,2.0,1.0,9.0,E,outlier,0.045665938668243825,2
1466,64409461-3cd5-3f21-bd80-8c4a029c6f38,0.0011412985630654,0.0250133049494411,1879.0,129,default,67.0,1.0,47.0,E,outlier,0.04515630933224454,2
1238,a45d01bf-d3d2-3151-9d8c-600edee2a287,45.74734782608696,0.5217391304347826,23.0,63132,default,2.0,1.0,12.0,E,outlier,0.04437499004034292,2
1694,3653d165-4b93-346b-9543-f1d4f5bf4831,45.603433333333335,0.8,15.0,41044,datacenter,2.0,1.0,12.0,F,outlier,0.04422406893346619,5
1124,68829629-2bd8-3b12-84de-162e3cd6961e,0.0001927781013395,0.0262085032032615,1717.0,20,default,105.0,1.0,45.0,E,outlier,0.041069554827111346,2
1251,5e8cc48d-d2bc-35e7-a6d8-32405012e105,41.28322727272728,0.4545454545454545,22.0,54494,default,2.0,1.0,10.0,E,outlier,0.04072084730670428,1
1169,d1418885-602e-37b3-ab8a-0c7d43166d1e,0.0001991421568627,0.0269607843137254,1632.0,20,default,153.0,1.0,44.0,E,outlier,0.03987012358061306,2
1411,7a533d33-312c-3de4-8c45-04ed1d72ee53,0.0002202937249666,0.02803738317757,1498.0,20,default,102.0,1.0,42.0,E,outlier,0.037605997028136245,2
1235,765d954e-cfec-3fd3-b3f6-b8c4d3e4a93f,0.0013658340048348,0.0265914585012087,1241.0,102,default,64.0,1.0,33.0,E,outlier,0.03272273329265779,2
1303,647b4a52-5eb5-3cd5-aa45-6a3123c29913,0.0017966171617161,0.0297029702970297,1212.0,131,default,46.0,1.0,36.0,E,outlier,0.03226150205958739,2
1494,7903be9c-c393-3fce-b027-3395dddecf57,30.854923780487805,0.0396341463414634,656.0,1214450,default,5.0,1.0,26.0,E,outlier,0.03147350432830628,4
1292,71f7d8a9-9f50-35b3-84c7-839780fea2d7,29.826886243386245,0.0383597883597883,756.0,1352948,default,6.0,1.0,29.0,E,outlier,0.031221007015812867,4
1211,44d3c490-833f-3227-852e-6902a7c223ff,0.0006034019695613,0.0331244404655326,1117.0,41,default,82.0,1.0,37.0,E,outlier,0.030564505286005197,2
1419,0a431e90-3fb4-3c9f-86c5-1602dc5eb5dc,28.738330357142857,0.3214285714285714,56.0,96561,default,2.0,1.0,18.0,E,outlier,0.028470405310566174,1
1115,d45e80b0-3bb3-30e6-9ab6-5bd39f108bd5,28.316714285714287,0.7857142857142857,14.0,23787,default,2.0,1.0,11.0,E,outlier,0.028420157197598883,1
1492,74adc67c-8f61-335f-af81-0e4be8967088,28.289166666666667,0.6666666666666666,6.0,10185,default,2.0,1.0,4.0,E,outlier,0.028390581251775432,1
1162,50654bfa-f55f-3c4f-acd3-7c9414e3c010,0.0003581780538302,0.046583850931677,966.0,21,default,145.0,1.0,45.0,E,outlier,0.027693882968777228,2
1531,33ecf309-6bed-3537-a8d1-34d37cfc5a0f,26.973636363636363,0.2045454545454545,44.0,71211,default,2.0,1.0,9.0,E,outlier,0.026956777463906095,1
1180,cd3d69ae-925a-3f8f-91a9-83df29365600,0.0034056094929881,0.0463861920172599,927.0,190,default,35.0,1.0,43.0,E,outlier,0.026566158983100115,2
1256,dd2133c1-81dd-31e5-b073-bba8f283a153,26.36399504950495,0.1584158415841584,101.0,159766,default,2.0,1.0,16.0,E,outlier,0.02630819881373936,2
1396,95976b79-773d-339b-9c71-d1c9bfcb6d9c,22.90945333333333,0.36,75.0,103093,default,2.0,1.0,27.0,E,outlier,0.023755739479451858,1
1628,c7dc94d7-d863-35f7-8e2a-287a98e91a06,0.0918270762229806,0.0318543799772468,879.0,4843,datacenter,3.0,1.0,28.0,E,outlier,0.023033128948520394,2
1311,222b2c55-6705-3e07-8680-b5d76fd5f680,21.59933333333333,0.4,30.0,38879,default,2.0,1.0,12.0,E,outlier,0.022122388862740767,1
1580,0f80dcc1-cf6e-36fc-873d-3ce4c4d51a62,0.101184331797235,0.032258064516129,868.0,5270,datacenter,3.0,1.0,28.0,E,outlier,0.022061767133275387,2
1287,62019226-8bdb-3c53-ad5a-90b90529dea9,21.208,0.5945945945945946,37.0,47082,default,2.0,1.0,22.0,E,outlier,0.021990222111554436,1
