v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_lstm_autoencoder,anomaly_vote_count
-1.87,0.46,9.36,-0.01,-0.03,0.0,33.28,13.35,-67.43,-12.48,87.07,0.99999994,1
-8.51,-5.05,-1.35,0.02,0.01,0.03,54.74,16.75,11.78,-33.31,-4.82,0.99999994,1
-0.67,1.17,9.8,0.0,0.0,0.0,17.57,5.64,-81.81,-5.83,94.55,0.9999999,1
-1.9,0.56,8.97,0.02,-0.06,0.0,33.28,13.35,-67.43,-12.54,87.05,0.9999999,1
-2.97,0.5,8.66,-0.02,-0.45,0.0,45.0,10.66,-73.84,-17.7,84.54,0.9999999,1
-8.72,-5.23,-1.28,0.0,0.0,0.04,49.33,21.41,11.44,-33.88,-4.52,0.9999998,1
-0.46,1.34,9.38,0.0,0.0,0.0,18.85,16.93,-72.98,-6.8,95.6,0.99999976,1
-1.98,0.42,9.31,0.03,-0.03,0.0,32.92,13.71,-67.09,-12.87,86.6,0.9999997,1
-0.51,1.34,9.43,0.0,0.0,0.0,18.3,17.11,-73.5,-6.61,95.67,0.9999997,1
-0.52,1.38,9.61,0.0,0.0,0.0,19.39,17.47,-73.16,-7.59,95.1,0.9999997,1
-1.98,0.09,9.25,-0.01,0.03,0.01,34.18,17.11,-68.65,-11.7,84.74,0.9999997,1
-0.54,1.41,9.63,0.0,0.01,0.0,18.67,17.82,-72.45,-6.55,95.74,0.9999997,1
-2.04,-0.03,8.86,-0.01,0.04,0.01,34.36,17.29,-67.78,-11.77,84.44,0.99999964,1
-0.43,1.31,9.1,0.0,0.0,0.0,18.67,17.82,-72.45,-6.55,95.74,0.99999964,1
-0.67,1.17,9.8,0.0,0.0,0.0,17.57,5.64,-81.81,-5.82,94.55,0.9999996,1
