v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_supervised_lightgbm,anomaly_vote_count
-16.69,3.71,3.68,-1.34,1.41,2.77,0.0,0.0,0.0,-12.42,-36.15,1.0,1
-5.11,1.73,10.29,-0.54,2.67,-0.28,103.63,18.72,-122.22,-23.01,87.75,0.9999999999997923,1
-2.21,1.75,10.15,0.0,0.0,0.0,30.21,-13.53,3.72,-15.19,93.73,0.9999999999806596,1
-29.02,8.51,-5.0,0.5,-0.6,0.33,80.72,19.8,-2.5,-42.24,-3.5,0.9999999999774264,1
3.36,-20.65,-12.16,-0.31,0.52,-0.23,-35.16,31.9,-15.95,22.83,-30.08,0.9999999999558792,1
3.62,-22.05,0.88,-0.18,0.17,0.66,-16.29,32.97,-20.07,23.99,-9.21,0.9999999999029908,1
-39.39,20.43,4.33,0.62,-0.27,0.81,47.35,16.93,11.26,-36.5,-5.73,0.9999999998950372,1
-31.38,-22.67,5.61,0.93,-0.93,-0.1,51.68,35.21,20.97,-35.65,-3.39,0.9999999998544605,1
-2.89,-7.13,-21.2,-0.02,-0.65,0.42,86.67,21.77,3.9,-44.97,1.12,0.9999999998344001,1
-36.64,16.75,-21.34,1.25,-0.47,0.81,54.56,15.5,11.26,-34.92,-6.07,0.9999999997981083,1
-6.08,-2.81,-7.66,0.05,-0.53,-0.04,50.78,33.6,22.19,-36.4,-9.69,0.9999999997762877,1
29.27,-48.3,10.85,0.03,0.02,0.01,54.74,17.82,11.44,-33.84,-3.78,0.9999999997376986,1
-2.0,0.41,10.61,0.3,0.0,-0.04,40.67,16.04,-24.27,-10.9,88.33,0.9999999996933419,1
-22.89,-22.47,-7.33,0.71,-1.09,0.34,0.0,0.0,0.0,-9.99,-61.36,0.9999999996524983,1
-0.98,-0.21,2.12,-1.1,-0.43,-0.12,39.04,20.52,-1.9,-12.25,92.44,0.9999999996133858,1
