v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_supervised_lstm,anomaly_vote_count
7.52,-9.8,5.09,0.0,0.1,0.45,82.17,20.52,1.64,-44.36,1.98,1.0,2
37.15,-23.29,-9.19,-0.11,0.07,0.35,89.74,23.03,4.76,-40.87,1.33,0.9999993,2
0.18,-17.63,-1.97,-0.12,0.53,0.19,50.42,17.82,10.74,-38.35,-4.22,0.99999917,2
36.78,-2.31,7.46,0.01,-0.06,0.11,83.61,20.52,0.6,-41.05,1.17,0.9999989,2
38.72,0.54,-23.84,-0.21,0.25,-0.34,52.76,19.44,9.88,-34.79,-4.26,0.9999989,2
53.17,-10.37,-51.66,-0.04,0.44,0.61,81.98,15.68,-2.68,-41.45,0.6,0.9999987,2
40.35,-36.58,-41.82,0.37,0.63,0.22,85.41,21.23,1.99,-40.88,-0.36,0.99999833,2
3.31,-9.93,0.33,0.18,0.19,0.28,75.67,21.23,1.3,-44.58,0.92,0.99999833,2
38.83,-30.61,2.73,-0.19,0.33,-0.35,54.56,18.37,10.92,-34.19,-5.32,0.999998,2
31.99,-19.29,-23.19,0.0,0.07,0.39,85.41,16.57,-5.28,-41.09,-0.16,0.9999975,2
5.57,-14.3,-17.05,-0.54,0.63,-0.36,50.42,17.11,12.48,-38.19,-6.31,0.99999714,2
27.67,-15.02,-3.8,-0.02,0.06,0.14,52.76,16.93,13.17,-33.96,-7.43,0.999997,2
44.73,53.72,36.37,3.53,0.16,0.37,0.0,0.0,0.0,-8.56,-31.99,0.9999962,2
-11.33,5.18,-5.73,0.76,-0.44,1.04,55.65,17.64,11.61,-37.11,-1.94,0.9999962,2
31.12,9.94,-30.98,-0.31,0.22,-0.57,53.3,18.19,9.01,-34.21,-5.56,0.9999958,2
