v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_supervised_xgboost,anomaly_vote_count
-3.31,-3.59,5.09,0.87,-1.13,1.02,83.25,23.03,1.99,-45.13,2.71,1.0,2
-5.58,-5.48,4.51,1.58,-1.05,1.12,86.13,15.5,-2.86,-44.1,1.14,0.9999931,2
-3.66,-3.18,-1.56,0.72,-0.57,0.93,80.18,15.68,-1.3,-44.25,1.29,0.9999876,2
-7.02,-0.16,-6.61,1.52,-1.82,1.1,89.02,23.03,4.76,-43.82,0.85,0.9999852,1
-4.26,-5.14,-11.81,1.52,-0.49,1.12,85.23,20.34,0.78,-44.09,1.64,0.99998415,3
-5.19,-2.95,-6.44,1.05,-1.27,1.1,52.58,16.04,12.48,-35.35,-5.77,0.9999827,2
-6.21,-1.48,-4.73,0.36,-0.36,1.34,52.04,19.07,11.26,-37.83,-4.21,0.9999815,2
-8.4,-3.39,-5.78,1.95,-0.65,1.12,81.08,15.86,-3.2,-45.21,-0.08,0.9999783,2
-4.88,3.36,-16.21,1.49,-0.63,1.13,83.25,23.38,-1.82,-43.93,5.33,0.99997485,2
-3.25,-5.16,-4.92,0.77,-0.71,0.93,51.86,17.82,12.82,-36.7,-6.24,0.99996936,2
-5.01,-2.56,2.91,1.39,-1.29,1.03,79.09,15.68,-0.95,-44.77,1.33,0.99996793,2
-4.42,-11.81,-16.72,0.97,-1.3,1.02,52.22,16.39,13.17,-36.14,-5.67,0.9999678,2
-3.12,-5.16,-19.0,0.84,-0.63,0.97,52.4,17.29,12.3,-36.88,-5.56,0.9999671,2
-6.81,-4.8,-6.76,1.41,-1.17,1.09,80.0,19.8,0.26,-43.1,-1.22,0.999961,1
8.31,-6.75,-8.08,0.64,-0.18,0.8,79.45,23.56,3.9,-42.46,0.49,0.9999597,2
