v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_ts_autoencoder,anomaly_vote_count
-8.53,-5.0,-0.35,0.0,0.0,0.0,46.81,17.11,8.66,-34.56,-2.85,1.0000001,1
-8.65,-4.95,-0.47,0.0,0.0,0.0,46.81,17.11,8.66,-34.56,-2.86,0.9999963,1
-8.53,-5.08,-0.44,0.0,0.0,0.0,49.69,16.75,9.01,-34.59,-3.15,0.9999806,1
-8.53,-5.01,-0.5,0.0,0.0,0.0,49.69,16.75,9.01,-34.59,-3.16,0.99997944,1
-8.53,-5.01,-0.5,0.0,0.0,0.0,49.69,16.75,9.01,-34.58,-3.17,0.9999781,1
-8.52,-5.03,-0.41,0.0,0.0,0.0,46.81,17.11,8.66,-34.56,-2.84,0.99992937,1
-8.52,-5.03,-0.41,0.0,0.0,0.0,46.81,17.11,8.66,-34.56,-2.84,0.99992555,1
-8.53,-5.0,-0.35,0.0,0.0,0.0,46.81,17.11,8.66,-34.57,-2.84,0.9999208,1
-8.65,-4.95,-0.47,0.0,0.0,0.0,46.81,17.11,8.66,-34.56,-2.85,0.9998977,1
-8.53,-5.08,-0.44,0.0,0.0,0.0,49.69,16.75,9.01,-34.59,-3.16,0.99989223,1
-8.65,-5.05,-0.49,0.0,0.0,0.0,52.76,16.21,10.57,-34.82,-3.61,0.9998661,1
-8.65,-5.05,-0.49,0.0,0.0,0.0,52.76,16.21,10.57,-34.82,-3.61,0.99986345,1
-8.59,-5.01,-0.36,0.0,0.0,0.0,47.35,16.93,8.14,-34.57,-2.79,0.9998307,1
-8.53,-5.01,-0.52,0.0,0.0,0.0,47.89,16.04,10.4,-34.55,-3.23,0.9998247,1
-8.61,-5.01,-0.48,0.0,0.0,0.0,46.81,17.11,8.66,-34.55,-2.85,0.99981916,1
