v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_ts_vae,anomaly_vote_count
-7.91,-4.37,3.76,0.0,0.0,0.0,60.88,36.11,-12.82,-32.89,27.15,1.0000001,1
-7.85,-4.4,3.74,0.0,0.01,0.0,60.88,36.11,-12.82,-32.85,27.17,0.99996567,1
-7.91,-4.34,3.7,0.0,0.0,0.0,60.88,36.11,-12.82,-32.87,27.14,0.99995565,1
-7.91,-4.37,3.76,0.0,0.0,0.0,60.88,36.11,-12.82,-32.9,27.16,0.99992657,1
-7.85,-4.4,3.74,0.0,0.01,0.0,60.88,36.11,-12.82,-32.86,27.17,0.9998894,1
-0.96,0.82,9.39,0.0,0.0,0.0,24.26,32.34,-64.66,-7.39,92.26,0.99984425,1
-7.91,-4.34,3.7,0.0,0.0,0.0,60.88,36.11,-12.82,-32.88,27.14,0.999828,1
-0.95,0.88,9.41,0.0,0.0,0.0,24.26,32.34,-64.66,-7.39,92.26,0.99982053,1
-1.64,0.62,9.36,0.0,0.0,0.0,26.6,37.18,-21.84,-10.51,89.25,0.9997579,1
-1.64,0.63,9.39,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.99975395,1
-1.64,0.62,9.38,0.0,0.0,0.0,26.6,37.18,-21.84,-10.51,89.25,0.9997519,1
-1.64,0.62,9.36,0.0,0.0,0.0,26.6,37.18,-21.84,-10.51,89.25,0.99975145,1
-1.63,0.63,9.36,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.9997498,1
-0.95,0.88,9.41,0.0,0.0,0.0,24.26,32.34,-64.66,-7.39,92.26,0.9997495,1
-1.64,0.63,9.38,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.9997472,1

